Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-03-24;09:08:33;ZPc005;0000;8;AFF1FF412FF---1FF-------------;;399.8077;1.159495;;19945.49;-41.68533;;749.70;101.212;2617;1625;24.83;25.20;28.07;24.98;1499.2;40.8;34.2;7;;;;;;;;;;;;0;;;;;;;;;;;
2021-03-24;09:18:20;ZPi005;0000;8;AFF1FF412FF---1FF-------------;CO2 Curve;399.5869;1.168575;;20580.32;-86.70097;;749.60;101.214;2633;1662;24.92;25.88;27.60;25.01;1499.6;1.7;38.5;7;;;;;;;;;;;;638;;;;;;;;;;;
2021-03-24;09:22:21;MP_005;0001;8;AFF1FF412FF---1FF-------------;;399.4334;1.168575;-6.648042;20564.65;-86.70097;747.5295;749.77;101.220;2639;1647;24.96;26.01;27.88;25.10;1499.2;1.7;38.7;7;68.57;0.798947;12.1516;65.74831;7.012943;219.4301;391.62;21398.9;;;;606;;;;;;;;;;;
2021-03-24;09:22:52;MP_005;0001;8;AFF1FF412FF---1FF-------------;;399.3027;1.168575;-6.79742;20572.81;-86.70097;767.6187;749.64;101.220;2641;1642;25.00;26.00;27.88;25.21;1498.6;1.7;38.0;7;68.53;0.8180807;12.08829;67.67549;7.144429;220.8785;391.34;21435.7;;;;604;670;;;0.0985;62.00;;;;;;0.840
2021-03-24;09:26:07;ZPi005;0000;8;AFF1FF312FF---1FF-------------;;299.8036;0.917271;;20586.03;-92.32676;;749.72;101.226;2645;1674;24.98;25.99;28.04;25.13;1498.8;1.4;38.6;7;;;;;;;;;;;;586;;;;;;;;;;;
2021-03-24;09:30:07;MP_005;0001;8;AFF1FF412FF---1FF-------------;;299.9138;0.917271;-6.073093;20568.89;-92.32676;1064.769;749.67;101.218;2648;1678;24.99;25.95;28.21;25.12;1499.2;1.9;38.6;7;69.47;1.108381;11.69641;94.76251;6.225914;186.0612;292.92;21726.0;;;;574;;;;;;;;;;;
2021-03-24;09:30:38;MP_005;0001;8;AFF1FF412FF---1FF-------------;;299.7957;0.917271;-6.068484;20574.36;-92.32676;1074.494;749.80;101.220;2648;1688;25.03;25.96;28.23;25.23;1498.6;1.7;38.6;7;69.37;1.117909;11.7114;95.4548;6.220082;186.7638;292.80;21742.1;;;;574;638;;;0.1003;63.14;;;;;;0.840
2021-03-24;09:33:53;ZPi005;0000;8;AFF1FF412FF---1FF-------------;;199.4003;0.7926825;;20575.22;-98.54724;;749.68;101.220;2652;1640;25.00;25.94;28.25;25.10;1498.8;1.6;38.9;7;;;;;;;;;;;;562;;;;;;;;;;;
2021-03-24;09:37:53;MP_005;0001;8;AFF1FF412FF---1FF-------------;;199.5225;0.7926825;-3.490905;20569.9;-98.54724;1111.401;749.70;101.224;2655;1647;24.99;25.92;28.34;25.08;1499.2;1.7;38.8;7;69.66;1.159112;11.58152;100.0829;3.787933;133.2289;195.24;21779.9;;;;555;;;;;;;;;;;
