Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Tmin;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;�mol/s;kPa;mV;mV;�C;�C;�C;�C;�mol m-2 s-1;�mol m-2 s-1;�mol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;�mol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-02-22;09:09:28;ZPc005;0;8;AFF1FF711FF---1FF-------------;;399.0982;-3.128447;;20505.12;-210.1317;;749.63;101.256;2624;1545;25.14;25.35;21.70;24.55;1499.7;29.7;0.6;7;;;;;;;;;;;;0;;;;;;;;;;;
2021-02-22;09:17:11;ZPi005;0;8;AFF1FF711FF---1FF-------------;CO2 Curve;400.6846;-3.123953;;20524.35;-84.40205;;749.76;101.250;2636;1580;25.06;25.80;21.63;24.51;1500.0;0.6;0.5;7;;;;;;;;;;;;718;;;;;;;;;;;
2021-02-22;09:21:12;MP_005;104;8;AFF1FF711FF---1FF-------------;;398.3221;-3.123953;-17.22768;20531.06;-84.40205;1252.394;749.68;101.266;2641;1556;25.04;25.74;21.55;24.50;1499.7;0.6;0.6;7;69.76;1.280719;11.12629;115.1074;12.72454;206.6406;384.22;21867.9;;;;702;;;;;;;;;;;
2021-02-22;09:21:43;MP_005;104;8;AFF1FF711FF---1FF-------------;;398.0866;-3.123953;-17.63934;20524.8;-84.40205;1301.684;749.67;101.260;2642;1554;25.05;25.73;21.60;24.51;1499.0;0.6;1.0;7;69.88;1.327992;11.03852;120.3053;13.09284;208.6765;383.55;21918.4;;;;701;788;;;0.1104;69.51;;;;;;0.840
2021-02-22;09:24:58;ZPi005;0;8;AFF1FF711FF---1FF-------------;;296.9437;-2.91051;;20544.6;-88.67088;;749.62;101.256;2645;1597;25.01;25.66;20.99;24.45;1499.9;0.7;0.7;7;;;;;;;;;;;;653;;;;;;;;;;;
2021-02-22;09:28:58;MP_005;104;8;AFF1FF711FF---1FF-------------;;299.5303;-2.91051;-15.624;20514.94;-88.67088;1667.5;749.53;101.272;2648;1621;25.04;25.69;21.89;24.54;1500.2;0.7;0.7;7;71.03;1.682868;10.60433;158.6963;11.42883;170.6861;286.82;22271.1;;;;628;;;;;;;;;;;
2021-02-22;09:29:29;MP_005;104;8;AFF1FF711FF---1FF-------------;;299.7506;-2.91051;-15.68561;20529.8;-88.67088;1678.582;749.88;101.260;2649;1610;25.06;25.69;21.71;24.58;1499.9;1.2;0.5;7;71.03;1.694317;10.58423;160.0793;11.48856;171.1943;286.93;22300.7;;;;625;703;;;0.1110;69.89;;;;;;0.840
2021-02-22;09:32:44;ZPi005;0;8;AFF1FF711FF---1FF-------------;;200.2472;-2.58375;;20525.58;-92.09663;;749.58;101.300;2651;1596;25.04;25.77;21.74;24.65;1499.9;0.7;0.7;7;;;;;;;;;;;;585;;;;;;;;;;;
2021-02-22;09:36:44;MP_005;104;8;AFF1FF711FF---1FF-------------;;199.437;-2.58375;-11.41791;20534.52;-92.09663;1794.556;749.66;101.310;2653;1623;25.06;25.82;23.70;24.75;1499.9;1.0;0.8;7;71.47;1.808482;10.70472;168.9426;7.933562;114.7951;190.60;22421.2;;;;565;;;;;;;;;;;
