Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Tmin;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-03-03;09:15:28;ZPc005;0000;8;AFF1FF411FF---1FF-------------;;400.453;-8.367345E-02;;20531.39;-178.3204;;749.77;101.992;2553;1490;24.83;25.23;25.76;24.12;1499.9;32.0;42.2;7;;;;;;;;;;;;0;;;;;;;;;;;
2021-03-03;09:25:05;ZPi005;0000;8;AFF1FF411FF---1FF-------------;CO2 Curve;399.6939;-0.1357699;;20509.57;-93.27195;;749.72;101.990;2566;1525;24.98;25.89;27.06;24.98;1499.3;0.6;42.4;7;;;;;;;;;;;;699;;;;;;;;;;;
2021-03-03;09:29:06;MP_005;0001;8;AFF1FF411FF---1FF-------------;;399.3093;-0.1357699;-12.73102;20509.97;-93.27195;1793.462;749.57;101.988;2573;1553;25.04;26.01;27.48;25.18;1499.7;0.7;42.1;7;71.93;1.808289;10.88532;166.1218;11.10192;276.8254;386.71;22396.7;;;;654;;;;;;;;;;;
2021-03-03;09:29:37;MP_005;0001;8;AFF1FF411FF---1FF-------------;;399.6865;-0.1357699;-12.75501;20505.75;-93.27195;1821.342;750.04;101.980;2573;1566;25.08;26.03;27.56;25.17;1499.9;0.6;41.4;7;71.86;1.836208;10.88713;168.6586;11.12049;278.4906;387.00;22422.5;;;;652;725;;;0.1007;63.43;;;;;;0.840
2021-03-03;09:32:52;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;299.6942;-0.3000693;;20536.43;-95.9147;;749.71;101.990;2577;1534;25.03;26.03;27.53;25.21;1500.2;0.9;42.0;7;;;;;;;;;;;;618;;;;;;;;;;;
2021-03-03;09:36:52;MP_005;0001;8;AFF1FF411FF---1FF-------------;;299.7385;-0.3000693;-9.687718;20551.57;-95.9147;1836.789;749.60;101.994;2581;1564;25.03;26.03;27.56;25.24;1499.9;0.7;42.4;7;72.29;1.852604;10.8256;171.1317;8.258348;210.8375;290.35;22484.3;;;;598;;;;;;;;;;;
2021-03-03;09:37:23;MP_005;0001;8;AFF1FF411FF---1FF-------------;;300.0005;-0.3000693;-9.699388;20543.05;-95.9147;1848.945;749.51;101.990;2581;1550;25.06;26.04;27.50;25.15;1500.7;0.6;41.9;7;72.15;1.864046;10.84659;171.8554;8.264453;211.3348;290.60;22490.0;;;;598;662;;;0.0967;60.94;;;;;;0.840
2021-03-03;09:40:38;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;199.5013;-0.2699052;;20588.05;-102.074;;749.62;101.988;2582;1532;25.00;26.01;27.42;25.17;1500.0;0.6;42.0;7;;;;;;;;;;;;578;;;;;;;;;;;
2021-03-03;09:44:38;MP_005;0001;8;AFF1FF411FF---1FF-------------;;199.4537;-0.2699052;-6.176363;20561.77;-102.074;1725.484;749.72;101.990;2586;1544;24.99;25.99;27.44;25.16;1499.5;1.0;41.9;7;72.13;1.751913;10.85364;161.4125;5.196137;140.5002;193.55;22389.3;;;;566;;;;;;;;;;;
2021-03-03;09:45:09;MP_005;0001;8;AFF1FF411FF---1FF-------------;;199.473;-0.2699052;-6.187334;20562.66;-102.074;1731.051;749.85;102.000;2586;1536;25.06;26.01;27.43;25.15;1500.7;0.6;41.9;7;71.86;1.75758;10.87589;161.6032;5.20633;140.4534;193.54;22395.6;;;;566;621;;;0.0886;55.82;;;;;;0.840
2021-03-03;09:48:24;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;96.65698;-0.3471068;;20582.82;-110.3775;;749.63;101.988;2587;1548;25.01;26.01;27.38;25.17;1500.0;0.9;41.9;7;;;;;;;;;;;;554;;;;;;;;;;;
2021-03-03;09:52:24;MP_005;0001;8;AFF1FF411FF---1FF-------------;;99.52471;-0.3471068;-2.304894;20577.61;-110.3775;1706.073;749.57;101.990;2590;1556;25.00;25.97;27.26;25.15;1499.5;0.7;42.1;7;72.13;1.740935;10.80418;161.1353;1.664518;79.95618;97.57;22394.1;;;;546;;;;;;;;;;;
2021-03-03;09:52:55;MP_005;0001;8;AFF1FF411FF---1FF-------------;;99.47567;-0.3471068;-2.338761;20556.55;-110.3775;1713.289;750.24;101.990;2590;1543;25.05;25.98;27.30;25.20;1499.9;0.6;41.9;7;71.87;1.749395;10.83134;161.5123;1.697222;79.60817;97.50;22380.0;;;;544;588;;;0.0748;47.14;;;;;;0.840
2021-03-03;09:56:10;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;49.17928;-0.3831582;;20565.24;-113.4149;;749.70;102.004;2591;1515;24.98;25.96;27.28;25.10;1500.0;0.9;42.0;7;;;;;;;;;;;;538;;;;;;;;;;;
2021-03-03;10:00:10;MP_005;0001;8;AFF1FF411FF---1FF-------------;;48.3083;-0.3831582;-0.3343329;20543.61;-113.4149;1605.975;749.60;102.002;2593;1545;24.99;25.95;27.28;25.15;1500.4;1.0;42.0;7;71.73;1.647745;10.88964;151.3131;-0.1254294;48.82482;48.36;22263.0;;;;534;;;;;;;;;;;
2021-03-03;10:00:41;MP_005;0001;8;AFF1FF411FF---1FF-------------;;48.23666;-0.3831582;-0.353395;20545.57;-113.4149;1645.938;749.38;102.000;2592;1555;25.03;25.95;27.24;25.15;1499.9;0.6;41.9;7;71.70;1.685636;10.84013;155.4996;-0.1092411;48.54458;48.27;22305.9;;;;534;572;;;0.0664;41.85;;;;;;0.840
2021-03-03;10:03:56;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;401.015;-0.3403381;;20541.02;-77.89838;;749.65;102.004;2592;1561;25.00;25.94;27.17;25.14;1499.9;0.9;41.8;7;;;;;;;;;;;;534;;;;;;;;;;;
2021-03-03;10:07:56;MP_005;0001;8;AFF1FF411FF---1FF-------------;;399.8972;-0.3403381;-13.3091;20553.42;-77.89838;1708.152;749.60;102.000;2595;1584;24.98;25.93;27.22;25.11;1499.7;0.6;42.0;7;72.02;1.711774;10.76752;158.9757;11.48943;268.6786;386.93;22339.5;;;;542;;;;;;;;;;;
2021-03-03;10:08:56;MP_005;0001;8;AFF1FF411FF---1FF-------------;;399.8445;-0.3403381;-13.33496;20538.27;-77.89838;1711.602;749.62;101.998;2597;1575;24.98;25.91;27.22;25.14;1500.0;1.0;42.0;7;71.99;1.715096;10.73567;159.7568;11.51277;268.9381;386.85;22327.8;;;;542;;;;;;;;;;;
2021-03-03;10:09:56;MP_005;0001;8;AFF1FF411FF---1FF-------------;;399.6803;-0.3403381;-13.36065;20542.23;-77.89838;1698.136;749.74;102.008;2597;1545;25.00;25.95;27.17;25.14;1500.4;0.9;41.9;7;71.89;1.702446;10.83115;157.1805;11.54401;266.5682;386.66;22318.3;;;;542;;;;;;;;;;;
2021-03-03;10:10:17;MP_005;0001;8;AFF1FF411FF---1FF-------------;;399.6168;-0.3403381;-13.36792;20550.06;-77.89838;1707.054;749.44;102.010;2596;1547;25.05;25.95;27.21;25.18;1499.9;1.2;42.4;7;71.73;1.710326;10.81089;158.204;11.54298;267.2475;386.58;22331.2;;;;542;609;;;0.1100;69.30;;;;;;0.840
2021-03-03;10:13:32;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;599.817;-0.2119552;;20546.33;-60.33471;;749.59;102.008;2596;1572;25.01;25.94;27.33;25.14;1499.7;0.9;42.2;7;;;;;;;;;;;;546;;;;;;;;;;;
2021-03-03;10:17:32;MP_005;0001;8;AFF1FF411FF---1FF-------------;;599.5436;-0.2119552;-19.12512;20547.22;-60.33471;1689.237;749.67;102.000;2597;1566;25.00;25.96;27.27;25.11;1499.9;0.7;42.0;7;71.81;1.676892;10.87488;154.1987;16.74964;402.8353;580.63;22296.8;;;;554;;;;;;;;;;;
2021-03-03;10:18:03;MP_005;0001;8;AFF1FF411FF---1FF-------------;;599.1601;-0.2119552;-19.12889;20557.02;-60.33471;1691.296;749.72;102.000;2598;1555;25.02;25.92;27.21;25.09;1499.9;0.6;41.9;7;71.78;1.679;10.77469;155.8282;16.75382;404.2517;580.25;22307.5;;;;553;628;;;0.1194;75.23;;;;;;0.840
2021-03-03;10:21:18;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;798.7463;-0.2144802;;20570.8;-53.66889;;749.71;102.002;2598;1611;25.01;25.97;27.32;25.15;1500.2;0.9;42.0;7;;;;;;;;;;;;558;;;;;;;;;;;
2021-03-03;10:25:18;MP_005;0001;8;AFF1FF411FF---1FF-------------;;798.8256;-0.2144802;-23.01132;20549.86;-53.66889;1675.088;749.71;102.008;2599;1588;25.02;26.00;27.44;25.16;1499.7;0.7;42.1;7;71.66;1.656991;10.96739;151.0834;20.07781;557.3108;776.03;22278.6;;;;562;;;;;;;;;;;
2021-03-03;10:25:49;MP_005;0001;8;AFF1FF411FF---1FF-------------;;799.0875;-0.2144802;-23.04529;20549.88;-53.66889;1678.269;749.70;102.010;2599;1562;25.05;25.98;27.43;25.15;1500.7;0.6;41.9;7;71.58;1.660031;10.91958;152.0234;20.10661;558.5614;776.26;22287.1;;;;562;646;;;0.1300;81.96;;;;;;0.840
2021-03-03;10:29:05;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;998.9769;-4.653123E-02;;20562.85;-43.2806;;749.64;102.004;2598;1589;25.00;26.00;27.44;25.17;1500.5;0.7;42.2;7;;;;;;;;;;;;571;;;;;;;;;;;
2021-03-03;10:33:05;MP_005;0001;8;AFF1FF411FF---1FF-------------;;999.8572;-4.653123E-02;-25.72207;20553.08;-43.2806;1692.033;749.58;102.010;2600;1547;25.01;26.01;27.44;25.18;1499.5;1.0;41.9;7;71.75;1.663003;10.98858;151.3392;22.43715;728.308;974.18;22288.4;;;;575;;;;;;;;;;;
2021-03-03;10:33:36;MP_005;0001;8;AFF1FF411FF---1FF-------------;;999.1047;-4.653123E-02;-25.70924;20559.79;-43.2806;1692.796;749.62;102.000;2599;1562;25.03;26.03;27.40;25.14;1499.9;1.2;41.9;7;71.66;1.663834;11.01282;151.0816;22.42684;727.2939;973.47;22293.0;;;;574;662;;;0.1329;83.74;;;;;;0.840
2021-03-03;10:36:51;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;1198.229;2.820363E-02;;20554.25;-34.5358;;749.69;102.010;2601;1589;25.00;26.03;27.41;25.14;1499.7;0.6;42.1;7;;;;;;;;;;;;582;;;;;;;;;;;
2021-03-03;10:40:51;MP_005;0001;8;AFF1FF411FF---1FF-------------;;1200.251;2.820363E-02;-27.64576;20552.2;-34.5358;1705.376;749.67;102.010;2603;1610;25.02;26.06;27.33;25.18;1500.0;0.9;42.1;7;71.72;1.667625;11.08713;150.4109;23.97751;905.9172;1172.58;22292.1;;;;585;;;;;;;;;;;
2021-03-03;10:41:22;MP_005;0001;8;AFF1FF411FF---1FF-------------;;1199.513;2.820363E-02;-27.55271;20552.35;-34.5358;1703.1;749.67;102.010;2602;1584;25.05;26.06;27.43;25.14;1499.9;1.2;41.9;7;71.60;1.665443;11.0745;150.3853;23.89394;906.1301;1171.94;22291.9;;;;586;673;;;0.1293;81.43;;;;;;0.840
2021-03-03;10:44:37;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;1399.478;9.013101E-02;;20564.39;-27.01546;;749.69;102.002;2602;1599;25.00;26.06;27.37;25.13;1500.2;0.6;42.0;7;;;;;;;;;;;;590;;;;;;;;;;;
2021-03-03;10:48:37;MP_005;0001;8;AFF1FF411FF---1FF-------------;;1398.928;9.013101E-02;-28.2511;20545.61;-27.01546;1695.107;749.63;102.008;2602;1611;25.01;26.08;27.37;25.14;1499.5;0.9;42.1;7;71.68;1.650453;11.14471;148.0929;24.29483;1093.249;1370.59;22267.7;;;;587;;;;;;;;;;;
2021-03-03;10:49:08;MP_005;0001;8;AFF1FF411FF---1FF-------------;;1399.038;9.013101E-02;-28.14725;20559.08;-27.01546;1672.042;749.64;102.010;2601;1571;25.03;26.11;27.46;25.14;1499.9;0.6;41.9;7;71.57;1.628359;11.20266;145.3546;24.22783;1089.275;1370.79;22260.6;;;;586;676;;;0.1331;83.87;;;;;;0.840
2021-03-03;10:52:23;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;1597.624;0.3174023;;20554.99;-21.00396;;749.68;102.006;2603;1610;24.99;26.11;27.35;25.13;1499.7;0.7;41.9;7;;;;;;;;;;;;590;;;;;;;;;;;
2021-03-03;10:56:23;MP_005;0001;8;AFF1FF411FF---1FF-------------;;1598.716;0.3174023;-28.60376;20549.17;-21.00396;1626.195;749.77;102.002;2605;1631;25.02;26.12;27.53;25.16;1499.7;0.9;41.9;7;71.41;1.578829;11.29032;139.8391;24.627;1270.055;1569.80;22196.4;;;;586;;;;;;;;;;;
2021-03-03;10:56:54;MP_005;0001;8;AFF1FF411FF---1FF-------------;;1598.554;0.3174023;-28.47622;20549.13;-21.00396;1606.434;749.64;102.000;2604;1621;25.05;26.15;27.42;25.12;1499.9;0.6;42.4;7;71.22;1.559584;11.3889;136.939;24.5331;1265.059;1569.72;22176.0;;;;585;670;;;0.1269;79.92;;;;;;0.840
2021-03-03;11:00:09;ZPi005;0000;8;AFF1FF411FF---1FF-------------;;1797.182;0.4484483;;20569.36;-11.74417;;749.66;102.000;2605;1603;24.99;26.15;27.41;25.16;1499.7;0.9;42.0;7;;;;;;;;;;;;586;;;;;;;;;;;
2021-03-03;11:04:09;MP_005;0001;8;AFF1FF311FF---1FF-------------;;1798.002;0.4484483;-27.67706;20561.43;-11.74417;1529.605;749.73;102.000;2606;1645;24.99;26.15;27.45;25.14;1500.0;0.9;42.0;7;71.21;1.477139;11.46371;128.8535;23.74373;1453.593;1769.88;22102.8;;;;582;;;;;;;;;;;
2021-03-03;11:04:40;MP_005;0001;8;AFF1FF311FF---1FF-------------;;1797.58;0.4484483;-27.68759;20562.61;-11.74417;1532.828;749.64;101.990;2605;1618;25.06;26.18;27.43;25.14;1499.9;0.6;41.9;7;70.92;1.480069;11.52754;128.3941;23.74604;1452.014;1769.50;22106.7;;;;582;667;;;0.1274;80.28;;;;;;0.840
2021-03-03;11:07:55;ZPi005;0000;8;AFF1FF311FF---1FF-------------;;1997.142;0.6254095;;20556.85;-7.993721;;749.65;101.986;2606;1629;25.01;26.20;27.38;25.11;1499.7;0.6;42.0;7;;;;;;;;;;;;582;;;;;;;;;;;
2021-03-03;11:11:55;MP_005;0001;8;AFF1FF411FF---1FF-------------;;1998.43;0.6254095;-27.38792;20562.06;-7.993721;1296.88;749.63;101.984;2607;1607;24.99;26.18;27.39;25.07;1500.2;0.7;41.8;7;70.47;1.250056;11.76817;106.2235;23.78653;1588.42;1970.42;21866.9;;;;578;;;;;;;;;;;
2021-03-03;11:12:26;MP_005;0001;8;AFF1FF411FF---1FF-------------;;1998.447;0.6254095;-27.23146;20559.93;-7.993721;1262.23;749.67;101.990;2606;1635;25.03;26.17;27.42;25.12;1499.9;0.6;41.9;7;70.16;1.216872;11.78056;103.295;23.70643;1579.899;1970.55;21827.6;;;;577;662;;;0.1284;80.88;;;;;;0.840
2021-03-03;11:19:10;ZPi005;0000;8;AFF1FF311FF---1FF-------------;ligth Curve;399.494;-0.126681;;20540.61;-74.94199;;749.73;101.982;2606;1620;25.01;26.16;27.45;25.17;1499.7;0.6;41.9;7;;;;;;;;;;;;522;;;;;;;;;;;
2021-03-03;11:25:12;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.6044;-0.126681;-11.07175;20554.03;-74.94199;1500.232;749.63;101.984;2607;1642;25.01;26.08;27.42;25.13;1499.9;1.0;41.8;7;71.22;1.509406;11.30085;133.5657;9.669344;269.9196;388.66;22129.2;;;;526;;;;;;;;;;;
2021-03-03;11:26:12;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.6712;-0.126681;-11.07402;20540.39;-74.94199;1514.162;749.62;101.986;2607;1609;24.98;26.05;27.55;25.11;1500.0;0.7;42.1;7;71.36;1.522723;11.24207;135.4486;9.665978;271.6078;388.72;22129.5;;;;526;;;;;;;;;;;
2021-03-03;11:27:12;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.5586;-0.126681;-11.04295;20562.87;-74.94199;1492.085;749.62;101.984;2607;1643;25.01;26.08;27.44;25.18;1499.9;0.6;41.8;7;71.22;1.50158;11.30014;132.8815;9.645285;269.6069;388.64;22129.9;;;;525;;;;;;;;;;;
2021-03-03;11:28:12;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.6026;-0.126681;-11.04401;20548.76;-74.94199;1484.22;749.64;101.988;2605;1633;25.01;26.09;27.39;25.15;1499.9;0.7;41.9;7;71.17;1.49404;11.32767;131.893;9.649359;268.7461;388.69;22107.9;;;;525;;;;;;;;;;;
2021-03-03;11:29:12;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.6816;-0.126681;-11.17054;20562.51;-74.94199;1480.969;749.63;101.988;2605;1630;25.01;26.10;27.45;25.20;1499.7;0.7;42.1;7;71.19;1.49092;11.3426;131.4443;9.769063;266.8974;388.64;22118.4;;;;525;;;;;;;;;;;
2021-03-03;11:29:13;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.7868;-0.126681;-11.16576;20555.05;-74.94199;1481.591;749.64;101.990;2606;1634;25.06;26.07;27.43;25.15;1499.0;0.6;41.9;7;70.94;1.49154;11.29565;132.0455;9.764405;267.6;388.74;22113.5;;;;524;584;;;0.1027;64.68;;;;;;0.840
2021-03-03;11:30:24;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.5309;-0.126681;-10.90035;20561.23;-74.94199;1463.757;749.61;101.984;2606;1635;24.97;25.72;27.43;25.27;999.7;0.5;41.7;7;71.27;1.474369;10.5942;139.1675;9.521929;276.5236;388.76;22099.9;;;;501;;;;;;;;;;;
2021-03-03;11:31:24;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.6916;-0.126681;-10.96106;20533.75;-74.94199;1429.854;749.58;101.982;2604;1608;24.98;25.71;27.34;25.22;1000.1;0.5;41.9;7;71.05;1.441732;10.65137;135.3566;9.590938;272.8233;388.86;22038.5;;;;506;;;;;;;;;;;
2021-03-03;11:32:24;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.8026;-0.126681;-10.94127;20550.59;-74.94199;1411.903;749.68;101.986;2604;1652;24.96;25.70;27.38;25.15;999.4;0.5;42.0;7;71.11;1.424721;10.63227;133.9997;9.580164;271.976;388.99;22037.4;;;;504;;;;;;;;;;;
2021-03-03;11:32:25;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.7725;-0.126681;-10.93574;20546.99;-74.94199;1413.813;749.62;101.980;2604;1642;25.00;25.71;27.40;25.15;999.9;0.6;42.4;7;70.96;1.426431;10.64706;133.9743;9.573504;271.9991;388.96;22037.2;;;;505;598;;;0.1555;65.31;;;;;;0.840
2021-03-03;11:33:36;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.5177;-0.126681;-10.68968;20545.95;-74.94199;1389.081;749.62;101.984;2606;1644;24.96;25.51;27.41;25.21;749.8;0.2;41.9;7;71.04;1.402695;10.27355;136.5346;9.352184;276.765;388.95;22010.0;;;;494;;;;;;;;;;;
2021-03-03;11:34:36;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.5642;-0.126681;-10.75531;20552.33;-74.94199;1375.921;749.63;101.982;2606;1613;24.97;25.51;27.34;25.12;750.1;0.7;41.9;7;70.97;1.390106;10.28739;135.1271;9.418808;274.8719;388.94;22003.2;;;;497;;;;;;;;;;;
2021-03-03;11:35:36;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.7452;-0.126681;-10.84132;20553.39;-74.94199;1369.532;749.70;101.982;2604;1622;24.96;25.49;27.22;25.13;750.1;0.6;41.8;7;71.00;1.384093;10.2493;135.0427;9.502455;273.9589;389.03;21997.9;;;;497;;;;;;;;;;;
2021-03-03;11:35:37;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.755;-0.126681;-10.83498;20561.17;-74.94199;1368.751;749.64;101.990;2605;1610;25.00;25.52;27.19;25.14;750.8;0.6;41.9;7;70.84;1.383246;10.31074;134.1558;9.496106;273.3033;389.05;21996.1;;;;497;626;;;0.2061;64.98;;;;;;0.840
2021-03-03;11:36:48;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.5591;-0.126681;-10.21057;20541.22;-74.94199;1328.817;749.64;101.984;2606;1634;24.96;25.28;27.30;25.12;500.0;0.2;41.8;7;70.85;1.344904;9.90129;135.8312;8.925283;281.7856;389.48;21945.0;;;;516;;;;;;;;;;;
2021-03-03;11:37:48;MP_005;0001;8;AFF1FF311FF---1FF-------------;;399.7336;-0.126681;-10.25945;20546.98;-74.94199;1322.287;749.62;101.984;2606;1603;24.97;25.30;27.35;25.10;499.8;0.5;41.8;7;70.80;1.33861;9.932861;134.7658;8.97311;280.5394;389.60;21944.2;;;;517;;;;;;;;;;;
