Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-04-14;09:19:55;ZPc005;0000;8;AFF1FF312FF---1FF-------------;;399.623;-0.7380806;;20551.81;-99.12013;;749.66;101.002;2674;1671;24.93;25.40;25.42;24.98;1499.4;42.3;14.2;7;;;;;;;;;;;;0;;;;;;;;;;;
2021-04-14;09:28:05;ZPi005;0000;8;AFF1FF312FF---1FF-------------;CO2 Curve;399.4906;-0.7737107;;20544.48;-79.48344;;749.62;100.996;2688;1686;25.00;25.91;26.49;25.08;1499.4;1.4;26.5;7;;;;;;;;;;;;626;;;;;;;;;;;
2021-04-14;09:32:06;MP_005;0001;8;AFF1FF312FF---1FF-------------;;399.4084;-0.7737107;-7.813519;20548.6;-79.48344;827.2654;749.60;101.000;2695;1655;25.00;25.94;26.63;25.08;1498.8;1.6;26.5;7;68.43;0.868255;12.02128;72.2265;6.255645;251.22;392.37;21455.4;;;;578;;;;;;;;;;;
2021-04-14;09:32:37;MP_005;0001;8;AFF1FF312FF---1FF-------------;;399.4265;-0.7737107;-7.798706;20558.2;-79.48344;823.9607;749.83;100.990;2695;1662;25.03;25.95;26.68;25.16;1500.6;0.9;26.3;7;68.33;0.8653565;12.0422;71.86034;6.244826;250.8128;392.42;21463.3;;;;574;621;;;0.0757;47.70;;;;;;0.840
2021-04-14;09:35:52;ZPi005;0000;8;AFF1FF312FF---1FF-------------;;299.62;-0.8250217;;20577.93;-85.46008;;749.65;101.006;2699;1681;24.99;25.91;26.74;25.06;1499.2;1.7;26.5;7;;;;;;;;;;;;548;;;;;;;;;;;
2021-04-14;09:39:52;MP_005;0001;8;AFF1FF312FF---1FF-------------;;299.8904;-0.8250217;-6.490812;20562.97;-85.46008;965.3264;749.57;101.008;2703;1686;25.00;25.90;26.92;25.06;1499.0;1.2;26.7;7;68.95;1.006292;11.77953;85.42713;5.012527;198.1659;294.22;21613.8;;;;535;;;;;;;;;;;
2021-04-14;09:40:23;MP_005;0001;8;AFF1FF312FF---1FF-------------;;299.7007;-0.8250217;-6.556414;20560.11;-85.46008;980.9172;749.67;101.010;2703;1658;25.01;25.88;26.88;25.15;1499.6;0.9;26.3;7;68.95;1.021385;11.73335;87.04971;5.070551;198.6025;293.98;21633.2;;;;534;576;;;0.0729;45.93;;;;;;0.840
2021-04-14;09:43:38;ZPi005;0000;8;AFF1FF312FF---1FF-------------;;199.6013;-0.7455004;;20576.18;-91.87724;;749.68;101.014;2707;1685;24.99;25.86;26.78;25.02;1499.4;1.2;26.7;7;;;;;;;;;;;;522;;;;;;;;;;;
2021-04-14;09:47:38;MP_005;0001;8;AFF1FF312FF---1FF-------------;;199.608;-0.7455004;-4.568464;20556.67;-91.87724;1161.096;747.75;101.006;2710;1671;24.98;25.83;26.69;24.98;1499.2;1.4;26.3;7;69.63;1.19725;11.4516;104.5487;3.338872;142.9392;195.79;21809.7;;;;514;;;;;;;;;;;
2021-04-14;09:48:09;MP_005;0001;8;AFF1FF312FF---1FF-------------;;200.0101;-0.7455004;-4.570614;20556.4;-91.87724;1137.89;749.62;101.010;2710;1674;25.01;25.85;26.72;25.05;1498.6;0.9;26.3;7;69.43;1.177981;11.51466;102.3028;3.353117;142.0148;196.18;21784.4;;;;514;552;;;0.0688;43.33;;;;;;0.840
