Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Tmin;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-03-01;09:51:09;ZPc005;0000;8;AFF1FF511FF---1FF-------------;;399.4722;-0.136716;;20579.87;-166.2499;;749.62;101.660;2565;1529;25.14;25.66;29.63;24.09;1499.9;31.6;34.8;7;;;;;;;;;;;;0;;;;;;;;;;;
2021-03-01;10:00:46;ZPi005;0000;8;AFF1FF511FF---1FF-------------;CO2 Curve;399.4296;-9.077583E-02;;20572.21;-97.17572;;749.66;101.670;2577;1536;25.22;26.68;31.55;25.64;1499.7;1.1;42.1;7;;;;;;;;;;;;646;;;;;;;;;;;
2021-03-01;10:04:47;MP_005;0104;8;AFF1FF511FF---1FF-------------;;398.9321;-9.077583E-02;-6.69854;20557.67;-97.17572;645.6639;749.70;101.666;2583;1522;25.41;26.97;32.57;25.91;1499.9;1.2;42.0;7;66.74;0.7112807;14.09469;50.46446;5.913217;202.9853;392.32;21300.5;;;;609;;;;;;;;;;;
2021-03-01;10:05:18;MP_005;0104;8;AFF1FF511FF---1FF-------------;;399.5562;-9.077583E-02;-6.736407;20555.71;-97.17572;679.8651;749.64;101.670;2583;1558;25.46;26.96;32.58;25.90;1499.0;1.2;41.9;7;66.64;0.7440031;14.04482;52.97351;5.935047;211.4422;392.84;21334.7;;;;606;672;;;0.0982;61.83;;;;;;0.840
2021-03-01;10:08:33;ZPi005;0000;8;AFF1FF511FF---1FF-------------;;299.6967;-0.2637214;;20578.86;-99.34264;;749.62;101.662;2587;1570;25.36;26.93;32.73;25.81;1500.0;1.0;42.0;7;;;;;;;;;;;;587;;;;;;;;;;;
2021-03-01;10:12:33;MP_005;0104;8;AFF1FF511FF---1FF-------------;;299.5779;-0.2637214;-6.450128;20555.94;-99.34264;978.0839;749.61;101.664;2591;1573;25.25;26.83;32.26;25.84;1499.7;0.9;42.1;7;68.40;1.031882;13.45884;76.66944;5.493975;176.6704;293.39;21633.4;;;;578;;;;;;;;;;;
2021-03-01;10:13:04;MP_005;0104;8;AFF1FF511FF---1FF-------------;;299.1745;-0.2637214;-6.494479;20552.41;-99.34264;1000.876;749.83;101.660;2592;1624;25.25;26.79;32.20;25.81;1499.9;1.2;41.9;7;68.47;1.054044;13.34916;78.95956;5.531186;178.7746;292.97;21656.8;;;;577;637;;;0.0942;59.33;;;;;;0.840
2021-03-01;10:16:19;ZPi005;0000;8;AFF1FF511FF---1FF-------------;;199.9602;-0.2349391;;20570.35;-109.5197;;749.65;101.670;2595;1571;25.03;26.63;32.05;25.58;1500.0;0.6;42.0;7;;;;;;;;;;;;562;;;;;;;;;;;
2021-03-01;10:20:19;MP_005;0104;8;AFF1FF511FF---1FF-------------;;199.5795;-0.2349391;-3.879094;20546.01;-109.5197;985.1438;749.65;101.672;2599;1603;24.95;26.56;31.89;25.56;1499.9;1.1;42.1;7;69.68;1.048464;12.89538;81.30536;3.20939;131.0679;195.94;21640.7;;;;557;;;;;;;;;;;
