Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-03-31;09:27:21;ZPi005;0000;8;AFF1FF112FF---1FF-------------;CO2 Curve;399.3784;-1.153364;;20525.71;-105.5288;;749.57;101.430;2630;1594;24.94;25.54;27.00;25.14;1499.0;1.7;16.1;7;;;;;;;;;;;;654;;;;;;;;;;;
2021-03-31;09:31:22;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.2793;-1.153364;-11.57783;20535.25;-105.5288;1158.626;749.67;101.434;2637;1608;24.98;25.58;27.26;25.17;1499.4;1.4;16.1;7;69.90;1.211024;10.81854;111.9396;9.297727;253.8575;388.85;21799.4;;;;622;;;;;;;;;;;
2021-03-31;09:31:53;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.2108;-1.153364;-11.63521;20549.84;-105.5288;1163.927;749.64;101.440;2638;1612;25.00;25.57;27.34;25.24;1497.6;1.7;15.7;7;69.90;1.216081;10.76757;112.9392;9.349363;254.168;388.71;21816.3;;;;618;693;;;0.1082;68.07;;;;;;0.840
2021-03-31;09:35:08;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;299.7042;-1.197904;;20566.23;-111.2236;;749.60;101.432;2643;1611;25.00;25.62;27.37;25.16;1499.4;1.6;16.3;7;;;;;;;;;;;;593;;;;;;;;;;;
2021-03-31;09:39:08;MP_005;0001;8;AFF1FF112FF---1FF-------------;;299.7439;-1.197904;-9.438015;20558.29;-111.2236;1316.797;749.53;101.432;2648;1629;25.00;25.62;27.53;25.13;1499.4;1.6;15.9;7;70.43;1.368016;10.70388;127.8056;7.321527;198.0497;291.50;21986.3;;;;578;;;;;;;;;;;
2021-03-31;09:39:39;MP_005;0001;8;AFF1FF112FF---1FF-------------;;299.7064;-1.197904;-9.491605;20568.65;-111.2236;1323.205;749.54;101.430;2647;1655;25.01;25.60;27.50;25.20;1500.6;0.9;15.7;7;70.41;1.374184;10.64599;129.0799;7.37011;198.2811;291.42;22000.5;;;;577;641;;;0.0998;62.93;;;;;;0.840
2021-03-31;09:42:54;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;199.5497;-1.06531;;20593.4;-113.0841;;749.64;101.430;2652;1661;24.99;25.58;27.57;25.09;1498.8;1.4;16.2;7;;;;;;;;;;;;560;;;;;;;;;;;
2021-03-31;09:46:54;MP_005;0001;8;AFF1FF112FF---1FF-------------;;199.6897;-1.06531;-6.352357;20568.87;-113.0841;1426.187;749.68;101.438;2656;1657;24.99;25.55;27.39;25.04;1499.2;1.4;16.1;7;70.87;1.475062;10.44518;141.2194;4.667739;140.1144;194.40;22108.1;;;;550;;;;;;;;;;;
2021-03-31;09:47:25;MP_005;0001;8;AFF1FF112FF---1FF-------------;;199.6646;-1.06531;-6.346431;20559.94;-113.0841;1436.436;749.75;101.440;2657;1649;25.01;25.55;27.45;25.13;1500.6;1.7;16.2;7;70.78;1.485026;10.43354;142.3319;4.660813;140.5161;194.32;22112.9;;;;550;609;;;0.0969;61.06;;;;;;0.840
2021-03-31;09:50:40;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;99.42417;-1.066495;;20581.7;-121.3295;;749.55;101.430;2661;1654;24.99;25.53;27.42;25.03;1498.8;1.4;16.1;7;;;;;;;;;;;;539;;;;;;;;;;;
2021-03-31;09:54:40;MP_005;0001;8;AFF1FF112FF---1FF-------------;;99.40715;-1.066495;-2.733962;20594.27;-121.3295;1550.839;749.67;101.432;2664;1667;24.99;25.52;27.48;25.01;1498.8;1.2;15.9;7;71.35;1.602654;10.21017;156.9664;1.405919;82.33295;97.74;22266.4;;;;534;;;;;;;;;;;
2021-03-31;09:55:11;MP_005;0001;8;AFF1FF112FF---1FF-------------;;99.53378;-1.066495;-2.764962;20549.13;-121.3295;1561.572;749.67;101.450;2665;1625;25.01;25.49;27.39;25.08;1499.6;0.9;16.8;7;71.18;1.612894;10.17707;158.4831;1.433853;82.26771;97.81;22237.8;;;;533;581;;;0.0826;52.03;;;;;;0.840
2021-03-31;09:58:26;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;49.4487;-1.056065;;20567.38;-123.9908;;749.63;101.430;2668;1666;24.99;25.47;27.49;24.99;1499.6;1.0;16.2;7;;;;;;;;;;;;526;;;;;;;;;;;
2021-03-31;10:02:26;MP_005;0001;8;AFF1FF112FF---1FF-------------;;49.40471;-1.056065;-0.8993808;20561.23;-123.9908;1665.191;749.57;101.438;2671;1670;24.99;25.44;27.51;24.99;1499.2;1.0;16.1;7;71.62;1.714723;9.97237;171.9474;-0.2317911;50.88303;49.56;22350.4;;;;522;;;;;;;;;;;
2021-03-31;10:02:57;MP_005;0001;8;AFF1FF112FF---1FF-------------;;49.46868;-1.056065;-0.8980386;20554.93;-123.9908;1660.36;749.57;101.440;2672;1682;25.03;25.42;27.50;25.08;1499.6;0.9;16.2;7;71.46;1.710077;9.942855;171.9905;-0.2329307;50.96034;49.63;22347.9;;;;522;560;;;0.0679;42.74;;;;;;0.840
2021-03-31;10:06:12;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;400.2926;-1.280825;;20570.64;-89.12912;;749.58;101.442;2674;1658;24.99;25.44;27.42;24.97;1499.0;1.2;16.2;7;;;;;;;;;;;;529;;;;;;;;;;;
2021-03-31;10:10:12;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.522;-1.280825;-13.56826;20554.02;-89.12912;1697.056;749.57;101.436;2677;1655;24.99;25.44;27.42;24.97;1499.6;1.0;16.3;7;71.58;1.711833;9.989698;171.3599;10.85;283.2357;387.23;22340.2;;;;534;;;;;;;;;;;
2021-03-31;10:11:12;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.6606;-1.280825;-13.59869;20541.44;-89.12912;1696.955;749.66;101.432;2677;1643;24.99;25.45;27.51;25.00;1499.0;1.4;16.2;7;71.54;1.711917;10.01021;171.0171;10.87966;282.8667;387.34;22327.5;;;;534;;;;;;;;;;;
2021-03-31;10:12:12;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.7633;-1.280825;-13.58484;20541.52;-89.12912;1685.468;749.65;101.432;2678;1658;24.98;25.44;27.59;25.00;1499.6;1.4;16.4;7;71.55;1.700876;10.01547;169.8249;10.87068;282.3692;387.46;22316.1;;;;534;;;;;;;;;;;
2021-03-31;10:12:33;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.6075;-1.280825;-13.5885;20558.89;-89.12912;1635.448;749.90;101.440;2679;1655;25.03;25.46;27.55;25.10;1498.6;0.9;16.2;7;71.26;1.653434;10.06923;164.2065;10.89659;278.5622;387.31;22285.9;;;;534;601;;;0.1115;70.17;;;;;;0.840
2021-03-31;10:15:48;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;600.1364;-1.386286;;20562.98;-77.65619;;749.70;101.434;2682;1669;25.00;25.45;27.52;24.98;1499.2;1.6;16.2;7;;;;;;;;;;;;542;;;;;;;;;;;
2021-03-31;10:19:48;MP_005;0001;8;AFF1FF112FF---1FF-------------;;599.2844;-1.386286;-19.40697;20553.66;-77.65619;1610.94;749.60;101.434;2685;1657;24.99;25.45;27.47;24.98;1499.6;1.6;16.1;7;71.30;1.618212;10.10289;160.1732;15.94482;418.0946;581.26;22242.3;;;;546;;;;;;;;;;;
2021-03-31;10:20:19;MP_005;0001;8;AFF1FF112FF---1FF-------------;;599.162;-1.386286;-19.37806;20589.25;-77.65619;1606.11;749.38;101.430;2686;1682;25.01;25.46;27.57;25.08;1498.6;1.7;16.2;7;71.22;1.613131;10.10485;159.6393;15.91591;417.7627;581.17;22254.0;;;;545;621;;;0.1224;77.03;;;;;;0.840
2021-03-31;10:23:34;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;801.034;-1.503453;;20579.52;-67.66801;;749.76;101.434;2689;1672;24.99;25.45;27.41;24.98;1499.2;1.2;16.1;7;;;;;;;;;;;;552;;;;;;;;;;;
2021-03-31;10:27:34;MP_005;0001;8;AFF1FF112FF---1FF-------------;;798.4312;-1.503453;-23.32622;20553.08;-67.66801;1556.656;749.73;101.440;2691;1694;24.99;25.47;27.53;24.99;1499.2;1.2;16.2;7;71.08;1.556776;10.20475;152.554;19.2424;569.1261;776.61;22177.4;;;;554;;;;;;;;;;;
2021-03-31;10:28:05;MP_005;0001;8;AFF1FF112FF---1FF-------------;;798.5176;-1.503453;-23.32537;20551.4;-67.66801;1555.966;749.33;101.450;2690;1680;25.01;25.49;27.55;25.05;1498.6;1.7;16.8;7;70.98;1.555283;10.24414;151.8218;19.23175;568.3766;776.73;22172.5;;;;554;638;;;0.1317;82.87;;;;;;0.840
2021-03-31;10:31:21;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;1001.097;-1.464726;;20568.7;-53.86576;;749.57;101.438;2693;1700;25.00;25.50;27.55;25.00;1499.0;1.2;16.2;7;;;;;;;;;;;;561;;;;;;;;;;;
2021-03-31;10:35:21;MP_005;0001;8;AFF1FF112FF---1FF-------------;;998.1295;-1.464726;-25.82781;20552.17;-53.86576;1478.051;749.70;101.438;2694;1704;25.00;25.50;27.60;25.00;1499.0;1.4;16.1;7;70.75;1.46801;10.36346;141.6525;21.40164;724.3464;973.77;22084.1;;;;566;;;;;;;;;;;
2021-03-31;10:35:52;MP_005;0001;8;AFF1FF112FF---1FF-------------;;998.2798;-1.464726;-25.81034;20547.21;-53.86576;1473.357;749.64;101.440;2695;1676;25.01;25.50;27.53;25.08;1499.6;0.9;16.2;7;70.65;1.463395;10.37921;140.9929;21.38804;723.4767;973.86;22074.2;;;;565;650;;;0.1308;82.36;;;;;;0.840
2021-03-31;10:39:07;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;1198.329;-1.565379;;20572.68;-46.60806;;749.66;101.430;2697;1694;25.00;25.52;27.63;24.99;1499.4;1.4;16.2;7;;;;;;;;;;;;570;;;;;;;;;;;
2021-03-31;10:43:07;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1195.955;-1.565379;-27.41889;20558.5;-46.60806;1377.363;749.65;101.432;2699;1674;24.99;25.50;27.68;24.98;1499.0;1.0;16.2;7;70.44;1.36435;10.47552;130.2418;22.63008;882.2753;1170.10;21982.5;;;;570;;;;;;;;;;;
2021-03-31;10:43:38;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1196.354;-1.565379;-27.35995;20581.01;-46.60806;1367.378;749.62;101.450;2699;1700;25.03;25.54;27.66;25.07;1499.6;0.9;16.2;7;70.33;1.354728;10.5241;128.7262;22.58437;879.9809;1170.51;21990.8;;;;570;658;;;0.1337;84.23;;;;;;0.840
2021-03-31;10:46:53;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;1392.709;-1.583379;;20586.02;-43.33503;;749.61;101.442;2702;1712;24.98;25.52;27.54;24.97;1499.6;1.4;16.2;7;;;;;;;;;;;;574;;;;;;;;;;;
2021-03-31;10:50:53;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1393.323;-1.583379;-27.92512;20568.81;-43.33503;1241.572;749.76;101.442;2704;1705;24.99;25.55;27.59;24.97;1499.2;1.4;16.0;7;70.04;1.231118;10.70405;115.0142;23.00452;1034.905;1366.98;21853.7;;;;574;;;;;;;;;;;
2021-03-31;10:51:24;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1392.643;-1.583379;-27.89428;20566.12;-43.33503;1229.991;749.64;101.430;2703;1714;25.01;25.54;27.65;25.07;1498.6;0.9;16.2;7;69.89;1.219813;10.68737;114.1359;22.988;1032.216;1366.41;21837.2;;;;574;662;;;0.1329;83.67;;;;;;0.840
2021-03-31;10:54:39;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;1582.102;-1.556242;;20571.71;-34.47287;;749.69;101.454;2705;1703;24.99;25.58;27.58;24.99;1499.2;1.6;16.3;7;;;;;;;;;;;;578;;;;;;;;;;;
2021-03-31;10:58:39;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1588.804;-1.556242;-28.32795;20567.92;-34.47287;1116.884;749.67;101.448;2708;1725;24.99;25.58;27.55;24.97;1499.2;1.0;16.4;7;69.60;1.102876;10.8835;101.3346;23.36471;1179.074;1562.03;21719.3;;;;576;;;;;;;;;;;
2021-03-31;10:59:10;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1588.843;-1.556242;-28.29519;20551.73;-34.47287;1102.982;749.80;101.450;2708;1709;25.01;25.58;27.55;25.05;1498.6;0.9;15.7;7;69.42;1.089712;10.92974;99.70152;23.35877;1173.377;1562.19;21685.8;;;;577;662;;;0.1284;80.82;;;;;;0.840
2021-03-31;11:02:25;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;1767.844;-1.501788;;20592.49;-32.74113;;749.65;101.442;2710;1713;24.99;25.61;27.53;24.98;1499.0;1.2;16.1;7;;;;;;;;;;;;578;;;;;;;;;;;
2021-03-31;11:06:25;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1781.295;-1.501788;-27.18312;20556.54;-32.74113;921.2261;749.84;101.432;2711;1713;24.99;25.63;27.58;24.97;1499.2;1.0;15.9;7;68.92;0.9138128;11.20279;81.57012;22.46688;1299.248;1755.61;21510.5;;;;574;;;;;;;;;;;
2021-03-31;11:06:56;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1780.645;-1.501788;-26.9574;20550.42;-32.74113;906.8441;749.70;101.440;2710;1700;25.03;25.60;27.49;25.04;1500.6;1.7;16.2;7;68.73;0.8998448;11.16105;80.62366;22.27554;1297.637;1755.23;21493.1;;;;574;659;;;0.1290;81.29;;;;;;0.840
2021-03-31;11:10:11;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;1935.05;-1.533936;;20581.74;-24.82294;;749.66;101.440;2714;1698;24.99;25.63;27.67;24.99;1499.0;1.2;15.9;7;;;;;;;;;;;;574;;;;;;;;;;;
2021-03-31;11:14:11;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1961.751;-1.533936;-27.32256;20563.91;-24.82294;772.6166;749.55;101.440;2715;1717;25.00;25.66;27.72;24.99;1499.4;1.4;16.3;7;68.44;0.7634596;11.41565;66.87833;22.6843;1377.328;1935.96;21361.4;;;;574;;;;;;;;;;;
2021-03-31;11:14:42;MP_005;0001;8;AFF1FF112FF---1FF-------------;;1961.335;-1.533936;-27.29567;20563.49;-24.82294;766.2725;749.83;101.440;2715;1705;25.03;25.66;27.69;25.10;1499.6;0.9;16.2;7;68.28;0.7576591;11.43011;66.28627;22.67948;1372.411;1935.65;21353.4;;;;574;656;;;0.1250;78.73;;;;;;0.840
2021-03-31;11:21:26;ZPi005;0000;8;AFF1FF112FF---1FF-------------;ligth Curve;399.1751;-1.082609;;20573.16;-85.91081;;749.61;101.432;2718;1715;24.98;25.65;27.54;24.96;1499.2;1.2;16.2;7;;;;;;;;;;;;514;;;;;;;;;;;
2021-03-31;11:27:28;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.6123;-1.082609;-11.45078;20561.61;-85.91081;1210.223;749.64;101.432;2721;1728;24.99;25.58;27.72;24.98;1499.0;1.4;16.2;7;70.04;1.24168;10.75979;115.4;9.232158;259.0016;389.24;21857.7;;;;518;;;;;;;;;;;
2021-03-31;11:28:28;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.4097;-1.082609;-11.55115;20563.09;-85.91081;1229.18;749.77;101.430;2721;1727;24.99;25.58;27.68;24.99;1499.0;1.2;16.1;7;70.10;1.260095;10.73328;117.4008;9.321203;259.6527;388.94;21878.2;;;;518;;;;;;;;;;;
