Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-03-26;09:40:16;ZPc005;0000;8;AFF1FF312FF---1FF-------------;;399.7967;2.052451;;20472.16;-152.6597;;749.62;101.142;2598;1604;24.87;25.14;27.46;25.08;1499.0;40.9;29.2;7;;;;;;;;;;;;0;;;;;;;;;;;
2021-03-26;09:53:54;ZPi005;0000;8;AFF1FF312FF---1FF-------------;CO2 Curve;399.6615;2.148417;;20584.09;-79.69884;;749.65;101.136;2652;1624;24.93;26.21;27.65;25.13;1498.8;1.7;35.7;7;;;;;;;;;;;;618;;;;;;;;;;;
2021-03-26;09:57:55;MP_005;0001;8;AFF1FF312FF---1FF-------------;;399.6809;2.148417;-8.324721;20569.95;-79.69884;1162.858;749.58;101.154;2661;1615;24.97;26.20;27.96;25.17;1499.8;1.7;35.9;7;69.81;1.190208;12.14672;97.98601;9.349849;234.4435;389.21;21812.5;;;;602;;;;;;;;;;;
2021-03-26;09:58:26;MP_005;0001;8;AFF1FF312FF---1FF-------------;;399.6227;2.148417;-8.408167;20568.81;-79.69884;1168.063;749.93;101.150;2662;1616;25.01;26.20;28.01;25.24;1499.6;0.9;35.8;7;69.63;1.195757;12.14398;98.46503;9.430672;233.7434;389.05;21816.8;;;;599;674;;;0.1113;70.09;;;;;;0.840
2021-03-26;10:01:41;ZPi005;0000;8;AFF1FF312FF---1FF-------------;;299.864;1.720571;;20586.29;-81.41186;;749.70;101.148;2669;1639;24.99;26.20;28.07;25.16;1499.4;1.7;35.7;7;;;;;;;;;;;;574;;;;;;;;;;;
2021-03-26;10:05:41;MP_005;0001;8;AFF1FF312FF---1FF-------------;;299.9876;1.720571;-6.268263;20535.61;-81.41186;1268.493;749.58;101.152;2674;1609;25.00;26.17;28.21;25.15;1499.4;1.6;35.5;7;69.90;1.293131;12.00828;107.6866;7.107759;184.5686;292.00;21885.5;;;;562;;;;;;;;;;;
2021-03-26;10:06:12;MP_005;0001;8;AFF1FF312FF---1FF-------------;;299.8837;1.720571;-6.386044;20571.7;-81.41186;1279.136;749.77;101.160;2674;1595;25.03;26.17;28.23;25.24;1500.6;2.6;35.8;7;69.94;1.303725;11.95727;109.032;7.217219;184.1151;291.82;21933.0;;;;562;630;;;0.1079;68.03;;;;;;0.840
2021-03-26;10:09:27;ZPi005;0000;8;AFF1FF312FF---1FF-------------;;199.0184;1.576458;;20584.72;-81.80685;;749.68;101.160;2679;1612;25.00;26.13;28.33;25.14;1499.4;1.4;35.6;7;;;;;;;;;;;;542;;;;;;;;;;;
2021-03-26;10:13:27;MP_005;0001;8;AFF1FF312FF---1FF-------------;;199.6615;1.576458;-3.707972;20559.73;-81.80685;1471.337;749.67;101.156;2684;1666;24.98;26.06;28.40;25.10;1499.2;1.6;35.4;7;70.70;1.488343;11.54077;128.9639;4.662674;135.0104;194.38;22112.9;;;;535;;;;;;;;;;;
