SysConst;AvgTime;Oxygen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1603263838;0;20201021 09:03:58;09:03:58;CV7_9;1603263838;0.001561028;-1.573465725;400.026;411.3203452;41.66311242;40.51909517;0.1357099;3.409992022;0.132779273;0.08324508;0.001994019;27.65344576;27.1649;3.61397068;64.77371734;2.458832634;3.796034465;1.155138046;-68.84132161;154.5170913;9.836436236;95.51419991;0;0;1;0;53302.64174;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;-;0;0;#DIV/0!;0.5;0.020993113;-1.573465725;#DIV/0!;#DIV/0!;7.40392E-14;#DIV/0!;-;0;0;#DIV/0!;1;0;1.250570555;0.0499918;0.020993113;0.41993112;0.09498442;4.16;0.5;0: Broadleaf;2;1603263838;400.026;399.462;24.2749;23.3697;400.826;24.1797;699.982;101.191;0.100154;28.0054;27.1649;999.9;0;0;9995;0;1.75987;0.0499918;0;0;0;393.67;0.0499918;-12.12;-1.37;34.875;39.437;37.25;39;37.375;0;0;0;62721.6;0;391.7396;4.089230792;-3.378461469;-11.1612;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;-1.719134608;0.975609371;0.081386458;1;1;1;1/1;3.35885;2.74561;0.0919126;0.0911308;0.119317;0.11466;28543.8;26961.9;29653.8;28145.7;37401.1;36082.1;45573.9;44025.9;2.4634;2.15255;0.0390634;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;9.1;9;2;777.039;664.502;28.0528;26.7048;30.0001;26.6922;26.737;25.0825;22.924;98.1359;28.0508;399.406;23.4233;100.154;100.403
2;1603264019;180.5;20201021 09:06:58;09:06:58;CV7_9;1603264019;0.000654808;-0.373007016;400.035;403.3380186;40.85413049;40.51956755;0.053673532;3.408581039;0.053208383;0.033296695;4.104520191;27.86979591;27.3985;3.663790209;64.7041141;2.454916442;3.794065457;1.208873766;-28.87701883;109.8905257;7.006283665;92.12431077;0;0;1;0;53271.715;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;RECT-2617-20201021-09_06_59;493.6493462;1880.2;0.737448492;0.5;21.06802805;-0.373007016;7.768292752;1;0.056980117;0.039852143;-;0;1880.2;0.737448492;0.038324817;0.931533452;0.047927888;25.0092;21.06802805;0.842411115;0.194822229;4.16;0.5;0: Broadleaf;2;1603264019;400.035;399.969;24.2365;23.8568;400.835;24.1413;700.021;101.19;0.100056;27.9965;27.3985;999.9;0;0;9988.75;0;1.80111;25.0092;0.899523;0.100477;0;493.599;4.99918;98.1458;160.119;35;39.5;37.312;39.187;37.687;18;2.01;0;179.8;0;493.6493462;-0.598529909;0.71557949;97.86469615;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;-0.261481325;-0.315922565;0.054152953;1;1;1;1/1;3.35895;2.74546;0.091916;0.091225;0.119187;0.116312;28546.6;26959.3;29656.6;28145.8;37410.3;36012.9;45578.4;44026.7;2.46345;2.15383;0.0549927;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;12.1;12;2;776.893;665.501;27.9473;26.6777;30.0002;26.6788;26.7258;25.1621;20.9402;98.1359;27.983;400.129;23.9607;100.163;100.405
3;1603264199;361;20201021 09:09:59;09:09:59;CV7_9;1603264199;0.000518805;0.167721184;400.004;385.7582302;39.07311553;40.51605716;0.041974451;3.41064135;0.041689568;0.026081414;8.255915782;27.91994807;27.5241;3.690823687;65.07315933;2.468659192;3.793667339;1.222164495;-22.87929493;86.53133803;5.517044273;77.42500315;0;0;1;0;53319.44325;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2618-20201021-09_10_00;536.8105;1854.1;0.710473815;0.5;42.25718978;0.167721184;15.01131341;1;0.041204513;0.054490049;-;0;1854.1;0.710473815;0.051674313;0.900796753;0.064622375;50.1458;42.25718978;0.842686522;0.195373044;4.16;0.5;0: Broadleaf;2;1603264199;400.004;400.227;24.3724;24.0716;400.804;24.2772;700.009;101.189;0.10013;27.9947;27.5241;999.9;0;0;9998.12;0;1.81486;50.1458;0.900473;0.0995268;0;536.393;4.99918;246.689;361.362;35.125;39.562;37.437;39.25;37.75;40.65;4.49;0;180.3000002;0;536.8105;-2.406393172;0.024307648;245.8230385;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;0.239285205;-0.609082376;0.065088317;1;1;1;1/1;3.35893;2.74562;0.0919141;0.0912735;0.119656;0.117037;28544.8;26957.1;29654.7;28145;37388;35981.2;45576.1;44025.4;2.46417;2.1545;0.0617281;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;15.1;15;2;777.354;665.992;27.9666;26.6642;30;26.6676;26.7168;25.2134;20.0927;98.1359;27.9663;400.31;24.1526;100.158;100.402
4;1603264380;541.5;20201021 09:12:59;09:12:59;CV7_9;1603264380;0.000543285;0.465857834;400.013;375.0183056;37.98465201;40.51630114;0.04356167;3.40253811;0.043254194;0.027061315;16.48816614;27.96222584;27.5687;3.700464948;65.00738413;2.466997915;3.794950294;1.233467033;-23.95887243;79.20837062;5.063447408;76.80111174;0;0;1;0;53131.89568;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2619-20201021-09_13_00;584.72932;1758.81;0.667542645;0.5;84.24866807;0.465857834;28.11978937;1;0.024206004;0.111620926;-;0;1758.81;0.667542645;0.10041276;0.858829714;0.125573241;99.9564;84.24866807;0.842854165;0.19570833;4.16;0.5;0: Broadleaf;2;1603264380;400.013;400.419;24.3564;24.0414;400.814;24.2613;700.006;101.187;0.100461;28.0005;27.5687;999.9;0;0;9961.88;0;1.81486;99.9564;0.899883;0.100117;0;583.079;4.99918;565.231;759.922;35.312;39.625;37.5;39.375;37.937;85.45;9.51;0;180.2;0;584.72932;-12.38023078;-10.25807693;566.59148;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;0.487009152;0.110605208;0.050406418;1;1;1;1/1;3.35893;2.74564;0.0919153;0.0913069;0.119601;0.116935;28544.2;26956.5;29654.1;28145.4;37389.7;35986.2;45575.3;44026.3;2.4641;2.15398;0.0631511;0;100;100;-0.801;0.0951;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;18.1;18.1;2;777.195;665.407;27.9324;26.6552;30;26.6609;26.7078;25.2463;19.7875;98.1359;27.9326;400.415;24.0862;100.156;100.403
5;1603264560;722;20201021 09:16:00;09:16:00;CV7_9;1603264560;0.000694553;1.505853112;399.93;349.3197832;35.38128985;40.50740876;0.056270556;3.40724164;0.055759337;0.03489513;24.77222679;27.96112905;27.5395;3.694150252;65.14585163;2.470898253;3.792871213;1.223251999;-30.62980101;82.95495101;5.294610504;82.39198729;0;0;1;0;53241.75648;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2620-20201021-09_16_01;553.4816;1614.26;0.65712983;0.5;126.507074;1.505853112;41.56578605;1;0.02434108;0.211161771;-;0;1614.26;0.65712983;0.174346463;0.867697913;0.218032553;150.084;126.507074;0.842908465;0.195816929;4.16;0.5;0: Broadleaf;2;1603264560;399.93;400.99;24.3952;23.9925;400.73;24.3;699.989;101.186;0.100247;27.9911;27.5395;999.9;0;0;9983.12;0;1.81486;150.084;0.8997;0.1003;0;553.132;4.99918;818.469;1161.02;35.5;39.75;37.625;39.437;38.062;130.53;14.55;0;180.2;0;553.4816;-0.659846157;-2.020307741;817.83144;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;1.513787228;0.074023487;0.034195951;1;1;1;1/1;3.35891;2.7456;0.0919023;0.0914066;0.119735;0.116772;28546.1;26953.8;29655.6;28145.6;37385.9;35993.2;45577.9;44026.4;2.46438;2.15408;0.0639893;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;21.1;21.1;2;777.304;665.404;27.8652;26.6462;30.0001;26.652;26.7005;25.3052;19.785;98.1359;27.8864;401.19;24.0021;100.161;100.404
6;1603264746;907.5;20201021 09:19:05;09:19:05;CV7_9;1603264746;0.001176475;4.614473869;399.941;315.8919039;31.99560724;40.50865185;0.097153144;3.420312161;0.095645696;0.05991205;49.52412179;27.98917627;27.4821;3.681764523;65.18297374;2.473762399;3.795105159;1.208002124;-51.88254693;95.71989573;6.084553833;99.44602442;0;0;1;0;53541.0299;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2621-20201021-09_19_06;507.1674;1224.09;0.585678014;0.5;252.7979306;4.614473869;74.02909496;1;0.02447781;0.597210989;-;0;1224.09;0.585678014;0.37390864;0.861323068;0.467599136;299.896;252.7979306;0.842951992;0.195903984;4.16;0.5;0: Broadleaf;2;1603264746;399.941;402.963;24.4234;23.7413;400.742;24.3282;699.986;101.187;0.0995694;28.0012;27.4821;999.9;0;0;10041.9;0;1.81486;299.896;0.899943;0.100057;0;508.164;4.99918;1526.21;2360.04;35.875;39.875;37.875;39.562;38.312;265.39;29.51;0;185;0;507.1674;7.684692323;27.53769234;1523.2876;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;4.47320523;0.95567761;0.085329627;1;1;1;1/1;3.35891;2.74544;0.0919062;0.0917493;0.119834;0.115927;28545.6;26943.7;29655.1;28145.6;37380.7;36028.7;45576.8;44026.3;2.46485;2.15387;0.0577867;0;100;100;-0.801;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;24.2;24.2;2;777.614;665.118;27.8139;26.6394;30.0001;26.6453;26.6922;25.4057;20.3129;98.1359;27.8156;402.85;23.676;100.159;100.404
7;1603264926;1088;20201021 09:22:06;09:22:06;CV7_9;1603264926;0.001573207;7.049372105;399.935;306.0160942;30.99902627;40.51288743;0.131927491;3.419179501;0.12916343;0.08097066;74.02964756;28.02022023;27.4542;3.675757381;65.35013772;2.479427001;3.794065457;1.19633038;-69.37844355;99.96476489;6.355456137;110.971425;0;0;1;0;53516.02492;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2622-20201021-09_22_07;519.88324;1111.62;0.532319282;0.5;379.0975301;7.049372105;100.9004625;1;0.022745698;0.758811464;-;0;1111.62;0.532319282;0.431434227;0.821993153;0.53953894;449.893;379.0975301;0.842639317;0.195278633;4.16;0.5;0: Broadleaf;2;1603264926;399.935;404.498;24.4764;23.5644;400.736;24.3812;700.039;101.199;0.0996796;27.9965;27.4542;999.9;0;0;10035.6;0;1.81486;449.893;0.911031;0.0889694;0;520.65;4.99918;2363.37;3572.17;36.25;40.125;38.187;39.75;38.625;405.31;39.58;0;180;0;519.88324;8.16161541;39.18000016;2359.2984;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;7.011069723;0.280082426;0.060183283;1;1;1;1/1;3.35901;2.7455;0.0919169;0.0920251;0.12003;0.115342;28544.5;26933.6;29654.3;28143.6;37372;36050.9;45576.5;44023.2;2.4651;2.15318;0.0541396;0;100;100;-0.801;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;27.2;27.2;2;777.828;664.492;27.739;26.6417;30;26.6453;26.6922;25.5029;20.5785;98.1359;27.7407;404.542;23.5183;100.158;100.397
8;1603265107;1268.5;20201021 09:25:06;09:25:06;CV7_9;1603265107;0.002073798;9.724071724;399.905;302.1119012;30.60128879;40.50687293;0.175182433;3.405407486;0.170325558;0.106878629;98.00951104;28.03095639;27.4564;3.676230752;65.3734103;2.480440119;3.79426453;1.195790633;-91.45448445;99.32344965;6.340318868;112.2187951;0;0;1;0;53198.54017;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2623-20201021-09_25_07;540.74248;1059.87;0.489803014;0.5;505.2411497;9.724071724;123.7343188;1;0.022360684;0.8446885;-;0;1059.87;0.489803014;0.457903055;0.776985331;0.572640078;600.054;505.2411497;0.841992803;0.193985607;4.16;0.5;0: Broadleaf;2;1603265107;399.905;406.177;24.4882;23.2859;400.705;24.393;699.97;101.191;0.100239;27.9974;27.4564;999.9;0;0;9974.38;0;1.80111;600.054;0.933021;0.0669792;0;541.701;4.99918;3295;4808.96;36.75;40.375;38.562;40;39;555.2;39.86;0;180;0;540.74248;7.500153848;46.07538467;3289.414;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;9.717864157;-0.130565826;0.029771902;1;1;1;1/1;3.35887;2.74552;0.0919045;0.0923059;0.120061;0.114387;28544.4;26926.4;29653.9;28144.8;37370.4;36092.6;45576.2;44024.9;2.4652;2.15193;0.0549033;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;30.2;30.2;2;777.913;663.374;27.5932;26.644;30.0001;26.6453;26.6922;25.5989;21.7195;97.7658;27.5941;406.315;23.219;100.157;100.401
9;1603265287;1449;20201021 09:28:07;09:28:07;CV7_9;1603265287;0.002622356;12.70231158;399.926;297.5170492;30.14060463;40.51536367;0.219237344;3.408538317;0.211693836;0.132964778;145.8389302;28.15922968;27.5415;3.694582465;65.27754947;2.477871606;3.795901695;1.216710859;-115.6458812;85.13652585;5.432208135;120.761783;0;0;1;0;53269.62579;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2624-20201021-09_28_08;560.35604;930.079;0.397517802;0.5;757.110849;12.70231158;150.4825204;1;0.018855597;1.102111756;-;0;930.079;0.397517802;0.524287899;0.686784137;0.655659009;899.916;757.110849;0.841312799;0.192625598;4.16;0.5;0: Broadleaf;2;1603265287;399.926;408.098;24.459;22.9387;400.727;24.3638;700.005;101.207;0.100151;28.0048;27.5415;999.9;0;0;9986.88;0;1.81486;899.916;0.955993;0.0440067;0;560.21;4.99918;5132.98;7281.18;37.5;40.687;39.062;40.312;39.562;855.53;39.38;0;180;0;560.35604;-2.847692317;-17.84153849;5135.8916;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;12.65060294;-0.195994137;0.045411748;1;1;1;1/1;3.35893;2.74554;0.091921;0.0926477;0.119978;0.113216;28542.3;26917.1;29652.3;28145.7;37371.8;36142.7;45573.4;44025.8;2.46543;2.15105;0.0577606;0;100;100;-0.801;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;33.2;33.2;2;778.2;662.677;27.4277;26.6552;30.0001;26.652;26.6988;25.694;22.7085;97.024;27.4238;408.081;22.9908;100.151;100.403
10;1603265469;1630.6;20201021 09:31:08;09:31:08;CV7_9;1603265469;0.003002186;14.58659726;399.962;295.2343332;29.90669738;40.51541827;0.247002029;3.408756573;0.237472145;0.149245677;193.7227131;28.31465017;27.6496;3.718009342;65.25659439;2.476527506;3.795060911;1.241481837;-132.3963964;64.57779157;4.122319341;130.0264276;0;0;1;0;53275.13013;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2625-20201021-09_31_09;556.50916;827.121;0.327173219;0.5;1009.116301;14.58659726;165.0779142;1;0.016014074;1.363777488;-;0;827.121;0.327173219;0.576948336;0.621551219;0.721514601;1199.92;1009.116301;0.840986316;0.191972633;4.16;0.5;0: Broadleaf;2;1603265469;399.962;409.344;24.4479;22.7074;400.762;24.3527;700.015;101.198;0.100169;28.001;27.6496;999.9;0;0;9988.75;0;1.81486;1199.92;0.966985;0.033015;0;555.674;4.99918;6813.64;9753.3;38.375;41.187;39.687;40.812;40.25;1155.47;39.45;0;181.2;0;556.50916;-7.846923094;-107.3869233;6826.824;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;14.53481908;0.824648622;0.078320913;1;1;1;1/1;3.35895;2.74558;0.0919183;0.0928512;0.119929;0.112411;28543.7;26910.7;29653.6;28145.3;37375.3;36175.8;45575.1;44024.8;2.46567;2.14988;0.0624619;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;36.2;36.2;2;778.476;661.685;27.1772;26.6597;30.0001;26.6564;26.7033;25.7587;23.5521;95.5249;27.1773;409.407;22.6664;100.155;100.401
11;1603265649;1811.1;20201021 09:34:09;09:34:09;CV7_9;1603265649;0.003179667;15.30109629;399.99;293.2668168;29.70438054;40.51414784;0.254627306;3.410899319;0.244518979;0.153699118;241.6400542;28.51388596;27.7666;3.743510955;65.02021119;2.46676556;3.793844276;1.276745394;-140.2233091;42.0920557;2.686748497;146.1955493;0;0;1;0;53325.21958;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2626-20201021-09_34_10;533.29564;729.666;0.269123626;0.5;1261.076101;15.30109629;169.6926867;1;0.013381081;1.679486231;-;0;729.666;0.269123626;0.626794126;0.581103933;0.783850278;1499.84;1261.076101;0.840807087;0.191614173;4.16;0.5;0: Broadleaf;2;1603265649;399.99;409.839;24.354;22.5104;400.79;24.2588;700.004;101.188;0.0999018;27.9955;27.7666;999.9;0;0;9999.38;0;1.80661;1499.84;0.973005;0.0269951;0;531.996;4.99918;8192.26;12222.7;39.375;41.75;40.5;41.312;41;1454.49;40.35;0;180;0;533.29564;-11.76184613;-166.7284616;8213.6432;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;15.26997502;0.135576649;0.058934912;1;1;1;1/1;3.35892;2.7454;0.0919127;0.0929245;0.119595;0.11172;28544.5;26909.2;29654.3;28146.1;37390.1;36205.3;45575.5;44025.2;2.46563;2.14932;0.0676885;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;39.2;39.2;2;778.433;661.223;26.9105;26.6642;30.0002;26.6564;26.7055;25.7835;24.196;93.6503;26.913;409.95;22.4938;100.156;100.403
12;1603265830;1991.6;20201021 09:37:09;09:37:09;CV7_9;1603265830;0.0031156;15.02472684;400.08;290.2378894;29.39987447;40.52641714;0.242408551;3.419113539;0.23324943;0.146574971;281.5337857;28.74407222;27.9031;3.77345562;64.8449902;2.4620548;3.79683117;1.31140082;-137.3979727;19.52067928;1.243946949;164.9004393;0;0;1;0;53512.21617;RECT-2616-20201021-09_03_59;391.7396;1955.13;1563.3904;0.799635011;-1.573465725;MPF-2627-20201021-09_37_10;503.53072;650.98;0.226503548;0.5;1471.103094;15.02472684;166.6050355;1;0.011282821;2.003364159;-;0;650.98;0.226503548;0.667040043;0.568774311;0.834180637;1749.88;1471.103094;0.840687986;0.191375973;4.16;0.5;0: Broadleaf;2;1603265830;400.08;409.75;24.3056;22.499;400.88;24.2104;699.982;101.196;0.0997837;28.009;27.9031;999.9;0;0;10035.6;0;1.81486;1749.88;0.977004;0.0229959;0;502.281;4.99918;9069.98;14283.7;40.375;42.375;41.25;41.812;41.812;1704.76;40.13;0;180;0;503.53072;-9.577000001;-173.8546154;9091.196;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;15.0633637;-0.036740544;0.064628039;1;1;1;1/1;3.35886;2.7456;0.0919314;0.0929132;0.119433;0.111685;28541.8;26907;29652.2;28143.5;37394.3;36203.7;45571.9;44021.3;2.46502;2.14877;0.075575;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;42.2;42.2;2;778.15;660.904;26.7548;26.6868;30.0001;26.6727;26.719;25.7808;23.9187;91.7848;26.7536;409.629;22.5296;100.149;100.394
13;1603266417;0;20201021 09:46:56;09:46:56;CV3_9;1603266417;0.000331754;-1.260285749;400.016;467.0303582;47.31241773;40.52354148;0.026750949;3.574620121;0.026640228;0.016660052;0.001994019;27.92635588;27.4781;3.680902758;64.76859104;2.45756331;3.794375129;1.223339448;-14.63035109;100.1732154;6.092536958;91.63739529;0;0;1;0;53480.61689;RECT-2628-20201021-09_46_57;292.2865385;1400.32;1108.033462;0.79127161;-1.260285749;-;0;0;#DIV/0!;0.5;0.020993113;-1.260285749;#DIV/0!;#DIV/0!;-9.51932E-14;#DIV/0!;-;0;0;#DIV/0!;1;0;1.263788548;0.0499918;0.020993113;0.41993112;0.09498442;3.7;0.5;0: Broadleaf;2;1603266417;400.016;399.42;24.2591;24.088;400.816;24.1639;700.007;101.205;0.0998015;27.9979;27.4781;999.9;0;0;10028.1;0;1.86986;0.0499918;0;0;0;292.27;0.0499918;12.21;0.8;38.875;43;41.312;42.312;41;0;0;0;586.2;0;292.2865385;3.217435761;-4.752136528;11.04384615;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;-1.273871383;0.4280801;0.043243244;1;1;1;1/1;3.35889;2.74555;0.0919187;0.0911371;0.119273;0.117098;28541.3;26956.8;29651.4;28140.6;37399.8;35973.3;45570;44018.6;2.46327;2.1508;0.0639707;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;52;52;2;777.247;663.25;27.6732;26.7139;30.0001;26.7145;26.7617;25.3029;17.5733;96.432;27.6728;399.508;24.1419;100.145;100.386
14;1603266597;180.5;20201021 09:49:57;09:49:57;CV3_9;1603266597;0.000230161;-0.146934468;400.02;404.7759803;41.008722;40.52688344;0.018318319;3.565430584;0.018266194;0.011421042;4.120979995;27.95434108;27.5596;3.698496002;64.90500591;2.460730116;3.791279397;1.237765886;-10.1500885;81.55873116;4.974861874;80.50448453;0;0;1;0;53285.52753;RECT-2628-20201021-09_46_57;292.2865385;1400.32;1108.033462;0.79127161;-1.260285749;RECT-2629-20201021-09_49_58;371.74612;1343.98;0.723399068;0.5;21.15999652;-0.146934468;7.653560886;1;0.052615854;0.041920267;-;0;1343.98;0.723399068;0.040233661;0.924446063;0.05084684;25.1194;21.15999652;0.84237667;0.19475334;3.7;0.5;0: Broadleaf;2;1603266597;400.02;399.991;24.2886;24.1699;400.821;24.1934;700.009;101.212;0.100143;27.9839;27.5596;999.9;0;0;9988.75;0;1.86986;25.1194;0.901095;0.0989049;0;371.698;4.99918;90.2845;161.076;38.062;42.375;40.437;41.812;40.437;18.13;1.99;0;180;0;371.74612;-1.920076919;0.582738468;89.793112;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;-0.08514136;-0.333649439;0.047075785;1;1;1;1/1;3.35889;2.74554;0.0919257;0.0912429;0.119382;0.117381;28541.1;26953.4;29651.4;28140.4;37395.2;35961.3;45570.1;44018.5;2.4636;2.15095;0.0667758;0;100;100;-0.801;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;55;55;2;777.546;663.412;27.6104;26.7139;30;26.7159;26.7639;25.3335;17.5764;98.3195;27.6191;399.993;24.1342;100.146;100.386
15;1603266778;361;20201021 09:52:57;09:52:57;CV3_9;1603266778;0.000222238;0.022732033;399.997;389.961362;39.50855167;40.52530246;0.017660507;3.568439233;0.017612094;0.011011897;8.26554478;27.98107961;27.6091;3.70921725;65.12565697;2.469772294;3.792318433;1.239444956;-9.800695667;73.00885361;4.450790156;75.92449288;0;0;1;0;53349.45572;RECT-2628-20201021-09_46_57;292.2865385;1400.32;1108.033462;0.79127161;-1.260285749;RECT-2630-20201021-09_52_58;423.16864;1314.52;0.678081246;0.5;42.30527747;0.022732033;14.34320764;1;0.030327606;0.065270973;-;0;1314.52;0.678081246;0.061271709;0.871964569;0.077434485;50.2027;42.30527747;0.842689287;0.195378574;3.7;0.5;0: Broadleaf;2;1603266778;399.997;400.056;24.3774;24.2628;400.797;24.2822;700.031;101.214;0.100016;27.9886;27.6091;999.9;0;0;10001.2;0;1.82861;50.2027;0.900473;0.0995268;0;421.133;4.99918;208.14;361.817;37.437;41.812;39.812;41.375;39.937;40.7;4.5;0;180.0999999;0;423.16864;-16.55676926;-7.091846169;207.75692;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;0.009042161;-0.329726918;0.063881465;1;1;1;1/1;3.35894;2.74553;0.0919245;0.0912568;0.11969;0.117694;28540.2;26953.3;29650.4;28140.7;37381;35948.3;45569.1;44018.8;2.46375;2.15115;0.0669286;0;100;100;-0.8;0.0952;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;58;58;2;777.622;663.563;27.6328;26.7071;30.0002;26.7123;26.7617;25.345;17.5633;100;27.6366;400.053;24.2294;100.143;100.387
16;1603266959;541.9000001;20201021 09:55:58;09:55:58;CV3_9;1603266959;0.000273407;0.630340897;399.971;345.6777233;35.02097414;40.52148318;0.021642088;3.566001958;0.021569382;0.013487376;16.47914837;28.01037584;27.6307;3.713904105;65.10226807;2.468899706;3.792340543;1.245004399;-12.0572647;68.82560653;4.199091529;77.44658172;0;0;1;0;53296.9454;RECT-2628-20201021-09_46_57;292.2865385;1400.32;1108.033462;0.79127161;-1.260285749;MPF-2631-20201021-09_55_59;410.3195769;1133.49;0.638003355;0.5;84.20369947;0.630340897;26.86112139;1;0.022453012;0.235405694;-;0;1133.49;0.638003355;0.190549303;0.859685506;0.240814027;99.9032;84.20369947;0.842852876;0.195705753;3.7;0.5;0: Broadleaf;2;1603266959;399.971;400.362;24.3695;24.2285;400.771;24.2744;699.968;101.211;0.100053;27.9887;27.6307;999.9;0;0;9991.25;0;1.82861;99.9032;0.899883;0.100117;0;411.368;4.99918;412.615;759.496;37.125;41.437;39.375;41;39.562;85.4;9.5;0;180.7;0;410.3195769;7.826427356;5.690222231;412.1650385;15;1603263297;08:54:57;1603263295;1603263296;2;0.002;0;-0.8;0.095;399;24;0.47;0.14;0.627462647;-0.237270087;0.052251589;1;1;1;1/1;3.35882;2.74548;0.0919181;0.0913081;0.11966;0.117577;28541.1;26951.6;29651.1;28140.4;37383.4;35953.2;45570.5;44018.8;2.46362;2.15118;0.0681505;0;100;100;-0.8;0.0951;-0.80025;0;0;0;0.095171429;0;0;0;-1;-1;-1;-1;61.1;61;2;777.484;663.556;27.6552;26.7048;30.0001;26.7101;26.7594;25.3585;17.8275;100;27.6568;400.327;24.1965;100.146;100.386
