SysConst;AvgTime;Oxygen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1606120203;361,4000001;20201123 09:30:03;09:30:03;DV6_8;1606120203;0,000189767;0,963925055;399,968;291,2740227;29,86701721;41,01241514;0,015188446;3,240060552;0,015149002;0,009471661;8,244986152;27,99703624;27,5937;3,705878848;64,83406436;2,460018931;3,794330889;1,245859917;-8,36873007;70,56997038;4,737978469;75,18420493;0;0;1;0;53841,63475;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3075-20201123-09_30_04;615,01848;2333,09;0,736393161;0,5;42,20244488;0,963925055;15,5387959;1;0,048282698;0,133839672;-;0;2333,09;0,736393161;0,118041091;0,948743469;0,147073817;50,081;42,20244488;0,84268375;0,1953675;4,8;0,5;0: Broadleaf;2;1606120203;399,968;400,681;23,991;23,864;401,055;23,8935;700,023;102,439;0,100241;27,9977;27,5937;999,9;0;0;9971,88;0;2,25483;50,081;0,900517;0,0994833;0;613,443;4,99918;280,746;360,848;34,75;39,125;36,937;38,937;37,437;40,6;4,48;0;180,3;0;615,01848;-11,40115387;-3,867692368;280,9682;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;0,93934727;-0,4687772;0,046598609;1;1;1;1/1;3,36004;2,74147;0,0932513;0,09264;0,119984;0,117956;28490,1;26925,6;29638,4;28151,7;37327,3;35920,3;45523,2;44001,6;2,47595;2,20152;0,0816546;0;100;100;-1,087;0,0975;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;10,8;11;2;774,657;702,078;28,0303;25,9976;30,0002;26,0028;26,0504;25,4031;0;100;28,0312;400,733;24,3433;100,066;100,378
4;1606120384;541,9000001;20201123 09:33:03;09:33:03;DV6_8;1606120384;0,000861751;3,618870995;399,964;311,356792;31,92592516;41,01153743;0,0716245;3,246029769;0,070757957;0,044300705;16,48125137;27,87645547;27,5685;3,700421664;65,6291648;2,489316774;3,79300389;1,21110489;-38,00323188;74,05998176;4,962377777;57,50037903;0;0;1;0;53994,06464;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3076-20201123-09_33_04;633,5469615;2321,61;0,72710879;0,5;84,21493664;3,618870995;30,61671035;1;0,055721634;0,139446333;-;0;2321,61;0,72710879;0,122380781;0,938119492;0,152480873;99,9166;84,21493664;0,842852305;0,19570461;4,8;0,5;0: Broadleaf;2;1606120384;399,964;402,682;24,277;23,7004;401,05;24,1795;699,963;102,438;0,100072;27,9917;27,5685;999,9;0;0;10001,2;0;2,30983;99,9166;0,89992;0,10008;0;632,471;4,99918;605,72;759,612;34,937;39,25;37,125;39,062;37,562;85,42;9,5;0;179,8;0;633,5469615;-6,343145306;-3,767931676;607,361;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;3,673782984;-0,040135552;0,064512525;1;1;1;1/1;3,35991;2,74156;0,0932503;0,0929889;0,120978;0,117394;28483,4;26915,2;29631,5;28151,7;37276,8;35943,7;45514,1;44001;2,47665;2,20045;0,0805221;0;100;100;-1,086;0,0975;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;13,8;14;2;775,344;701,124;28,0203;26,0063;30;26,0093;26,0539;25,5167;4,15523;100;28,0228;402,824;23,3363;100,044;100,377
5;1606120564;722,4000001;20201123 09:36:04;09:36:04;DV6_8;1606120564;0,001563658;6,231587662;399,933;315,5293653;32,35342222;41,00791442;0,131203263;3,247560511;0,128328051;0,080458111;24,76595191;27,76167232;27,5332;3,692789068;65,3852437;2,481004816;3,794441491;1,211784253;-68,95732825;81,41335426;5,451735586;42,6737135;0;0;1;0;54031,71832;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3077-20201123-09_36_05;659,0788846;2309,35;0,714604159;0,5;126,4848595;6,231587662;45,19330334;1;0,057756403;0,145495486;-;0;2309,35;0,714604159;0,127015329;0,923408609;0,158255308;150,059;126,4848595;0,842900856;0,195801711;4,8;0,5;0: Broadleaf;2;1606120564;399,933;404,635;24,1962;23,1499;401,02;24,0987;699,986;102,437;0,099961;27,9982;27,5332;999,9;0;0;10008,8;0;2,30983;150,059;0,899947;0,100053;0;659,014;4,99918;961,02;1160,91;35,125;39,375;37,25;39,187;37,75;130,55;14,51;0;179,8;0;659,0788846;-2,492615383;-4,882393235;960,858;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;6,092729724;0,56617266;0,059388047;1;1;1;1/1;3,35996;2,74151;0,0932436;0,0933266;0,120696;0,115496;28485,9;26906,6;29633,8;28153,2;37292;36025,3;45517,7;44002,7;2,4769;2,1991;0,0770018;0;100;100;-1,087;0,0975;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;16,9;17;2;775,525;699,837;27,9953;26,0042;30,0002;26,0071;26,0517;25,6107;7,93974;100;27,9952;404,647;23,103;100,052;100,382
6;1606120745;902,9000001;20201123 09:39:04;09:39:04;DV6_8;1606120745;0,002652992;11,61977457;399,866;308,6292894;31,64435055;40,99902476;0,227582023;3,245910217;0,219074439;0,137659399;49,53545591;27,62964884;27,4526;3,675413145;65,14844404;2,470967767;3,792826988;1,204445378;-116,9969506;94,19900729;6,308351715;33,04586435;0;0;1;0;53991,0456;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3078-20201123-09_39_05;781,5929615;2241,14;0,651252059;0,5;252,8681454;11,61977457;82,3404501;1;0,050198088;0,180359103;-;0;2241,14;0,651252059;0,152800197;0,84909638;0,190382077;299,981;252,8681454;0,842947205;0,195894409;4,8;0,5;0: Broadleaf;2;1606120745;399,866;408,562;24,0995;22,324;400,953;24,0019;699,942;102,432;0,0999101;27,9909;27,4526;999,9;0;0;10001,2;0;2,41982;299,981;0,900089;0,0999105;0;782,051;4,99918;2314,52;2360,82;35,5;39,562;37,5;39,312;38;265,51;29,47;0;179,8;0;781,5929615;4,538017088;23,61811966;2311,852692;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;11,40677129;0,699702015;0,06653712;1;1;1;1/1;3,35987;2,74139;0,0932256;0,094001;0,120352;0,11261;28486,8;26886,7;29634,2;28153,3;37306,5;36146,7;45517,2;44002,1;2,47745;2,19655;0,0739694;0;100;100;-1,087;0,0976;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;19,9;20;2;776,054;697,542;27,9431;26,0107;30;26,0114;26,0572;25,805;12,6229;100;27,9449;408,654;22,2537;100,052;100,381
7;1606120925;1083,4;20201123 09:42:05;09:42:05;DV6_8;1606120925;0,003561613;14,83341529;399,947;314,1698357;32,21311412;41,00819649;0,314208549;3,242131571;0,298218411;0,187755322;74,08876752;27,56457717;27,4026;3,664669935;65,23136116;2,476782404;3,796919702;1,187887531;-157,0671195;106,062449;7,109989289;30,19408625;0;0;1;0;53891,93699;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3079-20201123-09_42_06;903,0369231;2071,61;0,56408932;0,5;379,3955316;14,83341529;107,0064838;1;0,041927584;0,276953674;-;0;2071,61;0,56408932;0,216886234;0,75420445;0,270230358;450,246;379,3955316;0,842640538;0,195281076;4,8;0,5;0: Broadleaf;2;1606120925;399,947;411,095;24,1557;21,7725;401,033;24,0582;700,016;102,434;0,100077;28,0094;27,4026;999,9;0;0;9982,5;0;2,47481;450,246;0,910995;0,0890048;0;903,15;4,99918;4018,74;3574,97;35,937;39,75;37,812;39,5;38,375;405,62;39,63;0;180,2;0;903,0369231;-1,4823248;-0,877265046;4016,023077;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;14,7931282;-0,04507258;0,034860538;1;1;1;1/1;3,36;2,7414;0,0932393;0,094437;0,120547;0,110662;28484,4;26873,5;29632,2;28153,1;37295,9;36228,3;45514,4;44001,2;2,47778;2,1948;0,0725389;0;100;100;-1,086;0,0975;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;22,9;23;2;776,516;696,08;27,8811;26,0261;30,0001;26,0245;26,0691;25,9321;15,7297;100;27,8717;411,122;21,7697;100,046;100,379
8;1606121106;1263,9;20201123 09:45:05;09:45:05;DV6_8;1606121106;0,004247461;16,88500889;399,987;318,439438;32,65114342;41,01261133;0,381332375;3,245214807;0,358072982;0,225767056;98,01434054;27,51641749;27,3739;3,658515721;65,33643413;2,478646962;3,793667339;1,179868759;-187,3130221;108,6126976;7,272455613;26,58647169;0;0;1;0;53972,78657;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3080-20201123-09_45_06;940,5164;1831,63;0,486513979;0,5;505,2558016;16,88500889;122,9070053;1;0,035543841;0,444260031;-;0;1831,63;0,486513979;0,307603909;0,680534701;0,383260443;600,07;505,2558016;0,84199477;0,19398954;4,8;0,5;0: Broadleaf;2;1606121106;399,987;412,731;24,1737;21,3314;401,073;24,0761;699,96;102,435;0,0998607;27,9947;27,3739;999,9;0;0;9997,5;0;2,47481;600,07;0,932956;0,0670441;0;936,885;4,99918;5554,89;4809;36,437;40,062;38,187;39,812;38,75;555,17;39,9;0;180,2;0;940,5164;-26,95299995;-161,7046151;5572,8632;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;16,91631074;-0,048046597;0,017938067;1;1;1;1/1;3,35988;2,7413;0,093245;0,0947159;0,120608;0,109089;28484;26864,5;29632;28152,3;37293,2;36293,4;45514,4;43999,7;2,47792;2,19323;0,0683405;0;100;100;-1,086;0,0976;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;25,9;26,1;2;776,768;694,74;27,7665;26,0371;30;26,0331;26,0779;26,0064;17,7233;100;27,7689;412,683;21,314;100,046;100,376
9;1606121286;1444,4;20201123 09:48:06;09:48:06;DV6_8;1606121286;0,004835058;18,8246082;400,03;318,5225476;32,65871175;41,01582308;0,428901806;3,242857835;0,399695988;0,252268098;145,8333931;27,63940122;27,4513;3,675133474;65,13887449;2,47200232;3,794972417;1,203131154;-213,2260783;96,03354312;6,437530934;35,07838888;0;0;1;0;53911,88541;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3081-20201123-09_48_07;924,69372;1485,57;0,377549547;0,5;757,0844945;18,8246082;142,9184538;1;0,026282841;0,780696972;-;0;1485,57;0,377549547;0,438422137;0,582201422;0,54625399;899,885;757,0844945;0,841312495;0,19262499;4,8;0,5;0: Broadleaf;2;1606121286;400,03;414,264;24,1096;20,8742;401,117;24,012;700,029;102,432;0,0998678;28,0006;27,4513;999,9;0;0;9986,25;0;2,58481;899,885;0,956008;0,0439916;0;918,394;4,99918;8169,23;7280,96;37,187;40,437;38,687;40,125;39,312;855,52;39,37;0;180,2;0;924,69372;-49,86323069;-433,9669224;8221,8432;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;18,85915207;-0,381158396;0,046285847;1;1;1;1/1;3,36;2,74122;0,0932454;0,0949709;0,120376;0,107438;28484,1;26856,6;29632,2;28152,1;37303;36362,3;45514;43998,9;2,47822;2,19152;0,0696853;0;100;100;-1,087;0,0976;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;28,9;29,1;2;777,241;693,373;27,5367;26,0569;30,0001;26,0484;26,0931;26,0752;19,6173;100;27,5359;414,263;20,898;100,045;100,375
10;1606121467;1624,9;20201123 09:51:06;09:51:06;DV6_8;1606121467;0,005278882;19,89457374;399,984;319,4539991;32,75427532;41,01118189;0,462193449;3,24438948;0,428483459;0,2706257;193,7077871;27,78587982;27,5277;3,691601092;65,00993888;2,466347088;3,793800041;1,225254004;-232,7986919;81,7886294;5,481988782;48,17971345;0;0;1;0;53951,67922;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3082-20201123-09_51_07;841,1903846;1221,61;0,3114084;0,5;1009,040401;19,89457374;157,1118283;1;0,020780433;1,165461972;-;0;1221,61;0,3114084;0,538204774;0,54391384;0,670578606;1199,83;1009,040401;0,84098614;0,191972281;4,8;0,5;0: Broadleaf;2;1606121467;399,984;415,075;24,0544;20,5214;401,071;23,9569;699,947;102,432;0,100056;27,9953;27,5277;999,9;0;0;9993,75;0;2,6948;1199,83;0,966994;0,0330064;0;836,013;4,99918;9940,96;9752,56;38,062;40,875;39,375;40,562;40;1155,39;39,44;0;180;0;841,1903846;-41,7223932;-486,0919662;10003,06654;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;19,93943798;-0,233149617;0,044503106;1;1;1;1/1;3,35982;2,74147;0,093233;0,0951044;0,120179;0,106156;28484,4;26851,9;29632,3;28151,3;37311,2;36415,1;45513,4;43997,5;2,47805;2,1899;0,0773855;0;100;100;-1,087;0,0975;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;31,9;32,1;2;777,34;692,107;27,3953;26,0766;30,0002;26,0658;26,1106;26,112;21,1709;100;27,3979;415,153;20,5271;100,045;100,372
11;1606121647;1805,4;20201123 09:54:07;09:54:07;DV6_8;1606121647;0,005418028;20,46753476;400,015;317,3243723;32,53675646;41,01541442;0,462845771;3,251332996;0,429110837;0,271020038;241,667186;28,01940751;27,6527;3,718683066;64,88809631;2,463088347;3,795901695;1,255594719;-238,9350258;61,71815288;4,130673252;68,58098633;0;0;1;0;54126,25125;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3083-20201123-09_54_08;761,18932;1033,38;0,26339844;0,5;1261,218901;20,46753476;166,1015455;1;0,017079714;1,559900521;-;0;1033,38;0,26339844;0,60935982;0,532473612;0,759234549;1500,01;1261,218901;0,840806995;0,19161399;4,8;0,5;0: Broadleaf;2;1606121647;400,015;415,537;24,022;20,3958;401,101;23,9245;699,956;102,435;0,099691;28,0048;27,6527;999,9;0;0;10027,5;0;2,6948;1500,01;0,973011;0,0269887;0;757,673;4,99918;11310,9;12224,2;39,062;41,437;40,125;41,062;40,75;1454,66;40,35;0;180;0;761,18932;-30,41161544;-444,8461545;11363,24;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;20,52512293;-0,579540173;0,057323561;1;1;1;1/1;3,35983;2,7414;0,0932367;0,0951817;0,120064;0,105697;28484,5;26850,3;29632,6;28152,1;37316,3;36435,2;45513,5;43998,4;2,4778;2,18925;0,0858083;0;100;100;-1,086;0,0975;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;34,9;35,1;2;777,366;691,741;27,1331;26,0963;30,0002;26,0826;26,1281;26,1311;21,5173;100;27,1328;415,522;20,4691;100,045;100,374
12;1606121828;1985,9;20201123 09:57:07;09:57:07;DV6_8;1606121828;0,004971307;20,61290825;400,022;307,6217746;31,54269019;41,01715502;0,410619389;3,242575398;0,383764612;0,242119167;281,5476007;28,33060142;27,7969;3,750140047;64,89317504;2,462103892;3,794087576;1,288036155;-219,2346573;34,91030085;2,344375935;99,56762022;0;0;1;0;53905,5465;RECT-3073-20201123-09_24_02;522,1984615;2645,35;2123,151538;0,802597591;-1,073722852;MPF-3084-20201123-09_57_08;698,09944;906,84;0,230184553;0,5;1471,178401;20,61290825;169,3212712;1;0,014740993;1,917107759;-;0;906,84;0,230184553;0,6571947;0,542688553;0,818834628;1749,97;1471,178401;0,840687784;0,191375567;4,8;0,5;0: Broadleaf;2;1606121828;400,022;415,52;24,0118;20,6848;401,109;23,9143;700,009;102,437;0,100248;27,9966;27,7969;999,9;0;0;9984,38;0;2,80479;1749,97;0,977008;0,022992;0;695,64;4,99918;12176,7;14284,6;40;42,062;40,937;41,562;41,5;1704,85;40,12;0;180;0;698,09944;-20,01169232;-330,1769236;12216,152;15;1606119555;09:19:14;1606119553;1606119542;2;-0,213;0,007;-1,086;0,098;400;24;0,19;0,09;20,6303824;-0,322604098;0,054181795;1;1;1;1/1;3,35991;2,74158;0,0932356;0,0951793;0,120026;0,106745;28483,2;26848,3;29631,3;28150;37316,8;36388,9;45511,9;43995,7;2,47745;2,189;0,0946373;0;100;100;-1,087;0,0975;-1,0864;0;0;0;0,097542857;0;0;0;-1;-1;-1;-1;37,9;38,1;2;777,327;691,752;26,8931;26,1162;30,0001;26,1007;26,1462;26,1364;19,2545;99,6201;26,9493;415,559;20,7541;100,041;100,367
13;1606123253;3411,5;20201123 10:20:53;10:20:53;LV6_5;1606123253;0,001432696;-2,183397202;400,023;421,5488084;43,2302527;41,02275947;0,120519946;3,437413637;0,118220722;0,074090874;0,001994019;27,68190334;27,3699;3,657658707;64,60152595;2,451881652;3,79539278;1,205777055;-63,18188501;117,2320681;7,410829287;61,46300642;0;0;1;0;53963,65897;RECT-3085-20201123-10_20_54;420,4353846;2088,68;1668,244615;0,798707612;-2,183397202;-;0;0;#DIV/0!;0,5;0,020993113;-2,183397202;#DIV/0!;#DIV/0!;2,1154E-13;#DIV/0!;-;0;0;#DIV/0!;1;0;1,252022624;0,0499918;0,020993113;0,41993112;0,09498442;4,16;0,5;0: Broadleaf;2;1606123253;400,023;399,066;23,9089;23,0778;401,158;23,8025;699,978;102,451;0,100002;28,0025;27,3699;999,9;0;0;9994,38;0;2,03485;0,0499918;0;0;0;419,34;0,0499918;15,2;-1,22;35,687;40,312;38,125;39,875;38,187;0;0;0;1424,9;0;420,4353846;-2,54427349;-1,019829003;14,35961538;15;1606122911;10:15:10;1606122907;1606122909;3;-0,049;0,009;-1,135;0,106;400;23;0,24;0,13;-2,218729992;0,034499498;0,023181423;1;1;1;1/1;3,35961;2,74142;0,0931835;0,0922631;0,119566;0,115155;28475,8;26919,7;29623,3;28135,6;37323,2;36018,9;45493,8;43975,5;2,4698;2,18543;0,0628456;0;100;100;-1,135;0,1064;-1,13535;0;0;0;0,10648;0;0;0;-1;-1;-1;-1;5,8;5,7;2;775,193;692,583;27,9248;26,4154;30,0002;26,4084;26,456;25,3596;7,30259;100;27,9227;399,097;23,1795;100,006;100,319
14;1606123435;3593,5;20201123 10:23:55;10:23:55;LV6_5;1606123435;0,000594078;-0,209023512;399,998;399,052;40,92120754;41,01821611;0,048227653;3,435487693;0,047854669;0,029942439;4,117689786;27,87909275;27,5072;3,687176116;64,6539551;2,452255548;3,792893325;1,234920568;-26,19884483;89,64358206;5,673561101;73,23598812;0;0;1;0;53920,93778;RECT-3085-20201123-10_20_54;420,4353846;2088,68;1668,244615;0,798707612;-2,183397202;RECT-3086-20201123-10_23_56;487,48376;1946,55;0,749565251;0,5;21,1426911;-0,209023512;7,923913283;1;0,093383273;0,073016362;-;0;1946,55;0,749565251;0,068047762;0,956065963;0,085197338;25,0988;21,1426911;0,842378564;0,194757128;4,16;0,5;0: Broadleaf;2;1606123435;399,998;400,015;23,9137;23,5691;401,133;23,8072;700,019;102,446;0,100053;27,9912;27,5072;999,9;0;0;9986,25;0;2,0266;25,0988;0,901095;0,0989049;0;486,711;4,99918;120,117;160,911;35,687;40,125;38;39,812;38,25;18,11;1,99;0;181,5;0;487,48376;-4,147538469;4,263692298;119,5556;15;1606122911;10:15:10;1606122907;1606122909;3;-0,049;0,009;-1,135;0,106;400;23;0,24;0,13;-0,272376714;0,994212249;0,081268111;1;1;1;1/1;3,35969;2,74141;0,0931715;0,0924274;0,119573;0,11684;28476,4;26913,6;29623,5;28134,3;37323,3;35946,4;45494,3;43973,8;2,46962;2,1862;0,0688061;0;100;100;-1,135;0,1065;-1,13535;0;0;0;0,10648;0;0;0;-1;-1;-1;-1;8,8;8,8;2;775,193;693,444;27,8922;26,4176;30,0002;26,4189;26,467;25,415;0;100;27,8987;399,965;23,8295;100,007;100,315
15;1606123616;3774,4;20201123 10:26:56;10:26:56;LV6_5;1606123616;0,000377547;0,382427693;400,03;371,8553893;38,1321925;41,02137929;0,030117157;3,441351266;0,029971493;0,018745212;8,242420057;27,95798387;27,5633;3,699296452;64,46027219;2,44624955;3,794972417;1,253046903;-16,649805;81,13232561;5,127806987;77,85274766;0;0;1;0;54055,18866;RECT-3085-20201123-10_20_54;420,4353846;2088,68;1668,244615;0,798707612;-2,183397202;MPF-3087-20201123-10_26_57;519,85368;1949,14;0,733290744;0,5;42,18884709;0,382427693;15,46834553;1;0,060817611;0,071590548;-;0;1949,14;0,733290744;0,066807745;0,93496566;0,083644808;50,0648;42,18884709;0,842684822;0,195369644;4,16;0,5;0: Broadleaf;2;1606123616;400,03;400,347;23,8552;23,6362;401,166;23,7487;700,058;102,446;0,0997573;28,0006;27,5633;999,9;0;0;10012,5;0;1,97985;50,0648;0,900517;0,0994833;0;519,718;4,99918;259,224;360,718;35,625;40,062;37,875;39,75;38,25;40,58;4,48;0;180,3999999;0;519,85368;1,645153855;3,364846225;258,28152;15;1606122911;10:15:10;1606122907;1606122909;3;-0,049;0,009;-1,135;0,106;400;23;0,24;0,13;0,442483596;-0,490889448;0,0586145;1;1;1;1/1;3,35975;2,74133;0,0931736;0,0924832;0,119365;0,117067;28475,6;26910;29622,8;28132,4;37330,5;35935,2;45491,9;43971,6;2,4691;2,1859;0,071913;0;100;100;-1,136;0,1065;-1,13535;0;0;0;0,10648;0;0;0;-1;-1;-1;-1;11,8;11,8;2;774,965;693,377;27,8688;26,4333;30,0002;26,4343;26,4827;25,4365;0;100;27,8679;400,409;23,8295;100,003;100,309
16;1606123797;3954,9;20201123 10:29:56;10:29:56;LV6_5;1606123797;0,000761284;2,239805167;399,951;334,6723179;34,31928211;41,01334489;0,062284163;3,436187308;0,061663707;0,038595047;16,46525642;27,90966174;27,5718;3,701135896;65,18716253;2,473243616;3,794065457;1,22789228;-33,57264537;78,6764098;4,980167731;66,54918858;0;0;1;0;53936,20263;RECT-3085-20201123-10_20_54;420,4353846;2088,68;1668,244615;0,798707612;-2,183397202;MPF-3088-20201123-10_29_57;550,19024;1860,17;0,704225829;0,5;84,13333377;2,239805167;29,62443335;1;0,05257372;0,122843611;-;0;1860,17;0,704225829;0,109404026;0,909875852;0,136976315;99,8198;84,13333377;0,842852157;0,195704315;4,16;0,5;0: Broadleaf;2;1606123797;399,951;401,463;24,1184;23,6769;401,087;24,012;700,014;102,446;0,0999241;27,9965;27,5718;999,9;0;0;9989,38;0;1,9936;99,8198;0,89992;0,10008;0;548,706;4,99918;548,237;758,836;35,625;40;37,875;39,687;38,25;85,33;9,49;0;180;0;550,19024;-11,55415382;-12,66299999;550,49972;15;1606122911;10:15:10;1606122907;1606122909;3;-0,049;0,009;-1,135;0,106;400;23;0,24;0,13;2,142549577;-0,229923937;0,041264373;1;1;1;1/1;3,35966;2,74132;0,0931589;0,0926775;0,120281;0,117203;28472,4;26903,9;29619,1;28132,1;37288,3;35929,2;45488,7;43971,3;2,4695;2,18547;0,0705235;0;100;100;-1,136;0,1064;-1,13535;0;0;0;0,10648;0;0;0;-1;-1;-1;-1;14,8;14,8;2;775,493;693,131;27,8384;26,4444;30;26,4476;26,4938;25,4935;0;100;27,8398;401,476;24,0538;99,9941;100,308
17;1606123977;4135,4;20201123 10:32:57;10:32:57;LV6_5;1606123977;0,001069371;3,861023748;399,96;321,0737453;32,92587209;41,01559843;0,087169457;3,432898741;0,085958208;0,053831304;24,73466718;27,88196874;27,5787;3,702629679;64,97802225;2,465222464;3,793932747;1,237407215;-47,15924907;77,21305508;4,892373957;59,68084714;0;0;1;0;53860,16941;RECT-3085-20201123-10_20_54;420,4353846;2088,68;1668,244615;0,798707612;-2,183397202;MPF-3089-20201123-10_32_58;545,86764;1784,57;0,694118112;0,5;126,3255024;3,861023748;43,84240963;1;0,047847987;0,170410799;-;0;1784,57;0,694118112;0,145599134;0,908049943;0,18229341;149,87;126,3255024;0,84290053;0,195801059;4,16;0,5;0: Broadleaf;2;1606123977;399,96;402,509;24,0394;23,4191;401,096;23,9329;699,926;102,449;0,100251;27,9959;27,5787;999,9;0;0;9974,38;0;1,97985;149,87;0,899947;0,100053;0;545,69;4,99918;820,675;1159,39;35,75;40;37,937;39,75;38,312;130,38;14,49;0;180;0;545,86764;-0,842153842;0,067999985;821,33208;15;1606122911;10:15:10;1606122907;1606122909;3;-0,049;0,009;-1,135;0,106;400;23;0,24;0,13;3,824445081;-0,078685111;0,034936579;1;1;1;1/1;3,35947;2,7415;0,0931583;0,0928574;0,120004;0,116316;28472;26898,1;29618,7;28131,6;37299,3;35965,5;45487,4;43969,9;2,46942;2,184;0,0683516;0;100;100;-1,136;0,1065;-1,13535;0;0;0;0,10648;0;0;0;-1;-1;-1;-1;17,8;17,8;2;775,653;692,005;27,822;26,4645;30,0002;26,4635;26,5115;25,5389;5,98257;100;27,8236;402,485;23,4709;99,9919;100,306
18;1606124158;4315,9;20201123 10:35:57;10:35:57;LV6_5;1606124158;0,001479642;7,34914126;399,909;294,6560142;30,21814047;41,01225075;0,121534345;3,441525784;0,119199393;0,07470567;49,57044127;27,91591445;27,6018;3,707634434;65,18428598;2,472975885;3,793822158;1,234658548;-65,25219078;73,02836219;4,616144112;61,96275679;0;0;1;0;54060,34376;RECT-3085-20201123-10_20_54;420,4353846;2088,68;1668,244615;0,798707612;-2,183397202;MPF-3090-20201123-10_35_58;577,17672;1577,98;0,634230649;0,5;253,0445729;7,34914126;80,2443119;1;0,037671381;0,323641618;-;0;1577,98;0,634230649;0,244508493;0,864591539;0,306130165;300,19;253,0445729;0,842948043;0,195896085;4,16;0,5;0: Broadleaf;2;1606124158;399,909;404,628;24,1139;23,2558;401,044;24,0074;700,021;102,454;0,0999579;27,9954;27,6018;999,9;0;0;10012,5;0;2,10359;300,19;0,900079;0,0999215;0;577,534;4,99918;1744,74;2362,48;36,062;40,125;38,062;39,812;38,5;265,7;29,5;0;180;0;577,17672;3,219076935;28,74692308;1740,2328;15;1606122911;10:15:10;1606122907;1606122909;3;-0,049;0,009;-1,135;0,106;400;23;0,24;0,13;7,313402074;0,015312561;0,029610876;1;1;1;1/1;3,35963;2,74154;0,0931486;0,0932268;0,120263;0,115752;28470,1;26885,6;29616,5;28130,1;37285,7;35987,7;45484,4;43967,7;2,46907;2,1828;0,0678524;0;100;100;-1,135;0,1065;-1,13535;0;0;0;0,10648;0;0;0;-1;-1;-1;-1;20,8;20,8;2;775,695;691,221;27,7396;26,4913;30,0002;26,4875;26,536;25,6503;7,95436;100;27,7403;404,698;23,1754;99,9849;100,301
