SysConst;AvgTime;Oxygen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1603437404;2620.6;20201023 09:16:44;09:16:44;DV7_9;1603437404;0.000298563;-0.779444882;400.059;442.2279411;44.77189002;40.5026365;0.024900105;3.035555381;0.024787188;0.015502095;0.001994019;27.91964665;27.3095;3.644739083;64.89908489;2.462055387;3.793667339;1.182683696;-13.16663803;112.1349408;8.024302538;106.9945994;0;0;1;0;53480.07325;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;-;0;0;#DIV/0!;0.5;0.020993113;-0.779444882;#DIV/0!;#DIV/0!;-1.0577E-14;#DIV/0!;-;0;0;#DIV/0!;1;0;1.250400607;0.0499918;0.020993113;0.41993112;0.09498442;5.59;0.5;0: Broadleaf;2;1603437404;400.059;399.532;24.3186;24.086;401.172;24.2142;700.078;101.142;0.0996581;27.9947;27.3095;999.9;0;0;10034.4;0;1.97985;0.0499918;0;0;0;528.95;0.0499918;4.19;0.23;37.312;41.937;39.812;41.312;39.625;0;0;0;634.2;0;527.2688462;-1.960683778;8.358974477;1.253846154;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;-0.702394714;-0.036898707;0.055781386;1;1;1;1/1;3.35893;2.74547;0.0918963;0.0910716;0.119339;0.116986;28505.5;26943.5;29614.1;28125.3;37343.8;35954.3;45504.5;43988.9;2.46077;2.14532;0.0537932;0;100;100;-1.113;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;47.7;47.7;2;776.758;659.872;27.6878;26.8429;30.0001;26.8312;26.8809;25.3131;17.7475;99.2581;27.6884;399.451;24.0874;100.009;100.324
14;1603437585;2801.1;20201023 09:19:44;09:19:44;DV7_9;1603437585;0.000144252;0.205259219;400.01;364.7221942;36.92786868;40.50073449;0.011829611;3.024408732;0.011803965;0.007379778;4.106414067;27.98279928;27.3803;3.659887307;64.83988939;2.459953114;3.793888511;1.199934193;-6.361498043;100.3421538;7.209462499;105.2965323;0;0;1;0;53170.31291;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;RECT-2773-20201023-09_19_48;637.9569231;2496.47;0.744456403;0.5;21.08594974;0.205259219;7.848785152;1;0.046699537;0.054677204;-;0;2496.47;0.744456403;0.051842596;0.943790366;0.064824013;25.0316;21.08594974;0.84237323;0.19474646;5.59;0.5;0: Broadleaf;2;1603437585;400.01;400.22;24.296;24.1836;401.123;24.1916;699.978;101.149;0.100305;27.9957;27.3803;999.9;0;0;9973.12;0;1.97985;25.0316;0.901095;0.0989049;0;636.421;4.99918;136.649;160.373;37;41.5;39.375;41.125;39.5;18.05;1.98;0;179.7;0;637.9569231;-12.47138464;-2.034324811;137.0417692;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;0.184705818;0.196761613;0.040241485;1;1;1;1/1;3.35872;2.74558;0.0918896;0.0911942;0.119264;0.117316;28506.1;26939.8;29614.6;28125.3;37347.6;35940.5;45505.1;43989.1;2.46025;2.14525;0.0568926;0;100;100;-1.113;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;50.7;50.7;2;776.562;660.033;27.6786;26.8563;30.0001;26.8491;26.899;25.3539;17.6235;100;27.6787;400.135;24.1516;100.01;100.324
15;1603437765;2981.6;20201023 09:22:45;09:22:45;DV7_9;1603437765;0.000131056;0.367068141;399.982;338.4453065;34.26728336;40.49781832;0.010820525;3.027865028;0.010799089;0.006751353;8.252724084;28.00103317;27.4206;3.668534329;65.3248164;2.47707953;3.791942583;1.191454799;-5.779584657;92.4418263;6.635293383;101.5502591;0;0;1;0;53267.83723;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2774-20201023-09_22_49;700.24428;2448.17;0.713972363;0.5;42.24038979;0.367068141;15.07923546;1;0.027142577;0.075484954;-;0;2448.17;0.713972363;0.070186899;0.909950893;0.087761741;50.1258;42.24038979;0.842687594;0.195375188;5.59;0.5;0: Broadleaf;2;1603437765;399.982;400.317;24.4652;24.3631;401.096;24.3607;699.982;101.149;0.100102;27.9869;27.4206;999.9;0;0;9991.88;0;1.97985;50.1258;0.900456;0.099544;0;698.42;4.99918;329.323;361.199;36.75;41.25;39.062;40.875;39.25;40.63;4.49;0;180.3000002;0;700.24428;-15.52853844;-5.475230763;329.42556;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;0.374708922;0.004118239;0.029011782;1;1;1;1/1;3.35871;2.74554;0.0918831;0.0912093;0.11984;0.117913;28503.4;26939;29611.6;28124.9;37319.9;35915.4;45501.6;43989.1;2.46023;2.14523;0.0587776;0;100;100;-1.114;0.1045;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;53.7;53.7;2;776.731;660.181;27.6796;26.8679;30.0001;26.8626;26.9125;25.365;17.0118;100;27.6878;400.358;24.3063;100.001;100.323
16;1603437946;3162.5;20201023 09:25:46;09:25:46;DV7_9;1603437946;0.000256446;1.366292681;399.966;288.6337243;29.22473085;40.49734219;0.020973288;3.028724101;0.020892935;0.013065278;16.46099675;28.02393239;27.4428;3.673305313;65.06178278;2.468198825;3.793623106;1.205106488;-11.30928332;90.08409932;6.465186981;101.7009997;0;0;1;0;53290.42006;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2775-20201023-09_25_50;685.7229231;2104.2;0.674117041;0.5;84.1108309;1.366292681;28.35027221;1;0.025510835;0.251292653;-;0;2104.2;0.674117041;0.200826443;0.899517441;0.251113506;99.793;84.1108309;0.842853015;0.195706029;5.59;0.5;0: Broadleaf;2;1603437946;399.966;401.139;24.3768;24.177;401.08;24.2724;699.995;101.152;0.0999619;27.9945;27.4428;999.9;0;0;9996.25;0;1.97985;99.793;0.899883;0.100117;0;686.469;4.99918;672.332;758.614;36.625;41.062;38.937;40.75;39.125;85.3;9.49;0;180.8000002;0;685.7229231;6.121367524;1.809504304;673.0540769;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;1.374045531;0.190822631;0.028933431;1;1;1;1/1;3.35873;2.74545;0.09188;0.0913512;0.119538;0.117291;28505.2;26934.6;29613.4;28124.8;37334.8;35941.1;45503.8;43988.4;2.46028;2.14445;0.0568852;0;100;100;-1.114;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;56.7;56.7;2;776.9;659.604;27.6806;26.8747;30;26.8717;26.9216;25.4049;17.5802;100;27.6826;401.255;24.2143;100.007;100.322
17;1603438127;3343;20201023 09:28:46;09:28:46;DV7_9;1603438127;0.000386512;2.473927956;400.003;268.3341033;27.16805838;40.49915654;0.03178984;3.027942804;0.031605581;0.019769954;24.72399149;28.03618074;27.4558;3.676101645;65.26374556;2.475543001;3.793136572;1.200558644;-17.04516291;87.57957575;6.287401695;101.545806;0;0;1;0;53268.99902;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2776-20201023-09_28_50;703.0270769;1990.35;0.646782186;0.5;126.2692311;2.473927956;40.83434463;1;0.025765365;0.322867837;-;0;1990.35;0.646782186;0.244066586;0.879871168;0.305181008;149.803;126.2692311;0.842901885;0.19580377;5.59;0.5;0: Broadleaf;2;1603438127;400.003;402.102;24.4505;24.1494;401.117;24.3461;700.024;101.147;0.100132;27.9923;27.4558;999.9;0;0;9992.5;0;1.97985;149.803;0.89991;0.100089;0;704.917;4.99918;1049.45;1158.84;36.625;40.937;38.812;40.625;39.125;130.31;14.49;0;180.2;0;703.0270769;13.52683761;16.05299145;1048.425769;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;2.487471449;0.649120296;0.063548699;1;1;1;1/1;3.35879;2.74557;0.0918822;0.0915133;0.119784;0.117192;28503.9;26929.7;29612.1;28124.6;37322.4;35945.2;45501.7;43988.4;2.46045;2.14398;0.0578351;0;100;100;-1.114;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;59.7;59.7;2;777.081;659.21;27.666;26.8747;30.0001;26.8739;26.9238;25.4484;17.8762;100;27.6713;401.978;24.1319;100.002;100.322
18;1603438307;3523.5;20201023 09:31:47;09:31:47;DV7_9;1603438307;0.000808453;5.414590088;399.833;262.9584035;26.62319227;40.4810445;0.067125109;3.030777099;0.066310003;0.041516161;49.53811349;28.07467859;27.4471;3.674230048;65.2996046;2.477350869;3.793822158;1.196879179;-35.65276226;89.5896183;6.425510118;109.9004796;0;0;1;0;53347.15452;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2777-20201023-09_31_51;719.0536;1600.63;0.550768385;0.5;252.8688024;5.414590088;69.63607096;1;0.024495054;0.644958548;-;0;1600.63;0.550768385;0.392081945;0.821323184;0.490259502;299.98;252.8688024;0.842952205;0.19590441;5.59;0.5;0: Broadleaf;2;1603438307;399.833;404.415;24.4689;23.8391;400.947;24.3644;700.011;101.145;0.099881;27.9954;27.4471;999.9;0;0;10008.1;0;1.97985;299.98;0.899931;0.100069;0;721.222;4.99918;2171.01;2360.7;36.812;40.937;38.875;40.625;39.187;265.46;29.52;0;180.2;0;719.0536;17.00892308;51.02076921;2165.0024;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;5.292159551;0.926105878;0.072788335;1;1;1;1/1;3.35877;2.74545;0.0918514;0.0919102;0.119845;0.116148;28504.3;26918.9;29611.6;28125.7;37319.2;35990.2;45501.1;43989.5;2.46077;2.14307;0.0560507;0;100;100;-1.114;0.1045;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;62.7;62.7;2;777.358;658.409;27.6138;26.8724;30;26.8739;26.9238;25.5647;19.2753;100;27.6154;404.513;23.8363;100.001;100.325
19;1603438488;3704;20201023 09:34:47;09:34:47;DV7_9;1603438488;0.001468383;8.616318556;399.891;279.3070192;28.27771324;40.48592498;0.123291351;3.017821832;0.120559895;0.075590305;74.05654473;28.05181591;27.4463;3.674057989;65.31608832;2.478424101;3.794507853;1.195633888;-64.75567957;89.84117883;6.47128841;105.6133324;0;0;1;0;52986.9693;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2778-20201023-09_34_51;773.9938;1535.83;0.49604201;0.5;379.2311448;8.616318556;94.05728964;1;0.024775822;0.714362918;-;0;1535.83;0.49604201;0.416692936;0.755369367;0.5210331;450.051;379.2311448;0.842640378;0.195280756;5.59;0.5;0: Broadleaf;2;1603438488;399.891;407.24;24.4801;23.3363;401.004;24.3756;700.063;101.142;0.100401;27.9985;27.4463;999.9;0;0;9938.12;0;2.03485;450.051;0.910993;0.089007;0;775.354;4.99918;3513.98;3573.4;37.062;41;39.062;40.625;39.437;405.44;39.61;0;180.2;0;773.9938;10.78161539;52.83153852;3507.5688;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;8.54609921;0.409843134;0.041061256;1;1;1;1/1;3.35887;2.74537;0.0918587;0.0923909;0.11988;0.114442;28502.9;26904.8;29610.3;28125.8;37316.4;36061.9;45499.5;43989.2;2.46112;2.14187;0.0568256;0;100;100;-1.113;0.1045;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;65.7;65.7;2;777.689;657.372;27.573;26.877;30.0001;26.8761;26.9261;25.6959;21.5905;99.6277;27.5735;407.279;23.2731;99.9968;100.325
20;1603438669;3885.5;20201023 09:37:49;09:37:49;DV7_9;1603438669;0.002037601;10.83695609;399.891;288.6037413;29.21830511;40.48505122;0.170321297;3.026664554;0.165170164;0.103681184;97.98537294;28.04706091;27.4527;3.675434659;64.9377339;2.46436909;3.794972417;1.211065569;-89.85818983;89.40278225;6.421168422;103.9511338;0;0;1;0;53231.88155;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2779-20201023-09_37_53;809.6420385;1442.4;0.438684111;0.5;505.1165536;10.83695609;110.7933031;1;0.022997466;0.82540904;-;0;1442.4;0.438684111;0.452177579;0.691439647;0.565403119;599.906;505.1165536;0.841992835;0.19398567;5.59;0.5;0: Broadleaf;2;1603438669;399.891;409.196;24.3418;22.7542;401.005;24.2374;699.983;101.14;0.100216;28.0006;27.4527;999.9;0;0;9986.25;0;2.03485;599.906;0.933011;0.0669888;0;809.327;4.99918;4899.99;4807.75;37.5;41.125;39.312;40.812;39.687;555.05;39.85;0;180.8;0;809.6420385;-3.109709405;-17.42974353;4903.951538;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;10.70537684;-0.789572694;0.138224653;1;1;1;1/1;3.3587;2.74561;0.0918535;0.0927185;0.119402;0.112447;28505.1;26894.7;29612.5;28125.4;37339.5;36144.5;45502.3;43987.6;2.4613;2.14022;0.0563934;0;100;100;-1.114;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;68.8;68.8;2;777.934;655.993;27.4831;26.8861;30.0001;26.8829;26.9329;25.7833;23.4455;98.1373;27.4817;409.232;22.7805;100.003;100.322
21;1603438850;4066;20201023 09:40:49;09:40:49;DV7_9;1603438850;0.002432215;12.17104727;399.995;293.6629348;29.73372895;40.49997974;0.202039457;3.025252436;0.194831574;0.12239591;145.8751513;28.22404421;27.5578;3.698106649;65.1456889;2.472635671;3.795547661;1.225470977;-107.2606823;72.64358613;5.22271266;116.4807678;0;0;1;0;53192.4499;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2780-20201023-09_40_53;819.8691923;1232.02;0.334532563;0.5;757.301525;12.17104727;126.6710099;1;0.01710084;1.137116281;-;0;1232.02;0.334532563;0.532079743;0.5848175;0.665312833;900.143;757.301525;0.841312464;0.192624927;5.59;0.5;0: Broadleaf;2;1603438850;399.995;410.491;24.4208;22.526;401.109;24.3164;700.024;101.151;0.100215;28.0032;27.5578;999.9;0;0;9977.5;0;2.03485;900.143;0.956007;0.0439933;0;816.813;4.99918;7443.64;7283.05;38.125;41.437;39.75;41.062;40.187;855.76;39.38;0;179.7;0;819.8691923;-23.69364104;-207.3504274;7467.314615;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;12.19041968;0.289695078;0.039608548;1;1;1;1/1;3.35878;2.74552;0.0918815;0.0929485;0.119684;0.111673;28503.2;26888;29611.5;28125.6;37326.2;36177.3;45501;43987.9;2.46152;2.1391;0.0618473;0;100;100;-1.114;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;71.8;71.8;2;778.157;655.024;27.2615;26.8884;30;26.8851;26.9351;25.8373;24.0132;96.2675;27.2623;410.48;22.5539;100;100.323
22;1603439030;4246.5;20201023 09:43:50;09:43:50;DV7_9;1603439030;0.002556852;12.51396476;400.04;292.407402;29.60819206;40.50670767;0.20557754;3.039149895;0.19815279;0.124490237;193.7674006;28.45833935;27.7126;3.731722078;64.97177729;2.465143614;3.794176052;1.266578463;-112.7571909;46.59798702;3.337314803;130.9455115;0;0;1;0;53580.02904;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2781-20201023-09_43_54;775.2436923;1046.69;0.259337825;0.5;1009.351501;12.51396476;130.8815113;1;0.013170248;1.515520355;-;0;1046.69;0.259337825;0.602467935;0.522593864;0.753326272;1200.2;1009.351501;0.840986086;0.191972173;5.59;0.5;0: Broadleaf;2;1603439030;400.04;410.85;24.3455;22.3534;401.154;24.241;700.007;101.157;0.0996435;27.997;27.7126;999.9;0;0;10052.5;0;2.03485;1200.2;0.966994;0.0330056;0;771.558;4.99918;9415.84;9755.63;38.937;41.812;40.312;41.375;40.75;1155.75;39.45;0;179.8000002;0;775.2436923;-26.70338461;-309.7100854;9451.988462;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;12.50437257;-0.284658721;0.032338714;1;1;1;1/1;3.35875;2.74561;0.0918945;0.0930143;0.119434;0.111083;28503.4;26886.8;29612.1;28126.3;37337.4;36203.2;45501.4;43989.2;2.46158;2.13853;0.0676364;0;100;100;-1.114;0.1045;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;74.8;74.8;2;778.2;654.515;27.0414;26.8884;30.0001;26.8851;26.9351;25.8504;24.5678;93.6431;27.0991;410.826;22.3841;100.002;100.325
23;1603439211;4427;20201023 09:46:50;09:46:50;DV7_9;1603439211;0.002366804;12.00055564;400.109;284.5968981;28.81886163;40.51585236;0.182525355;3.027409048;0.176624753;0.110904726;241.6480341;28.78876485;27.8991;3.772575157;64.74015293;2.457386609;3.795768928;1.315188548;-104.3760597;17.15375741;1.234495658;155.6602275;0;0;1;0;53252.38942;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2782-20201023-09_46_54;722.4771154;898.353;0.19577592;0.5;1261.118101;12.00055564;123.4482779;1;0.010133865;1.930885743;-;0;898.353;0.19577592;0.658806215;0.473951482;0.823771691;1499.89;1261.118101;0.84080706;0.191614119;5.59;0.5;0: Broadleaf;2;1603439211;400.109;410.448;24.2676;22.4235;401.223;24.1632;700.036;101.162;0.100037;28.0042;27.8991;999.9;0;0;9988.12;0;1.97985;1499.89;0.973008;0.0269922;0;720.178;4.99918;11028.1;12223.1;39.812;42.25;41;41.812;41.5;1454.54;40.35;0;179.8000002;0;722.4771154;-17.93200001;-272.9094016;11062.63846;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;12.13839208;0.696063318;0.066716562;1;1;1;1/1;3.3588;2.74544;0.0919095;0.0929495;0.119171;0.11133;28502.8;26888.1;29612;28125.7;37348.1;36191.9;45500.6;43988.1;2.4614;2.13865;0.0784099;0;100;100;-1.114;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;77.8;77.8;2;778.106;654.682;26.8579;26.8952;30.0001;26.8891;26.9396;25.8296;24.3149;91.4065;26.8538;410.39;22.4905;100;100.323
24;1603439391;4607.5;20201023 09:49:51;09:49:51;DV7_9;1603439391;0.002073552;11.02532502;400.1;277.0582492;28.05601345;40.51570748;0.156233067;3.02985342;0.15189158;0.095312254;281.5683486;29.08752346;28.0624;3.808666115;65.05845715;2.469108832;3.79521578;1.339557283;-91.44366438;-9.915069274;-0.713548594;179.4960663;0;0;1;0;53320.78024;RECT-2772-20201023-09_16_48;527.2688462;2632.97;2105.701154;0.799743694;-0.779444882;MPF-2783-20201023-09_49_55;688.6837308;818.899;0.159012612;0.5;1471.287601;11.02532502;116.9766424;1;0.008023428;2.215256094;-;0;818.899;0.159012612;0.688982784;0.446508249;0.861504491;1750.1;1471.287601;0.840687732;0.191375465;5.59;0.5;0: Broadleaf;2;1603439391;400.1;409.567;24.3829;22.7674;401.214;24.2785;700.002;101.164;0.0999527;28.0017;28.0624;999.9;0;0;10001.2;0;1.97985;1750.1;0.977008;0.0229918;0;687.502;4.99918;12338.7;14285.6;40.812;42.812;41.75;42.312;42.25;1704.98;40.12;0;179.8;0;688.6837308;-9.969675238;-158.5504274;12357.86154;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;11.16992469;-0.812434327;0.071747022;1;1;1;1/1;3.35871;2.74546;0.0919056;0.0927981;0.119563;0.112512;28501.6;26891.3;29610.7;28124.5;37330.2;36141.4;45499.3;43987;2.46063;2.13847;0.0875369;0;100;100;-1.114;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;80.8;80.8;2;777.769;654.81;26.5959;26.9254;30;26.9122;26.9623;25.7975;23.1804;89.5395;26.5945;409.526;22.746;99.9971;100.32
25;1603439924;5140.6;20201023 09:58:44;09:58:44;DV7_3;1603439924;0.000351677;-0.655022618;399.999;428.245151;43.36493457;40.50467454;0.028980488;3.14558791;0.02883297;0.018033798;0.001994019;27.91448514;27.3745;3.658644288;64.84773697;2.460867654;3.79483968;1.197776634;-15.50895972;106.0753771;7.327730265;97.89614166;0;0;1;0;53339.45671;RECT-2784-20201023-09_58_48;519.8444;2627.73;2107.8856;0.802169782;-0.655022618;-;0;0;#DIV/0!;0.5;0.020993113;-0.655022618;#DIV/0!;#DIV/0!;-1.58655E-14;#DIV/0!;-;0;0;#DIV/0!;1;0;1.246618887;0.0499918;0.020993113;0.41993112;0.09498442;5.09;0.5;0: Broadleaf;2;1603439924;399.999;399.625;24.302;24.0525;401.113;24.1975;700.014;101.162;0.0999395;28;27.3745;999.9;0;0;10005;0;1.92348;0.0499918;0;0;0;518.7;0.0499918;8.05;0.51;37.437;42.062;39.937;41.5;39.75;0;0;0;532.4000001;0;519.8444;0.041538487;1.261538606;2.6676;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;-0.655993468;0.073090136;0.023050859;1;1;1;1/1;3.35868;2.74549;0.0918692;0.0910707;0.119264;0.116856;28497.3;26937.2;29605.3;28119.2;37336.6;35952.8;45490.9;43979.7;2.45832;2.13967;0.0559911;0;100;100;-1.114;0.1045;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;89.7;89.7;2;776.789;656.75;27.7005;26.9909;30.0001;26.9822;27.0326;25.3136;18.4927;92.2095;27.7005;399.629;24.0501;99.9788;100.302
26;1603440105;5321.1;20201023 10:01:44;10:01:44;DV7_3;1603440105;0.000399604;0.417754607;400.03;371.8141136;37.65206125;40.50936613;0.032593582;3.149084174;0.032407322;0.020271222;4.103205896;27.91782328;27.4442;3.673606367;64.92686072;2.462764499;3.793136572;1.210841868;-17.62252524;93.05281479;6.42297409;85.95646954;0;0;1;0;53432.3862;RECT-2784-20201023-09_58_48;519.8444;2627.73;2107.8856;0.802169782;-0.655022618;RECT-2785-20201023-10_01_48;637.2603462;2453.11;0.740223493;0.5;21.06906551;0.417754607;7.797908637;1;0.050917172;0.07118311;-;0;2453.11;0.740223493;0.066452794;0.939265486;0.082841308;25.0115;21.06906551;0.842375128;0.194750256;5.09;0.5;0: Broadleaf;2;1603440105;400.03;400.45;24.3198;24.0363;401.144;24.2154;700.006;101.166;0.0998204;27.9923;27.4442;999.9;0;0;10022.5;0;1.92485;25.0115;0.901095;0.0989049;0;633.17;4.99918;138.046;160.212;37.125;41.625;39.5;41.25;39.625;18.03;1.98;0;179.7;0;637.2603462;-32.89576067;-7.992615402;138.7523077;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;0.538825355;-0.642760659;0.058767615;1;1;1;1/1;3.35866;2.74553;0.0918763;0.0912158;0.119327;0.116804;28497;26933.1;29605.4;28119.5;37334.1;35954.9;45491.3;43979.6;2.45828;2.1394;0.0580177;0;100;100;-1.114;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;92.7;92.7;2;776.873;656.62;27.6537;26.9955;30.0001;26.9913;27.0417;25.3549;18.691;92.2095;27.6545;400.589;24.0743;99.9793;100.303
27;1603440285;5501.6;20201023 10:04:45;10:04:45;DV7_3;1603440285;0.000509027;1.390268745;399.97;339.1643413;34.34612699;40.50372855;0.041795096;3.144941675;0.041488958;0.025957917;8.196373888;27.91359197;27.4713;3.679438162;65.24324018;2.474750776;3.793114458;1.204687386;-22.44806996;88.31864479;6.10504935;80.17199808;0;0;1;0;53324.04443;RECT-2784-20201023-09_58_48;519.8444;2627.73;2107.8856;0.802169782;-0.655022618;RECT-2786-20201023-10_04_49;637.76828;2358.59;0.729597649;0.5;41.94408755;1.390268745;15.30115384;1;0.048762328;0.114110549;-;0;2358.59;0.729597649;0.102423004;0.935867213;0.127682451;49.7731;41.94408755;0.842705951;0.195411901;5.09;0.5;0: Broadleaf;2;1603440285;399.97;401.129;24.4379;24.0768;401.084;24.3335;699.98;101.167;0.0999164;27.9922;27.4713;999.9;0;0;10001.2;0;1.97985;49.7731;0.899795;0.100205;0;635.332;4.99918;300.548;358.306;36.875;41.375;39.187;41.062;39.375;40.29;4.49;0;180.2;0;637.76828;-21.07799997;-13.74930775;303.10868;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;1.306424196;0.878196758;0.083136148;1;1;1;1/1;3.3586;2.74543;0.0918644;0.0913317;0.119729;0.116937;28495.8;26928.5;29603.8;28118.3;37315.2;35948;45489.2;43978;2.45812;2.13897;0.0580847;0;100;100;-1.114;0.1044;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;95.7;95.7;2;776.935;656.413;27.6678;27.007;30.0002;27.0049;27.0553;25.382;18.8717;92.2095;27.6715;401.092;24.0296;99.9745;100.299
28;1603440466;5682.1;20201023 10:07:45;10:07:45;DV7_3;1603440466;0.000906781;3.273372238;399.974;321.569797;32.56472602;40.50456183;0.074301202;3.143993017;0.073339308;0.045922453;16.49537576;27.86207949;27.4875;3.682928184;65.08991186;2.468862889;3.79300389;1.214065295;-39.98903592;85.46137137;5.909784586;67.8774958;0;0;1;0;53299.34523;RECT-2784-20201023-09_58_48;519.8444;2627.73;2107.8856;0.802169782;-0.655022618;MPF-2787-20201023-10_07_49;653.746;2302.23;0.716037928;0.5;84.29448802;3.273372238;30.17902529;1;0.046603223;0.141384657;-;0;2302.23;0.716037928;0.123871174;0.924875066;0.154420145;100.012;84.29448802;0.842843739;0.195687478;5.09;0.5;0: Broadleaf;2;1603440466;399.974;402.618;24.3795;23.7362;401.087;24.275;699.983;101.168;0.099987;27.9917;27.4875;999.9;0;0;9996.25;0;1.97985;100.012;0.900206;0.0997939;0;653.949;4.99918;646.668;760.436;36.75;41.187;39.062;40.875;39.312;85.53;9.48;0;180.1000001;0;653.746;-0.920341885;-1.341025666;646.9745;15;1603434546;08:29:05;1603434544;1603434543;6;-0.034;0.006;-1.114;0.104;400;23;0.01;0.16;3.187947917;0.290828098;0.044038746;1;1;1;1/1;3.35859;2.74546;0.0918617;0.0915842;0.119526;0.115787;28495.7;26920.8;29603.7;28118.2;37324;35996.6;45489.2;43978;2.45815;2.13805;0.0572205;0;100;100;-1.113;0.1045;-1.11365;0;0;0;0.104455;0;0;0;-1;-1;-1;-1;98.7;98.7;2;777.179;655.79;27.69;27.0252;30;27.0207;27.0712;25.4571;19.9944;92.2095;27.6962;402.528;23.7437;99.9743;100.299
