Background,Genotype,Stage,Replicate,O2,Iinc ,Ca,Ci,A,Phi2,VPDleaf,gs,E,Tleaf
WYJ,C,Tillering,1,21,1999.87,371.42,303.88,36.71,0.2546,1.07,0.5936,0.01,25.01
WYJ,C,Tillering,1,21,1500.12,372.79,305.62,35.08,0.3205,1.02,0.5687,0.0092,25.01
WYJ,C,Tillering,1,21,999.98,375.71,311.94,31.21,0.4221,0.98,0.5342,0.0083,25.02
WYJ,C,Tillering,1,21,500.26,382.71,332.08,21.71,0.5476,0.95,0.4798,0.0072,25.01
WYJ,C,Tillering,1,21,280.21,388.73,348.89,13.7,0.6082,0.96,0.4006,0.0061,25.01
WYJ,C,Tillering,1,21,150.02,393.46,361.45,7.64,0.6414,0.98,0.2925,0.0046,25.01
WYJ,C,Tillering,1,21,99.92,395.63,363.4,5.05,0.6585,1,0.1932,0.0031,25.02
WYJ,C,Tillering,1,21,80.06,396.55,365.01,3.99,0.6675,1,0.1572,0.0025,25
WYJ,C,Tillering,1,21,50.13,397.73,376.3,2.34,0.6779,1.01,0.1548,0.0025,25
WYJ,C,Tillering,1,21,1000.06,376.13,315.1,30.46,0.436,1.02,0.5494,0.0089,25
WYJ,C,Tillering,1,21,999.97,232.07,187.45,23.34,0.4316,1.01,0.5656,0.009,24.99
WYJ,C,Tillering,1,21,1000.12,139.68,114.13,13.54,0.3871,1.01,0.5752,0.0091,25
WYJ,C,Tillering,1,21,1000.09,75.9,65.7,5.33,0.3277,1,0.5867,0.0093,24.99
WYJ,C,Tillering,1,21,1000.05,48.87,45.81,1.38,0.2917,1,0.5972,0.0094,25
WYJ,C,Tillering,1,21,1000.03,377.34,321.54,28.58,0.4036,1.01,0.5693,0.0091,25.02
WYJ,C,Tillering,1,21,1000.01,376.42,309.78,30.33,0.4306,1.02,0.4965,0.008,24.98
WYJ,C,Tillering,1,21,1000.01,375.6,306.41,31.53,0.447,1.02,0.4949,0.008,24.99
WYJ,C,Tillering,1,21,1000,623.3,541.51,32.96,0.41,1.03,0.456,0.0075,25.02
WYJ,C,Tillering,1,21,1000.01,973.26,882.23,31.09,0.3681,1.03,0.4103,0.0067,24.99
WYJ,C,Tillering,1,21,999.98,1472.2,1365.93,29.8,0.3477,1.04,0.3602,0.006,25
WYJ,C,Tillering,1,2,279.97,984.78,871.08,18.38,0.6034,1.03,0.1869,0.0031,25
WYJ,C,Tillering,1,2,149.94,992.09,874.86,9.56,0.6175,1.04,0.0941,0.0016,25.03
WYJ,C,Tillering,1,2,100.05,994.93,837.54,6.31,0.6287,1.05,0.0445,0.0008,25.01
WYJ,C,Tillering,1,2,80.13,995.85,872.87,4.88,0.6376,1.05,0.0455,0.0008,25
WYJ,C,Tillering,1,2,49.96,997.32,916.93,2.94,0.6544,1.05,0.0458,0.0008,25
WYJ,C,Tillering,2,21,1999.98,374.21,296.58,35.48,0.2787,1.1,0.4944,0.0086,25
WYJ,C,Tillering,2,21,1499.99,375.48,296.96,33.85,0.3503,1.06,0.4647,0.0078,25.03
WYJ,C,Tillering,2,21,1000.12,378.11,304.58,30.19,0.4515,1,0.4434,0.0071,25
WYJ,C,Tillering,2,21,499.94,384.48,322.24,21.04,0.5739,0.99,0.3714,0.0059,25.04
WYJ,C,Tillering,2,21,279.99,389.9,340.5,13.32,0.6342,1,0.3059,0.0049,25.04
WYJ,C,Tillering,2,21,149.77,394.48,356.5,6.99,0.6697,1,0.2189,0.0035,25.01
WYJ,C,Tillering,2,21,100.16,396.47,357.92,4.59,0.6879,1.02,0.1417,0.0023,25
WYJ,C,Tillering,2,21,79.99,397.45,351.68,3.42,0.6991,1.04,0.0866,0.0015,25.01
WYJ,C,Tillering,2,21,50.06,398.5,352.18,2,0.7107,1.04,0.0499,0.0008,25
WYJ,C,Tillering,2,21,999.89,378.85,298.64,29.16,0.4479,1.05,0.3912,0.0065,24.99
WYJ,C,Tillering,2,21,1000.15,234.93,178.91,21.07,0.4279,1.04,0.4006,0.0067,25
WYJ,C,Tillering,2,21,999.81,141.29,110.41,12.3,0.3882,1.04,0.4269,0.0071,24.99
WYJ,C,Tillering,2,21,1000.09,76.66,65.06,4.71,0.3286,1.03,0.4513,0.0074,24.98
WYJ,C,Tillering,2,21,1000.07,49.05,45.47,1.34,0.2871,1.03,0.4771,0.0078,24.98
WYJ,C,Tillering,2,21,1000.04,380.22,314.54,26.82,0.402,1.04,0.4474,0.0074,25.01
WYJ,C,Tillering,2,21,1000.05,379.45,303.72,28.27,0.4273,1.04,0.4035,0.0067,24.99
WYJ,C,Tillering,2,21,1000.03,378.97,298.59,29.16,0.441,1.04,0.39,0.0065,25
WYJ,C,Tillering,2,21,1000.01,626.61,528.09,31.31,0.4084,1.05,0.3526,0.0059,25
WYJ,C,Tillering,2,21,1000.03,976.91,867.18,29.28,0.3584,1.06,0.3111,0.0053,25
WYJ,C,Tillering,2,21,1000.02,1476.5,1352.64,27.78,0.334,1.06,0.2785,0.0047,25
WYJ,C,Tillering,2,2,280.08,985.71,855.2,18.63,0.6199,1.04,0.1619,0.0027,24.99
WYJ,C,Tillering,2,2,150.07,991.79,890.38,10.08,0.6448,1.04,0.1177,0.002,25.01
WYJ,C,Tillering,2,2,99.85,994.89,892.63,6.26,0.6578,1.04,0.0725,0.0012,25
WYJ,C,Tillering,2,2,79.96,996.24,867.98,4.84,0.6667,1.05,0.0431,0.0007,25
WYJ,C,Tillering,2,2,50.05,997.69,899.64,2.76,0.6815,1.05,0.0338,0.0006,24.99
WYJ,C,Tillering,3,21,1999.86,371.45,292.09,35.33,0.2592,1.15,0.4824,0.0089,25
WYJ,C,Tillering,3,21,1500.12,372.98,293.08,33.56,0.3364,1.11,0.4536,0.0081,25.02
WYJ,C,Tillering,3,21,999.95,375.59,297.89,30.31,0.4427,1.07,0.4215,0.0073,25.02
WYJ,C,Tillering,3,21,500,381.83,311.63,22.38,0.5869,1.06,0.3482,0.006,25.1
WYJ,C,Tillering,3,21,279.83,388.55,323.52,14.06,0.6575,1.06,0.2386,0.0041,25.12
WYJ,C,Tillering,3,21,150,394.01,332.41,7.36,0.6853,1.04,0.1327,0.0022,24.96
WYJ,C,Tillering,3,21,99.9,396.33,331.71,4.67,0.6964,1.06,0.08,0.0014,25
WYJ,C,Tillering,3,21,80.02,397.18,322.46,3.58,0.7004,1.06,0.0522,0.0009,24.98
WYJ,C,Tillering,3,21,49.88,398.29,337.27,2.17,0.71,1.06,0.0397,0.0007,25
WYJ,C,Tillering,3,21,999.94,377.59,300.93,27.71,0.4355,1.07,0.3912,0.0067,24.99
WYJ,C,Tillering,3,21,1000.19,234.02,182.22,20.12,0.414,1.06,0.4168,0.0071,24.99
WYJ,C,Tillering,3,21,999.89,140.53,112.74,11.88,0.3676,1.03,0.4621,0.0076,24.83
WYJ,C,Tillering,3,21,999.9,76.25,65.61,4.72,0.3096,1.03,0.4982,0.0082,25.01
WYJ,C,Tillering,3,21,1000.12,49,46.04,1.15,0.2747,1.02,0.5282,0.0086,24.99
WYJ,C,Tillering,3,21,1000.1,378.04,318.58,26.58,0.3997,1.04,0.495,0.0082,25
WYJ,C,Tillering,3,21,1000.11,376.68,309.26,28.65,0.4282,1.03,0.4639,0.0076,24.99
WYJ,C,Tillering,3,21,1000.1,376.14,304.86,29.52,0.4423,1.03,0.4497,0.0074,25
WYJ,C,Tillering,3,21,1000.1,623.31,535.31,31.69,0.4117,1.05,0.405,0.0068,25.03
WYJ,C,Tillering,3,21,1000.09,972.99,874.29,30.2,0.3738,1.05,0.3636,0.0062,25
WYJ,C,Tillering,3,21,1000.07,1471.95,1360.13,29.37,0.3546,1.05,0.3339,0.0056,24.96
WYJ,C,Tillering,3,2,279.99,982.98,888.19,18.81,0.6171,1.05,0.2384,0.0041,25.01
WYJ,C,Tillering,3,2,150.04,989.94,929.61,9.72,0.6487,1.05,0.2209,0.0038,25
WYJ,C,Tillering,3,2,99.94,992.64,943.21,6.44,0.6622,1.05,0.1956,0.0033,25
WYJ,C,Tillering,3,2,80.07,994.1,946.48,5.04,0.6694,1.06,0.1626,0.0028,25.01
WYJ,C,Tillering,3,2,49.92,996.09,957.55,2.88,0.6836,1.06,0.1326,0.0023,24.99
WYJ,C,Tillering,4,21,1999.95,371.26,296.74,35.29,0.2615,1.12,0.5151,0.0092,25.03
WYJ,C,Tillering,4,21,1500.25,372.6,299.32,33.74,0.338,1.06,0.4993,0.0085,25.03
WYJ,C,Tillering,4,21,999.89,375.14,305.92,30.55,0.4445,1.01,0.4798,0.0078,25
WYJ,C,Tillering,4,21,500.01,381.24,322.61,22.77,0.5879,0.98,0.4287,0.0067,25.02
WYJ,C,Tillering,4,21,280.21,387.65,338.73,14.63,0.6564,0.98,0.339,0.0054,25.01
WYJ,C,Tillering,4,21,150.19,393.31,347.65,7.82,0.6885,1.01,0.1975,0.0032,25.03
WYJ,C,Tillering,4,21,99.84,396.16,329.41,4.74,0.7018,1.03,0.0781,0.0013,25
WYJ,C,Tillering,4,21,79.99,397.18,328.52,3.55,0.7085,1.04,0.0568,0.001,25
WYJ,C,Tillering,4,21,50.14,398.2,344.54,2.23,0.7175,1.04,0.047,0.0008,25.01
WYJ,C,Tillering,4,21,999.98,376.98,306.99,28.29,0.4343,1.05,0.4404,0.0074,24.99
WYJ,C,Tillering,4,21,999.94,233.22,185.65,20.83,0.416,1.04,0.4725,0.0079,24.98
WYJ,C,Tillering,4,21,999.9,140.15,113.77,12.28,0.3697,1.03,0.5057,0.0084,24.99
WYJ,C,Tillering,4,21,999.88,76.07,65.82,4.85,0.3069,1.03,0.5351,0.0088,24.99
WYJ,C,Tillering,4,21,1000.15,48.91,45.68,1.36,0.2717,1.03,0.5529,0.0091,24.99
WYJ,C,Tillering,4,21,1000.14,378.29,324.14,25.87,0.3787,1.04,0.5352,0.0089,24.99
WYJ,C,Tillering,4,21,999.87,376.99,316.72,27.82,0.411,1.03,0.51,0.0084,25
WYJ,C,Tillering,4,21,1000.13,376.11,312.14,29.12,0.4288,1.04,0.5,0.0083,25.01
WYJ,C,Tillering,4,21,1000.13,623.7,547.36,30.45,0.3976,1.05,0.4581,0.0077,25.02
WYJ,C,Tillering,4,21,999.87,973.53,887.96,28.64,0.3603,1.05,0.4102,0.0069,24.99
WYJ,C,Tillering,4,21,999.85,1472.3,1371.99,27.68,0.3394,1.06,0.3639,0.0062,25
WYJ,C,Tillering,4,2,280.04,982.71,896.37,18.82,0.6143,1.02,0.2658,0.0044,25
WYJ,C,Tillering,4,2,150.11,989.28,934.67,9.96,0.6408,1.03,0.258,0.0043,25.01
WYJ,C,Tillering,4,2,99.95,992.12,949.68,6.46,0.6553,1.02,0.2445,0.004,24.98
WYJ,C,Tillering,4,2,80.1,993.49,954.38,5.03,0.665,1.03,0.2199,0.0037,25
WYJ,C,Tillering,4,2,50.17,995.39,962.13,2.95,0.6796,1.07,0.1804,0.0031,25.18
WYJ,G,Tillering,1,21,2000.01,373.4,312.84,32.55,0.2574,1.1,0.5955,0.0102,24.98
WYJ,G,Tillering,1,21,1500.02,373.99,312.22,32.04,0.3334,1.05,0.5707,0.0093,24.98
WYJ,G,Tillering,1,21,1000.01,376.34,315.89,29.17,0.4344,1.02,0.5309,0.0085,25.04
WYJ,G,Tillering,1,21,499.82,383.26,336.84,20.13,0.5545,0.97,0.4913,0.0074,25.01
WYJ,G,Tillering,1,21,279.96,389.13,354.08,12.47,0.6089,0.97,0.4244,0.0065,25.01
WYJ,G,Tillering,1,21,150.04,393.28,367.57,7.13,0.6419,0.99,0.3601,0.0056,25.02
WYJ,G,Tillering,1,21,99.9,395.28,373.01,4.7,0.6584,1,0.2897,0.0046,25
WYJ,G,Tillering,1,21,80.01,396.34,371.97,3.78,0.6688,1.01,0.2074,0.0033,25.01
WYJ,G,Tillering,1,21,49.85,397.87,374.7,2.22,0.6863,1.02,0.1316,0.0021,25
WYJ,G,Tillering,1,21,1000.18,377.43,314.55,27.89,0.4408,1.04,0.4874,0.008,24.99
WYJ,G,Tillering,1,21,1000.14,233.49,187.94,20.78,0.4239,1.03,0.4932,0.008,24.98
WYJ,G,Tillering,1,21,1000.09,140.52,114.53,12.04,0.3758,1.03,0.5033,0.0081,25
WYJ,G,Tillering,1,21,1000.05,76.36,66.4,4.59,0.307,1.03,0.5216,0.0084,24.98
WYJ,G,Tillering,1,21,1000.04,49.02,46.14,1.15,0.2663,1.03,0.5411,0.0087,24.99
WYJ,G,Tillering,1,21,1000.01,379.86,327.92,24.32,0.3831,1.03,0.5261,0.0085,25.01
WYJ,G,Tillering,1,21,1000,379.03,322.16,25.61,0.4012,1.03,0.5002,0.0081,24.98
WYJ,G,Tillering,1,21,999.98,378.15,318.32,26.76,0.4189,1.04,0.494,0.008,25.01
WYJ,G,Tillering,1,21,999.98,626.61,559.76,26.93,0.3822,1.04,0.4711,0.0077,25.01
WYJ,G,Tillering,1,21,999.97,976.72,903.12,24.68,0.3366,1.05,0.4245,0.007,25.01
WYJ,G,Tillering,1,21,1000.26,1475.78,1390.48,23.39,0.3129,1.06,0.3807,0.0063,25
WYJ,G,Tillering,1,2,279.79,985.28,897.11,16.34,0.5821,1.01,0.2235,0.0036,24.99
WYJ,G,Tillering,1,2,149.99,991.3,928.63,8.81,0.6032,1.02,0.1868,0.003,25.02
WYJ,G,Tillering,1,2,99.78,994.01,939.33,5.67,0.6164,1.01,0.1449,0.0023,25
WYJ,G,Tillering,1,2,79.92,995.41,940.66,4.32,0.6259,1.02,0.1108,0.0018,25
WYJ,G,Tillering,1,2,50,997,952.71,2.46,0.6447,1.03,0.0869,0.0014,25.01
WYJ,G,Tillering,2,21,1999.89,376.01,283.96,29.76,0.2594,1.13,0.3454,0.0061,25.01
WYJ,G,Tillering,2,21,1500.17,377.3,283.72,28.25,0.327,1.09,0.3213,0.0055,25.02
WYJ,G,Tillering,2,21,1000.12,379.62,288.01,25.38,0.4236,1.04,0.2946,0.0048,25.04
WYJ,G,Tillering,2,21,500.03,385.29,303.63,18.23,0.5467,1.01,0.2394,0.0038,25.04
WYJ,G,Tillering,2,21,279.94,390.53,323.69,11.56,0.6102,1.02,0.1892,0.003,25.03
WYJ,G,Tillering,2,21,149.73,394.88,339.28,6.15,0.6488,1.02,0.1239,0.002,25.01
WYJ,G,Tillering,2,21,99.86,396.73,339.41,4.03,0.6694,1.03,0.0786,0.0013,25
WYJ,G,Tillering,2,21,79.99,397.74,329.44,2.82,0.6805,1.03,0.0453,0.0007,25
WYJ,G,Tillering,2,21,50.07,398.56,334.88,1.87,0.6985,1.03,0.0324,0.0005,25.01
WYJ,G,Tillering,2,21,1000.08,383.89,279.66,20.19,0.37,1.09,0.205,0.0035,25.01
WYJ,G,Tillering,2,21,999.76,239.27,174.97,13.49,0.3371,1.08,0.222,0.0038,24.99
WYJ,G,Tillering,2,21,1000.07,143.54,112.29,8.17,0.2997,1.06,0.2808,0.0047,24.97
WYJ,G,Tillering,2,21,1000.05,77.43,66.67,3.23,0.2578,1.06,0.3377,0.0056,24.99
WYJ,G,Tillering,2,21,1000.05,49.35,46.14,0.87,0.2314,1.05,0.3576,0.0059,25
WYJ,G,Tillering,2,21,1000.02,386.41,307.79,16.75,0.2893,1.09,0.2306,0.004,25.01
WYJ,G,Tillering,2,21,1000.01,386.42,285.32,16.96,0.3109,1.1,0.1781,0.0031,24.99
WYJ,G,Tillering,2,21,1000.01,386.61,276.57,16.86,0.3255,1.1,0.1617,0.0028,24.98
WYJ,G,Tillering,2,21,1000.01,633.04,487.54,20.83,0.3297,1.11,0.1536,0.0027,25.01
WYJ,G,Tillering,2,21,1000.02,981.39,812.03,22.22,0.3154,1.1,0.1446,0.0025,25
WYJ,G,Tillering,2,21,1000.02,1479.99,1283.27,22.99,0.3089,1.1,0.1333,0.0023,25
WYJ,G,Tillering,2,2,279.82,987.61,873.32,14.12,0.5655,1.02,0.1423,0.0023,24.99
WYJ,G,Tillering,2,2,150.05,992.6,915.12,7.73,0.5961,1.03,0.1251,0.002,25.02
WYJ,G,Tillering,2,2,100.13,995.2,933.58,4.63,0.6087,1.02,0.1006,0.0016,25
WYJ,G,Tillering,2,2,79.98,996.27,938.36,3.52,0.62,1.02,0.0835,0.0014,25.01
WYJ,G,Tillering,2,2,50.06,997.3,952.78,2.19,0.6536,1.02,0.0765,0.0012,24.99
WYJ,G,Tillering,3,21,2000.05,370.59,306.02,32.71,0.2539,1.11,0.5574,0.0097,25
WYJ,G,Tillering,3,21,1500.11,371.75,307.11,31.54,0.3292,1.07,0.5352,0.009,25.03
WYJ,G,Tillering,3,21,1000,374.05,311.71,29.06,0.4418,1.02,0.5111,0.0082,25.02
WYJ,G,Tillering,3,21,500.1,380.6,328.95,21.34,0.5832,0.98,0.4624,0.0071,25
WYJ,G,Tillering,3,21,279.99,387,347.73,13.66,0.6425,0.99,0.4073,0.0064,24.99
WYJ,G,Tillering,3,21,150.1,392.13,365.13,7.54,0.6743,1,0.3586,0.0057,25.02
WYJ,G,Tillering,3,21,99.93,394.59,372.26,4.91,0.6896,1.01,0.3026,0.0048,25.01
WYJ,G,Tillering,3,21,79.78,395.52,372.65,4.1,0.6985,1.02,0.2457,0.004,25.01
WYJ,G,Tillering,3,21,50.17,397.32,378.4,2.28,0.7116,1.03,0.1812,0.003,24.99
WYJ,G,Tillering,3,21,1000.12,375.41,313.79,27.52,0.4452,1,0.4897,0.0077,24.99
WYJ,G,Tillering,3,21,1000.07,232.15,188.48,20.31,0.4248,0.99,0.5029,0.0078,24.99
WYJ,G,Tillering,3,21,1000,139.68,114.91,11.86,0.3834,0.99,0.5202,0.0081,24.99
WYJ,G,Tillering,3,21,1000.01,76.05,66.67,4.52,0.3194,0.99,0.5449,0.0084,24.98
WYJ,G,Tillering,3,21,1000.02,48.97,46.18,1.17,0.2857,0.98,0.5642,0.0086,24.98
WYJ,G,Tillering,3,21,1000.25,376.67,322.11,25.8,0.4156,0.99,0.5251,0.0082,25.02
WYJ,G,Tillering,3,21,999.96,376.15,319.04,26.54,0.4247,0.99,0.5134,0.008,25.01
WYJ,G,Tillering,3,21,999.94,375.57,316.76,27.22,0.4333,0.99,0.5093,0.0079,25
WYJ,G,Tillering,3,21,999.93,623.39,554.9,28.19,0.4018,1,0.4762,0.0075,25.01
WYJ,G,Tillering,3,21,999.94,973.62,898.82,25.71,0.3537,1.01,0.4295,0.0069,25.01
WYJ,G,Tillering,3,21,999.89,1472.12,1385.18,24.87,0.3324,1.02,0.3889,0.0063,25.01
WYJ,G,Tillering,3,2,280,981.99,919.59,17.01,0.5808,0.94,0.3526,0.0052,24.97
WYJ,G,Tillering,3,2,149.99,988.6,948.37,8.83,0.6071,0.94,0.3425,0.0051,25.02
WYJ,G,Tillering,3,2,99.79,991.64,959.55,5.58,0.6234,0.93,0.3153,0.0047,25
WYJ,G,Tillering,3,2,80.19,992.94,962.64,4.43,0.6343,0.94,0.2824,0.0042,25.01
WYJ,G,Tillering,3,2,50.04,994.75,970.67,2.4,0.6518,0.95,0.2581,0.0039,25.01
WYJ,Y,Tillering,1,21,2000.19,379.01,321.91,31.16,0.2854,1.09,0.6103,0.0105,25.01
WYJ,Y,Tillering,1,21,1499.84,380.33,324.42,29.21,0.3581,1.06,0.5841,0.0098,25
WYJ,Y,Tillering,1,21,1000.08,383.16,331.27,24.83,0.4467,1.02,0.5384,0.0087,25
WYJ,Y,Tillering,1,21,499.92,389.18,350.05,15.32,0.5441,1,0.4606,0.0073,24.99
WYJ,Y,Tillering,1,21,280.07,393.26,363.85,8.99,0.5883,1,0.3842,0.0061,25.01
WYJ,Y,Tillering,1,21,149.93,395.78,374.2,5.09,0.6186,1,0.3304,0.0053,25.01
WYJ,Y,Tillering,1,21,100,396.94,379.98,3.29,0.6365,1.01,0.3076,0.005,25.01
WYJ,Y,Tillering,1,21,79.99,397.55,382.63,2.51,0.644,1.01,0.2914,0.0047,24.99
WYJ,Y,Tillering,1,21,50.18,398.06,385.55,1.63,0.6559,1.02,0.2667,0.0044,25.01
WYJ,Y,Tillering,1,21,1000.04,383.59,319.55,24.81,0.4576,1.06,0.4272,0.0072,25
WYJ,Y,Tillering,1,21,999.96,237.53,191.92,19.09,0.441,1.06,0.4545,0.0076,25
WYJ,Y,Tillering,1,21,1000.17,142.25,115.01,12.04,0.411,1.05,0.4798,0.008,24.99
WYJ,Y,Tillering,1,21,1000.1,76.88,66.21,4.79,0.3635,1.04,0.5056,0.0084,25
WYJ,Y,Tillering,1,21,1000.07,49.11,45.71,1.36,0.3336,1.04,0.5206,0.0086,25
WYJ,Y,Tillering,1,21,1000.01,383.76,330.57,24.01,0.4491,1.05,0.5084,0.0085,25.01
WYJ,Y,Tillering,1,21,999.98,383.71,327.56,24.27,0.4462,1.04,0.4827,0.008,24.98
WYJ,Y,Tillering,1,21,999.97,383.48,326.87,24.58,0.4499,1.04,0.4844,0.008,25
WYJ,Y,Tillering,1,21,1000.17,630.88,562.31,27.1,0.4362,1.05,0.4626,0.0077,25.01
WYJ,Y,Tillering,1,21,999.92,979.78,904.01,26.46,0.4125,1.05,0.4405,0.0073,25
WYJ,Y,Tillering,1,21,999.89,1477.93,1392.51,26.14,0.4,1.05,0.4257,0.0071,25
WYJ,Y,Tillering,1,2,280.07,990.1,939.95,11.11,0.509,1.01,0.3219,0.0052,25
WYJ,Y,Tillering,1,2,149.8,993.72,959.45,5.5,0.5308,1.01,0.2972,0.0048,25.01
WYJ,Y,Tillering,1,2,99.85,995.21,966.05,3.67,0.5387,1,0.273,0.0044,25
WYJ,Y,Tillering,1,2,80.12,996.03,968.97,2.63,0.5425,1.01,0.2357,0.0038,25.01
WYJ,Y,Tillering,1,2,50.02,997.2,974.06,1.4,0.5444,1.01,0.1973,0.0032,24.99
WYJ,Y,Tillering,2,21,2000.01,379.03,315.2,31.61,0.2936,1.16,0.55,0.0101,25.02
WYJ,Y,Tillering,2,21,1499.81,379.93,317.33,30.29,0.38,1.12,0.5366,0.0095,25.03
WYJ,Y,Tillering,2,21,1000.13,382.19,324.79,26.68,0.4909,1.07,0.5193,0.0088,25.02
WYJ,Y,Tillering,2,21,500.05,388.24,347.89,16.77,0.5882,1.05,0.4897,0.0081,25.03
WYJ,Y,Tillering,2,21,279.96,392.52,364.1,9.77,0.6241,1.04,0.4412,0.0073,25.02
WYJ,Y,Tillering,2,21,149.79,395.58,375.26,5.14,0.6496,1.05,0.3702,0.0062,25.02
WYJ,Y,Tillering,2,21,100.17,396.95,379.28,3.29,0.6547,1.05,0.2948,0.0049,24.99
WYJ,Y,Tillering,2,21,80.15,397.79,379.06,2.46,0.6488,1.06,0.2036,0.0035,25.02
WYJ,Y,Tillering,2,21,50.06,398.77,380.52,1.38,0.6546,1.08,0.1202,0.0021,25.01
WYJ,Y,Tillering,2,21,1000.1,382.86,319.69,25.99,0.4773,1.07,0.4543,0.0077,25
WYJ,Y,Tillering,2,21,1000.06,236.87,190.01,20.43,0.4683,1.06,0.4722,0.0079,24.99
WYJ,Y,Tillering,2,21,1000.01,141.81,113.26,12.85,0.4416,1.06,0.4864,0.0081,24.98
WYJ,Y,Tillering,2,21,999.99,76.7,65.48,5.14,0.392,1.05,0.5126,0.0086,24.99
WYJ,Y,Tillering,2,21,1000,49.07,45.64,1.39,0.357,1.05,0.5272,0.0088,24.98
WYJ,Y,Tillering,2,21,999.93,383.3,328.17,24.93,0.4587,1.06,0.507,0.0085,25.01
WYJ,Y,Tillering,2,21,999.9,383.44,324.89,24.96,0.461,1.06,0.4744,0.008,25.01
WYJ,Y,Tillering,2,21,999.89,383,321.55,25.69,0.4701,1.06,0.4626,0.0078,25
WYJ,Y,Tillering,2,21,999.89,631.06,559.35,27.19,0.4372,1.06,0.441,0.0074,25
WYJ,Y,Tillering,2,21,1000.16,980.03,900.47,26.59,0.4088,1.06,0.4177,0.0071,25
WYJ,Y,Tillering,2,21,999.85,1478.26,1388.2,26.15,0.4004,1.06,0.3974,0.0067,24.99
WYJ,Y,Tillering,2,2,279.9,991.18,894.02,12.09,0.5289,1.08,0.1495,0.0026,25
WYJ,Y,Tillering,2,2,150.15,995.07,922.26,6.27,0.5561,1.07,0.1113,0.0019,25.01
WYJ,Y,Tillering,2,2,99.91,996.81,925.28,4.02,0.5561,1.07,0.0732,0.0013,25
WYJ,Y,Tillering,2,2,80.17,997.53,924.4,2.96,0.5522,1.07,0.0524,0.0009,24.99
WYJ,Y,Tillering,2,2,49.78,998.4,938.27,1.86,0.5675,1.07,0.0428,0.0007,24.97
WYJ,Y,Tillering,3,21,2000.1,376.59,307.17,32.04,0.3005,1.13,0.5059,0.009,25.03
WYJ,Y,Tillering,3,21,1499.86,378.42,310.42,29.7,0.3696,1.08,0.4782,0.0082,25.02
WYJ,Y,Tillering,3,21,1000.13,382.11,321.68,24.29,0.4384,1.06,0.4456,0.0075,25.02
WYJ,Y,Tillering,3,21,500.15,388.99,349.12,14.12,0.4914,1.02,0.4166,0.0067,25.03
WYJ,Y,Tillering,3,21,280.11,393.06,365.83,8.11,0.519,1.03,0.3858,0.0063,25.01
WYJ,Y,Tillering,3,21,149.83,395.84,377.16,4.27,0.5439,1.01,0.3424,0.0055,25
WYJ,Y,Tillering,3,21,100.16,397.09,380.9,2.74,0.5617,1.03,0.2788,0.0046,25.01
WYJ,Y,Tillering,3,21,79.84,397.69,380.46,2.25,0.5605,1.04,0.2083,0.0035,25.01
WYJ,Y,Tillering,3,21,50.01,398.66,383.88,1.21,0.5594,1.04,0.1467,0.0024,24.99
WYJ,Y,Tillering,3,21,1000.08,383.01,329.72,22.94,0.4147,0.99,0.4809,0.0075,25
WYJ,Y,Tillering,3,21,999.84,237.37,198.7,17.43,0.3995,0.99,0.4941,0.0077,24.99
WYJ,Y,Tillering,3,21,1000.11,142.06,118.67,11.07,0.3767,0.98,0.5177,0.008,24.99
WYJ,Y,Tillering,3,21,999.82,76.73,67.3,4.57,0.3456,0.97,0.5499,0.0084,24.98
WYJ,Y,Tillering,3,21,1000.07,49.1,46.24,1.22,0.3239,0.97,0.574,0.0088,25
WYJ,Y,Tillering,3,21,1000.07,383.24,339.26,22.06,0.4088,0.97,0.5736,0.0088,25
WYJ,Y,Tillering,3,21,999.79,383.36,337.97,22.01,0.4088,0.98,0.5521,0.0085,25.01
WYJ,Y,Tillering,3,21,1000.07,383.27,336.43,22.26,0.4093,0.97,0.5387,0.0083,25
WYJ,Y,Tillering,3,21,1000.05,630.27,572.27,24.85,0.4006,0.98,0.5103,0.0079,25
WYJ,Y,Tillering,3,21,1000.02,978.55,911.44,25.1,0.3878,0.98,0.4784,0.0074,24.99
WYJ,Y,Tillering,3,21,1000.03,1476.09,1397.37,25.45,0.3875,0.99,0.4518,0.007,25
WYJ,Y,Tillering,3,2,279.99,989.48,947.02,9.88,0.458,1.02,0.3689,0.006,25
WYJ,Y,Tillering,3,2,149.91,992.81,963.13,5,0.4755,1.01,0.3586,0.0058,24.98
WYJ,Y,Tillering,3,2,99.88,994.48,969.74,2.96,0.4864,1.01,0.3315,0.0053,25.02
WYJ,Y,Tillering,3,2,80.18,995.35,972.01,2.19,0.489,1.02,0.2935,0.0047,25
WYJ,Y,Tillering,3,2,50.04,996.52,975.78,1.15,0.4843,1.02,0.2445,0.004,25
WYJ,Y,Tillering,4,21,2000.01,377.78,308.23,30.83,0.3073,1.13,0.4859,0.0086,25.01
WYJ,Y,Tillering,4,21,1500.01,379.44,309.99,28.54,0.3818,1.09,0.4495,0.0078,25.02
WYJ,Y,Tillering,4,21,1000.07,382.84,320.08,23.66,0.463,1.06,0.416,0.007,25.04
WYJ,Y,Tillering,4,21,499.94,389.48,345.22,13.93,0.5339,1.02,0.3635,0.0059,25.02
WYJ,Y,Tillering,4,21,280.06,393.62,359.2,8.06,0.5638,1.03,0.2854,0.0047,25.03
