location,plot,treeID,canopy,rep,leaf,test,species,E,A,Ca,Ci,Pci,Pca,gsw,TleafEB,RHcham,Qin,Qabs,S,CO2_s,CO2_r,H2O_s,H2O_r,Flow,date_licor,date_collected,DBH,Height,Size_Class,concat
AK,1,A,low,1,1,kok,pigl,0.00034759,-1.874538711,402.8747174,500.5060168,46.67221669,37.56809205,0.028273441,23.19108496,60.28807046,55.0004619,46.36534996,8.25,402.8747143,400.0135714,18.48464762,17.92188095,500.1377143,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000363607,-2.017816108,403.0867653,503.7951747,46.97650655,37.58592583,0.029576532,23.16611746,60.18034339,49.99888571,42.14909266,8.25,403.0867619,399.9994286,18.43440476,17.84555714,500.037381,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000332477,-2.204474359,403.4125751,526.5191891,49.09619244,37.61690329,0.026755053,23.1847599,59.84542725,44.99915714,37.9343172,8.25,403.4125714,399.9964762,18.3484619,17.8099381,499.9971905,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000347711,-2.353602344,403.681861,528.631657,49.29287153,37.641783,0.028188042,23.14274544,59.98704804,40.00112857,33.72092616,8.25,403.6818571,400.0304286,18.35474762,17.79161905,500.0566667,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000331855,-2.520273261,403.9497661,543.6211977,50.69208196,37.66787376,0.027186411,23.08298544,60.2670967,35.00122857,29.50600227,8.25,403.9497619,400.0115238,18.374,17.83636667,499.8762857,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000311663,-2.671775193,404.1997663,565.1600642,52.69944847,37.6903927,0.025156717,23.13530468,59.83530785,29.99251429,25.28372532,8.25,404.1997619,399.999619,18.29990952,17.79512857,500.0510952,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000278222,-2.822597908,404.4792904,600.2494428,55.97086472,37.7160794,0.022002835,23.31362736,59.51327148,24.99947143,21.07450356,8.25,404.4792857,400.0076667,18.39430952,17.94368571,499.9982857,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000284679,-3.047937761,404.863386,612.3877187,57.1025357,37.75177922,0.022462756,23.42514037,59.67257911,20.00227619,16.86193804,8.25,404.863381,400.0249524,18.57508095,18.11413333,500.0512857,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000281696,-3.280734853,405.2459578,636.7829852,59.37472718,37.78582146,0.02173139,23.68010901,59.39597611,15.00082857,12.64571239,8.25,405.2459524,400.0209048,18.78030952,18.32422381,499.9815714,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000238174,-3.466349842,405.5291486,702.9796429,65.54638817,37.81186448,0.017986717,23.97155051,59.3360208,9.999092381,8.429268917,8.25,405.5291429,399.969381,19.08569524,18.70023333,500.0312857,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000258309,-3.759096063,406.0031491,709.2557853,66.13052233,37.85545479,0.019131346,24.32615168,59.38395603,4.997840476,4.213152162,8.25,406.0031429,399.9741905,19.52337143,19.10551905,500.042619,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000230397,-3.825355082,406.1931492,756.2641929,70.51317386,37.87296611,0.016916985,24.4810506,59.45827268,0,0,8.25,406.1931429,400.0360952,19.72700476,19.35437143,500.0301905,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
