TreeID,USDA_Code,Common Name,Genus,Species,Lat,Long,DBH_1,DBH_2
37,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39622,-74.02084,15.3,NA
49,QURU,Red Oak,Quercus,rubra,41.39567,-74.01984,47,NA
50,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39585,-74.02023,16.5,NA
51,ACRU,Red Maple,Acer,rubrum,41.39617,-74.02087,42.3,NA
52,ACRU,Red Maple,Acer,rubrum,41.39618,-74.02099,28.5,NA
53,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39554,-74.01976,27,NA
54,QURU,Red Oak,Quercus,rubrum,41.39552,-74.01958,49.8,NA
71,QURU,Red Oak,Quercus,rubra,41.39569,-74.01951,23,NA
72,ACSA3,Sugar Maple,Acer,saccharum,41.3956,-74.01953,14,NA
73,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39536,-74.01909,78,NA
74,QUAL,White Oak,Quercus,alba,41.39535,-74.01908,28.5,NA
75,QUAL,White Oak,Quercus,alba,41.39576,-74.01966,52,NA
76,QURU,Red Oak,Quercus,rubra,41.39609,-74.02081,45.5,NA
94,QUAL,White Oak,Quercus,alba,41.39578,-74.01997,67.5,NA
95,QUAL,White Oak,Quercus,alba,41.3957,-74.01971,28,NA
96,ACRU,Red Maple,Acer,rubrum,41.39549,-74.01958,11,NA
97,ACRU,Red Maple,Acer,rubrum,41.39568,-74.0201,11.3,NA
98,QURU,Red Oak,Quercus,rubra,41.39563,-74.0194,50,NA
118,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39557,-74.0196,14.5,NA
119,QURU,Red Oak,Quercus,rubra,41.3955,-74.01958,50.5,NA
126,QUAL,White Oak,Quercus,alba,41.39565,-74.01964,28,NA
127,QUAL,White Oak,Quercus,alba,41.39576,-74.01947,25.4,NA
128,ACRU,Red Maple,Acer,rubrum,41.39564,-74.01962,10,NA
129,QURU,Red Oak,Quercus,rubra,41.39596,-74.0202,61.5,NA
148,QUAL,White Oak,Quercus,alba,41.39572,-74.01982,42.2,NA
149,QUAL,White Oak,Quercus,alba,41.39624,-74.02075,58.8,NA
150,ACRU,Red Maple,Acer,rubrum,41.39613,-74.02074,46.8,NA
151,QURU,Red Oak,Quercus,rubra,41.39645,-74.02144,45.5,NA
152,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39632,-74.02098,18.8,NA
8,QURU,Red Oak,Quercus,rubra,41.40239,-74.02318,57.6,NA
