Experiment,Genotype,Treatment,Replicate,O2 (%),Iinc (mmol/m2/s),Ca (ppm),Ci (ppm),A (mmol/m2/s),F2 (mol/mol),Tleaf (℃),VPDL (kPa),gs (mol/m2/s),Tr (mol/m2/s)
EXP2019,Récital,Well-water,4,21,1000.0,373.4500,270.5045,25.2713,0.4553,30.0,2.0,0.4680,0.0088
EXP2019,Récital,Well-water,4,21,499.9,379.6650,300.1215,18.6019,0.5706,30.0,2.0,0.4647,0.0087
EXP2019,Récital,Well-water,4,21,200.0,388.4830,341.1497,9.2555,0.6433,30.0,2.0,0.4448,0.0084
EXP2019,Récital,Well-water,4,21,150.1,390.8020,350.5477,6.8767,0.6640,30.0,2.0,0.4141,0.0079
EXP2019,Récital,Well-water,4,21,120.0,392.5360,356.1393,5.3461,0.6779,30.0,2.0,0.3726,0.0071
EXP2019,Récital,Well-water,4,21,89.9,394.1590,363.0693,3.8489,0.6898,30.0,2.0,0.3442,0.0066
EXP2019,Récital,Well-water,4,21,60.2,395.7710,370.9744,2.2695,0.7031,30.0,2.0,0.3084,0.0060
EXP2019,Récital,Well-water,4,21,39.9,397.1570,378.0503,1.0834,0.7134,30.0,2.0,0.2786,0.0054
EXP2019,Récital,Well-water,4,21,1000.1,374.1760,268.6553,24.6982,0.4558,30.0,2.0,0.4431,0.0083
EXP2019,Récital,Well-water,4,21,1000.0,187.9980,138.9705,11.4757,0.3993,30.0,2.0,0.4478,0.0084
EXP2019,Récital,Well-water,4,21,1000.1,95.9314,78.8205,3.8005,0.3498,30.0,2.0,0.4543,0.0085
EXP2019,Récital,Well-water,4,21,1000.2,50.0695,49.4093,-0.2510,0.3129,30.0,2.0,0.4585,0.0086
EXP2019,Récital,Well-water,4,21,1000.0,374.2560,272.0730,24.4361,0.4401,30.0,2.0,0.4553,0.0085
EXP2019,Récital,Well-water,4,21,1000.0,373.8950,270.7499,24.8142,0.4492,30.0,2.0,0.4578,0.0086
EXP2019,Récital,Well-water,4,21,1000.1,373.9510,271.6987,24.8443,0.4528,30.0,2.0,0.4633,0.0087
EXP2019,Récital,Well-water,4,21,999.8,612.0280,464.5936,35.3719,0.4774,30.0,2.0,0.4656,0.0087
EXP2019,Récital,Well-water,4,21,999.9,953.5980,775.0762,41.1434,0.4765,30.0,2.0,0.4684,0.0088
EXP2019,Récital,Well-water,4,21,999.9,1449.0400,1250.0606,41.7009,0.4656,30.0,2.0,0.4590,0.0086
EXP2019,Récital,Well-water,4,2,200.2,980.5260,888.2498,13.7310,0.6154,30.0,2.0,0.3750,0.0072
EXP2019,Récital,Well-water,4,2,150.1,984.3490,903.0795,10.1800,0.6263,30.0,2.0,0.3382,0.0065
EXP2019,Récital,Well-water,4,2,120.0,987.1030,914.1065,7.8209,0.6362,30.0,2.0,0.3098,0.0060
EXP2019,Récital,Well-water,4,2,89.9,989.6820,926.2806,5.4969,0.6480,30.0,2.0,0.2838,0.0055
EXP2019,Récital,Well-water,4,2,60.0,992.2500,939.8207,3.2022,0.6605,30.0,2.0,0.2530,0.0049
EXP2019,Récital,Well-water,4,2,39.9,994.3380,948.3908,1.8198,0.6719,30.0,2.0,0.2116,0.0042
EXP2019,Récital,Well-water,1,21,1999.9,381.6100,269.3981,20.0254,0.1841,35.1,2.5,0.3399,0.0083
EXP2019,Récital,Well-water,1,21,1500.1,383.1710,261.1272,18.6828,0.2497,35.0,2.5,0.2859,0.0070
EXP2019,Récital,Well-water,1,21,1000.1,384.4280,268.3046,17.1239,0.3342,35.0,2.5,0.2771,0.0068
EXP2019,Récital,Well-water,1,21,499.8,387.4140,297.8160,13.2168,0.4705,35.0,2.5,0.2911,0.0071
EXP2019,Récital,Well-water,1,21,200.2,392.5410,336.7370,6.9527,0.5724,35.0,2.5,0.2824,0.0069
EXP2019,Récital,Well-water,1,21,149.9,393.9850,348.4823,5.0779,0.5950,35.0,2.5,0.2770,0.0067
EXP2019,Récital,Well-water,1,21,120.1,394.9250,357.2765,3.8141,0.6104,35.0,2.5,0.2839,0.0069
EXP2019,Récital,Well-water,1,21,90.2,395.7240,363.3070,2.8870,0.6255,35.0,2.5,0.2821,0.0069
EXP2019,Récital,Well-water,1,21,60.0,397.0360,372.8934,1.3690,0.6415,35.0,2.5,0.2675,0.0065
EXP2019,Récital,Well-water,1,21,40.1,397.7410,379.2672,0.4355,0.6537,35.0,2.5,0.2667,0.0065
EXP2019,Récital,Well-water,1,21,999.9,382.0470,296.4868,18.7726,0.3407,35.0,2.5,0.4447,0.0105
EXP2019,Récital,Well-water,1,21,999.9,191.9980,154.0711,8.2392,0.2910,35.0,2.5,0.4534,0.0107
EXP2019,Récital,Well-water,1,21,1000.0,97.6178,86.0936,2.1298,0.2515,35.0,2.5,0.4641,0.0109
EXP2019,Récital,Well-water,1,21,999.8,50.6328,52.5957,-1.1107,0.2164,35.0,2.5,0.4706,0.0110
EXP2019,Récital,Well-water,1,21,999.9,382.0370,302.6548,18.3353,0.3248,35.0,2.5,0.4778,0.0112
EXP2019,Récital,Well-water,1,21,1000.0,382.2040,302.7848,18.3283,0.3295,34.9,2.5,0.4776,0.0112
EXP2019,Récital,Well-water,1,21,999.8,381.9900,301.2904,18.5696,0.3334,35.0,2.5,0.4742,0.0111
EXP2019,Récital,Well-water,1,21,1000.1,622.9670,502.7399,27.1836,0.3717,35.0,2.5,0.4765,0.0112
EXP2019,Récital,Well-water,1,21,1000.1,966.4400,818.5532,31.2745,0.3822,35.0,2.5,0.4784,0.0113
EXP2019,Récital,Well-water,1,21,999.9,1460.4900,1287.0763,33.0555,0.3806,35.0,2.5,0.4793,0.0113
EXP2019,Récital,Well-water,1,2,199.8,983.1320,907.6789,10.2188,0.5445,35.0,2.5,0.4689,0.0111
EXP2019,Récital,Well-water,1,2,150.0,985.5150,918.8621,7.4849,0.5604,35.0,2.5,0.4552,0.0108
EXP2019,Récital,Well-water,1,2,119.8,987.4180,928.7261,5.2925,0.5707,35.0,2.5,0.4504,0.0107
EXP2019,Récital,Well-water,1,2,89.9,988.6680,935.4653,3.7284,0.5836,35.0,2.5,0.4485,0.0107
EXP2019,Récital,Well-water,1,2,60.0,990.5480,945.5347,1.5590,0.5972,35.0,2.5,0.4419,0.0105
EXP2019,Récital,Well-water,1,2,39.9,991.7650,952.8356,-0.0915,0.6084,35.0,2.5,0.4356,0.0103
EXP2019,Récital,Well-water,2,21,2000.1,376.3890,285.2841,23.3197,0.2492,35.0,2.5,0.5171,0.0122
EXP2019,Récital,Well-water,2,21,1500.1,377.2880,291.8798,22.1617,0.3081,35.0,2.5,0.5327,0.0125
EXP2019,Récital,Well-water,2,21,999.9,379.3580,303.4737,19.4929,0.3975,35.0,2.5,0.5436,0.0128
EXP2019,Récital,Well-water,2,21,499.9,384.1720,326.2303,13.7347,0.5151,35.0,2.5,0.5453,0.0128
EXP2019,Récital,Well-water,2,21,199.8,391.0030,357.2743,5.8351,0.5850,35.0,2.5,0.5425,0.0127
EXP2019,Récital,Well-water,2,21,150.0,392.3540,363.9740,4.1178,0.6031,35.0,2.5,0.5453,0.0128
EXP2019,Récital,Well-water,2,21,119.8,393.2230,368.3332,2.9943,0.6157,35.0,2.5,0.5502,0.0129
EXP2019,Récital,Well-water,2,21,90.0,394.1990,372.8595,1.8140,0.6289,35.0,2.5,0.5513,0.0130
EXP2019,Récital,Well-water,2,21,60.0,395.2620,377.9233,0.5348,0.6413,35.0,2.5,0.5525,0.0129
EXP2019,Récital,Well-water,2,21,40.1,396.0850,381.4068,-0.3581,0.6514,35.0,2.5,0.5528,0.0130
EXP2019,Récital,Well-water,2,21,1000.0,378.4570,306.3488,20.1576,0.4005,35.0,2.5,0.6023,0.0139
EXP2019,Récital,Well-water,2,21,1000.0,190.3220,157.6429,8.9233,0.3425,35.0,2.5,0.6067,0.0141
EXP2019,Récital,Well-water,2,21,1000.2,97.0510,86.6649,2.3649,0.2857,35.0,2.5,0.6191,0.0143
EXP2019,Récital,Well-water,2,21,999.9,50.5513,51.5899,-1.1057,0.2466,35.0,2.5,0.6250,0.0144
EXP2019,Récital,Well-water,2,21,1000.1,378.3860,309.4614,19.9359,0.3879,35.0,2.5,0.6333,0.0146
EXP2019,Récital,Well-water,2,21,999.8,378.2600,308.6622,20.2087,0.3946,35.0,2.5,0.6344,0.0146
EXP2019,Récital,Well-water,2,21,999.9,378.1370,308.0483,20.3355,0.3975,35.0,2.5,0.6325,0.0146
EXP2019,Récital,Well-water,2,21,1000.0,617.6670,514.8232,28.9420,0.4321,35.0,2.5,0.6328,0.0146
EXP2019,Récital,Well-water,2,21,1000.0,959.7400,832.7677,32.9833,0.4417,35.0,2.5,0.6359,0.0147
EXP2019,Récital,Well-water,2,21,1000.0,1452.3100,1302.2182,34.3164,0.4436,35.0,2.5,0.6356,0.0147
EXP2019,Récital,Well-water,2,2,199.8,979.5590,914.2697,9.8095,0.5937,35.0,2.5,0.6304,0.0145
EXP2019,Récital,Well-water,2,2,150.0,982.2380,925.0567,6.6879,0.6065,35.0,2.5,0.6221,0.0143
EXP2019,Récital,Well-water,2,2,120.1,983.8720,931.8156,4.8118,0.6152,35.0,2.5,0.6211,0.0143
EXP2019,Récital,Well-water,2,2,89.9,985.2890,937.6277,3.1044,0.6241,35.0,2.5,0.6192,0.0143
EXP2019,Récital,Well-water,2,2,60.0,987.1290,945.2618,0.9573,0.6329,35.0,2.5,0.6164,0.0143
EXP2019,Récital,Well-water,2,2,39.9,988.3520,950.1132,-0.2995,0.6399,35.0,2.5,0.6088,0.0141
EXP2019,Récital,Well-water,3,21,2000.1,370.5540,275.7383,27.9880,0.2886,35.0,2.5,0.5958,0.0138
EXP2019,Récital,Well-water,3,21,1500.0,372.1960,280.7932,26.2212,0.3582,35.1,2.5,0.5829,0.0135
EXP2019,Récital,Well-water,3,21,1000.1,374.8440,291.3499,23.2813,0.4578,35.0,2.5,0.5768,0.0133
EXP2019,Récital,Well-water,3,21,500.1,381.0520,316.3683,16.4202,0.5861,35.0,2.5,0.5602,0.0129
EXP2019,Récital,Well-water,3,21,200.1,389.2770,350.9085,7.2774,0.6598,35.0,2.5,0.5359,0.0125
EXP2019,Récital,Well-water,3,21,149.9,391.4410,358.5568,5.1867,0.6733,35.0,2.5,0.4986,0.0116
EXP2019,Récital,Well-water,3,21,120.0,392.7370,362.7705,3.9574,0.6830,35.0,2.5,0.4615,0.0109
EXP2019,Récital,Well-water,3,21,89.8,394.3230,368.7915,2.5272,0.6943,35.0,2.5,0.4239,0.0100
EXP2019,Récital,Well-water,3,21,60.1,395.8500,375.6680,1.0849,0.7057,35.0,2.5,0.3921,0.0093
EXP2019,Récital,Well-water,3,21,40.0,397.0150,381.3790,-0.0057,0.7148,35.0,2.5,0.3633,0.0087
EXP2019,Récital,Well-water,3,21,999.8,375.7780,283.4182,22.8840,0.4526,35.0,2.5,0.4964,0.0115
EXP2019,Récital,Well-water,3,21,1000.0,189.5260,149.3556,9.7389,0.3841,35.0,2.5,0.5013,0.0116
EXP2019,Récital,Well-water,3,21,1000.2,96.8599,84.4290,2.6420,0.3221,35.0,2.5,0.5162,0.0119
EXP2019,Récital,Well-water,3,21,1000.0,50.7683,52.6419,-1.1857,0.2741,35.0,2.5,0.5184,0.0120
EXP2019,Récital,Well-water,3,21,1000.0,375.9370,288.2592,22.5152,0.4283,35.0,2.5,0.5217,0.0121
EXP2019,Récital,Well-water,3,21,1000.0,375.5890,287.3665,22.8226,0.4355,35.0,2.5,0.5248,0.0121
EXP2019,Récital,Well-water,3,21,999.7,375.6170,287.6391,22.8588,0.4410,35.0,2.5,0.5279,0.0122
EXP2019,Récital,Well-water,3,21,1000.0,612.7680,478.8441,34.2635,0.4803,35.0,2.5,0.5270,0.0122
EXP2019,Récital,Well-water,3,21,999.8,952.8790,785.4765,40.7935,0.4927,35.0,2.5,0.5311,0.0123
EXP2019,Récital,Well-water,3,21,1000.1,1445.2500,1250.7305,43.2568,0.4937,35.0,2.5,0.5307,0.0123
EXP2019,Récital,Well-water,3,2,199.9,978.5640,899.9814,12.0704,0.6344,35.0,2.5,0.5125,0.0121
EXP2019,Récital,Well-water,3,2,149.9,982.2880,915.0572,8.4106,0.6451,35.0,2.5,0.4943,0.0115
EXP2019,Récital,Well-water,3,2,120.0,984.4520,924.2939,6.1245,0.6518,35.0,2.5,0.4840,0.0114
EXP2019,Récital,Well-water,3,2,90.0,986.8040,933.9612,3.9266,0.6605,35.0,2.5,0.4705,0.0110
EXP2019,Récital,Well-water,3,2,60.1,988.8890,943.7435,1.7539,0.6725,35.0,2.5,0.4593,0.0107
EXP2019,Récital,Well-water,3,2,40.0,990.3410,949.8219,0.4481,0.6825,34.9,2.5,0.4429,0.0104
EXP2019,Récital,Well-water,4,21,2000.0,370.2250,265.2462,28.5506,0.2977,35.0,2.5,0.5368,0.0126
EXP2019,Récital,Well-water,4,21,1500.0,371.6220,273.3858,26.9163,0.3665,35.0,2.5,0.5485,0.0130
EXP2019,Récital,Well-water,4,21,1000.1,374.3600,286.3420,23.8107,0.4670,35.0,2.5,0.5549,0.0132
EXP2019,Récital,Well-water,4,21,500.0,380.5490,314.6952,16.7427,0.5841,34.8,2.5,0.5621,0.0132
EXP2019,Récital,Well-water,4,21,200.0,388.9310,350.3314,7.3336,0.6528,35.0,2.5,0.5438,0.0129
EXP2019,Récital,Well-water,4,21,150.0,390.6760,357.8603,5.4660,0.6645,35.1,2.5,0.5422,0.0129
EXP2019,Récital,Well-water,4,21,119.9,392.0790,363.6630,4.0098,0.6731,35.0,2.5,0.5365,0.0127
EXP2019,Récital,Well-water,4,21,90.0,393.3560,369.2668,2.6074,0.6829,35.0,2.5,0.5326,0.0126
EXP2019,Récital,Well-water,4,21,60.2,394.8830,376.3595,0.8503,0.6936,35.0,2.5,0.5280,0.0125
EXP2019,Récital,Well-water,4,21,40.1,395.8830,380.6595,-0.1855,0.7011,35.0,2.5,0.5177,0.0122
EXP2019,Récital,Well-water,4,21,999.9,374.1870,289.0961,23.7507,0.4559,35.0,2.5,0.5772,0.0135
EXP2019,Récital,Well-water,4,21,999.9,188.6270,151.2696,10.2891,0.3928,35.0,2.5,0.5895,0.0138
EXP2019,Récital,Well-water,4,21,1000.2,96.5529,85.0300,2.7083,0.3309,35.0,2.5,0.6033,0.0140
EXP2019,Récital,Well-water,4,21,999.9,50.6820,52.2353,-1.2748,0.2805,34.9,2.5,0.6125,0.0142
EXP2019,Récital,Well-water,4,21,1000.1,374.1020,293.0829,23.6353,0.4451,35.0,2.5,0.6129,0.0143
EXP2019,Récital,Well-water,4,21,999.9,373.7090,293.0959,24.0103,0.4485,35.0,2.5,0.6271,0.0145
EXP2019,Récital,Well-water,4,21,1000.0,373.4900,292.3391,24.2251,0.4538,35.0,2.5,0.6270,0.0145
EXP2019,Récital,Well-water,4,21,1000.1,609.9240,489.4300,35.5616,0.4982,35.0,2.5,0.6353,0.0147
EXP2019,Récital,Well-water,4,21,999.8,949.4790,799.3822,42.1118,0.5091,35.0,2.5,0.6457,0.0149
EXP2019,Récital,Well-water,4,21,999.8,1440.6400,1263.0670,44.6862,0.5082,35.0,2.5,0.6394,0.0148
EXP2019,Récital,Well-water,4,2,200.0,975.5730,903.9569,12.4018,0.6475,35.0,2.5,0.6524,0.0151
EXP2019,Récital,Well-water,4,2,150.0,979.0370,917.8546,8.2947,0.6593,35.0,2.5,0.6480,0.0150
EXP2019,Récital,Well-water,4,2,119.9,981.0100,925.2615,6.2329,0.6669,35.0,2.5,0.6436,0.0149
EXP2019,Récital,Well-water,4,2,90.0,983.2430,933.5981,3.8845,0.6736,35.0,2.5,0.6399,0.0148
EXP2019,Récital,Well-water,4,2,59.9,985.5700,942.6167,1.3084,0.6800,35.0,2.5,0.6353,0.0148
EXP2019,Récital,Well-water,4,2,40.1,987.1090,948.3916,-0.2747,0.6842,35.0,2.5,0.6300,0.0147
EXP2019,Récital,Well-water,1,21,1999.9,382.9190,322.5692,10.7258,0.1281,40.0,3.0,0.4588,0.0153
EXP2019,Récital,Well-water,1,21,1500.1,384.4180,329.1725,9.3054,0.1596,40.0,3.0,0.4581,0.0153
EXP2019,Récital,Well-water,1,21,1000.0,386.2580,337.7790,7.3498,0.2075,40.0,3.0,0.4565,0.0153
EXP2019,Récital,Well-water,1,21,499.8,389.5670,352.2939,4.1721,0.2835,40.0,3.0,0.4488,0.0151
EXP2019,Récital,Well-water,1,21,200.1,393.2350,368.7045,0.7221,0.3512,39.9,3.0,0.4516,0.0151
EXP2019,Récital,Well-water,1,21,149.8,394.1740,372.4411,-0.0317,0.3735,40.0,3.0,0.4458,0.0148
EXP2019,Récital,Well-water,1,21,120.0,394.7000,374.8675,-0.5882,0.3884,40.0,3.0,0.4447,0.0149
EXP2019,Récital,Well-water,1,21,90.1,395.3150,377.9954,-1.2489,0.4060,40.0,3.0,0.4433,0.0148
EXP2019,Récital,Well-water,1,21,59.9,396.0580,381.3542,-1.9229,0.4230,40.0,3.0,0.4379,0.0146
EXP2019,Récital,Well-water,1,21,40.1,396.4980,383.0327,-2.2806,0.4398,40.0,3.0,0.4371,0.0147
EXP2019,Récital,Well-water,1,21,999.9,386.1730,335.5055,7.7433,0.2501,40.0,3.0,0.4406,0.0147
EXP2019,Récital,Well-water,1,21,1000.0,194.3630,173.0906,2.8005,0.2051,40.0,3.0,0.4422,0.0147
EXP2019,Récital,Well-water,1,21,999.8,98.8290,93.6411,-0.0656,0.1637,39.9,3.0,0.4488,0.0148
EXP2019,Récital,Well-water,1,21,1000.0,50.9585,53.3610,-1.4184,0.1337,40.0,3.0,0.4529,0.0150
EXP2019,Récital,Well-water,1,21,1000.0,386.8880,339.6175,6.9691,0.2235,40.0,3.0,0.4500,0.0150
EXP2019,Récital,Well-water,1,21,1000.0,386.6700,338.4884,7.1941,0.2317,40.0,3.0,0.4472,0.0149
EXP2019,Récital,Well-water,1,21,999.8,386.6880,338.6043,7.1847,0.2368,40.0,3.0,0.4500,0.0150
EXP2019,Récital,Well-water,1,21,1000.0,629.4990,555.7068,10.4101,0.2474,40.0,3.0,0.4458,0.0149
EXP2019,Récital,Well-water,1,21,1000.0,972.7680,874.1502,11.8382,0.2511,40.0,3.0,0.4423,0.0148
EXP2019,Récital,Well-water,1,21,999.9,1465.0400,1338.4610,11.9339,0.2526,40.0,3.0,0.4386,0.0146
EXP2019,Récital,Well-water,1,2,199.9,984.0470,924.8046,1.2365,0.3557,39.9,3.0,0.4285,0.0143
EXP2019,Récital,Well-water,1,2,149.9,985.3170,930.2640,0.1161,0.3636,40.0,3.0,0.4235,0.0141
EXP2019,Récital,Well-water,1,2,120.0,986.3930,934.6840,-0.7912,0.3700,40.0,3.0,0.4209,0.0141
EXP2019,Récital,Well-water,1,2,90.1,986.9990,938.0088,-1.4838,0.3759,40.0,3.0,0.4174,0.0140
EXP2019,Récital,Well-water,1,2,60.2,988.0460,942.0299,-2.2195,0.3861,40.0,3.0,0.4140,0.0139
EXP2019,Récital,Well-water,1,2,39.8,988.8180,946.5935,-3.1932,0.3945,40.0,3.0,0.4110,0.0138
EXP2019,Récital,Well-water,2,21,1999.9,379.5900,302.2595,17.5443,0.1809,40.0,3.0,0.5235,0.0174
EXP2019,Récital,Well-water,2,21,1500.0,381.0820,310.4628,15.6297,0.2242,40.0,3.0,0.5315,0.0177
EXP2019,Récital,Well-water,2,21,999.9,383.0620,320.8035,13.1496,0.2944,40.0,3.0,0.5411,0.0180
EXP2019,Récital,Well-water,2,21,500.1,386.8790,338.3717,8.6260,0.4083,40.0,3.0,0.5392,0.0180
EXP2019,Récital,Well-water,2,21,200.0,391.2610,358.9630,3.3721,0.4986,40.0,3.0,0.5400,0.0179
EXP2019,Récital,Well-water,2,21,149.9,392.3980,363.9216,2.1059,0.5259,40.0,3.0,0.5378,0.0179
EXP2019,Récital,Well-water,2,21,120.1,393.0260,366.7729,1.3830,0.5468,40.0,3.0,0.5363,0.0178
EXP2019,Récital,Well-water,2,21,90.1,393.8520,370.8564,0.3197,0.5640,40.0,3.0,0.5357,0.0178
EXP2019,Récital,Well-water,2,21,60.1,394.6790,374.5844,-0.6681,0.5803,40.0,3.0,0.5331,0.0179
EXP2019,Récital,Well-water,2,21,39.9,395.4200,377.9027,-1.4300,0.5943,40.0,3.0,0.5300,0.0176
EXP2019,Récital,Well-water,2,21,1000.0,381.7040,319.2043,14.2673,0.3490,39.9,3.0,0.5844,0.0192
EXP2019,Récital,Well-water,2,21,1000.0,192.5040,166.3225,5.3781,0.2763,40.0,3.0,0.5870,0.0193
EXP2019,Récital,Well-water,2,21,999.9,98.1563,91.1096,0.5517,0.2175,40.0,3.0,0.5867,0.0193
EXP2019,Récital,Well-water,2,21,999.9,50.7944,52.6412,-1.6387,0.1560,39.9,3.0,0.5923,0.0195
EXP2019,Récital,Well-water,2,21,1000.1,383.2710,326.6766,12.3430,0.3019,40.0,3.0,0.5926,0.0195
EXP2019,Récital,Well-water,2,21,1000.0,382.7120,324.9676,12.9091,0.3186,40.0,3.0,0.5998,0.0197
EXP2019,Récital,Well-water,2,21,1000.0,382.4470,323.6042,13.2424,0.3260,40.0,3.0,0.5968,0.0196
EXP2019,Récital,Well-water,2,21,1000.0,622.9740,533.6529,19.4436,0.3494,40.0,3.0,0.6016,0.0197
EXP2019,Récital,Well-water,2,21,1000.0,964.7370,847.9078,22.4217,0.3483,40.0,3.0,0.5997,0.0196
EXP2019,Récital,Well-water,2,21,1000.0,1455.3300,1307.5644,23.7469,0.3495,40.0,3.0,0.5996,0.0196
EXP2019,Récital,Well-water,2,2,200.1,978.8460,907.6550,5.8048,0.5025,40.0,3.0,0.5872,0.0193
EXP2019,Récital,Well-water,2,2,150.0,980.9920,916.0076,3.4913,0.5147,40.0,3.0,0.5796,0.0192
EXP2019,Récital,Well-water,2,2,120.1,981.5660,920.7587,1.9461,0.5236,40.0,3.0,0.5994,0.0199
EXP2019,Récital,Well-water,2,2,89.8,983.5040,927.6221,0.2279,0.5369,40.0,3.0,0.5807,0.0193
EXP2019,Récital,Well-water,2,2,59.9,985.0220,933.6880,-1.2055,0.5514,40.0,3.0,0.5736,0.0189
EXP2019,Récital,Well-water,2,2,40.2,985.7290,937.1611,-2.2343,0.5629,40.0,3.0,0.5788,0.0192
EXP2019,Récital,Well-water,3,21,2000.0,379.5540,310.0010,17.3502,0.1894,40.0,3.0,0.5720,0.0162
EXP2019,Récital,Well-water,3,21,1500.0,381.2870,317.4315,15.4555,0.2299,40.0,3.0,0.5751,0.0163
EXP2019,Récital,Well-water,3,21,1000.0,383.4550,327.1392,12.9052,0.2931,40.0,3.0,0.5756,0.0162
EXP2019,Récital,Well-water,3,21,500.0,387.2860,344.1360,8.3753,0.3928,40.0,3.0,0.5764,0.0163
EXP2019,Récital,Well-water,3,21,200.0,391.6850,362.7210,3.3754,0.4850,40.0,3.0,0.5636,0.0160
EXP2019,Récital,Well-water,3,21,150.2,392.7080,367.2014,2.2278,0.5138,40.0,3.0,0.5634,0.0159
EXP2019,Récital,Well-water,3,21,120.1,393.4510,370.1395,1.4447,0.5364,40.0,3.0,0.5547,0.0158
EXP2019,Récital,Well-water,3,21,89.9,394.3150,373.7613,0.5448,0.5559,40.0,3.0,0.5502,0.0156
EXP2019,Récital,Well-water,3,21,60.0,395.3660,378.3924,-0.6442,0.5730,40.0,3.0,0.5406,0.0154
EXP2019,Récital,Well-water,3,21,40.1,395.9240,380.7567,-1.2231,0.5856,40.0,3.0,0.5352,0.0153
EXP2019,Récital,Well-water,3,21,1000.1,383.6420,325.0881,12.9538,0.3310,40.0,3.0,0.5431,0.0153
EXP2019,Récital,Well-water,3,21,1000.1,193.2700,168.6781,4.9787,0.2666,40.0,3.0,0.5461,0.0154
EXP2019,Récital,Well-water,3,21,999.9,98.5179,92.5605,0.4078,0.2071,40.0,3.0,0.5535,0.0157
EXP2019,Récital,Well-water,3,21,1000.0,50.8479,52.9835,-1.5065,0.1404,40.0,3.0,0.5587,0.0158
EXP2019,Récital,Well-water,3,21,1000.2,384.9020,332.3636,11.3537,0.2894,40.0,3.0,0.5612,0.0158
EXP2019,Récital,Well-water,3,21,1000.0,384.2200,329.6072,12.0764,0.3075,40.0,3.0,0.5646,0.0160
EXP2019,Récital,Well-water,3,21,1000.0,383.9030,328.5812,12.4225,0.3169,40.0,3.0,0.5680,0.0160
EXP2019,Récital,Well-water,3,21,1000.0,625.1810,540.3950,18.3976,0.3368,40.0,3.0,0.5678,0.0161
EXP2019,Récital,Well-water,3,21,1000.0,967.4170,857.2131,21.7053,0.3323,40.0,3.0,0.5729,0.0161
EXP2019,Récital,Well-water,3,21,1000.0,1458.9800,1320.3737,23.1840,0.3348,40.0,3.0,0.5694,0.0160
EXP2019,Récital,Well-water,3,2,200.0,981.5140,916.5933,5.7256,0.4799,40.0,3.0,0.5488,0.0157
EXP2019,Récital,Well-water,3,2,149.9,983.7490,926.5391,3.2625,0.4938,40.0,3.0,0.5460,0.0155
EXP2019,Récital,Well-water,3,2,120.1,984.5750,930.1287,2.2878,0.5045,40.0,3.0,0.5436,0.0155
EXP2019,Récital,Well-water,3,2,89.9,985.9890,936.5803,0.7111,0.5154,40.0,3.0,0.5413,0.0154
EXP2019,Récital,Well-water,3,2,60.0,987.4510,942.2922,-0.6938,0.5278,40.0,3.0,0.5374,0.0153
EXP2019,Récital,Well-water,3,2,39.8,988.1990,945.7178,-1.6577,0.5375,40.0,3.0,0.5326,0.0153
EXP2019,Récital,Well-water,4,21,2000.2,374.1410,298.3083,21.1185,0.2223,40.0,3.0,0.6254,0.0176
EXP2019,Récital,Well-water,4,21,1500.2,376.4420,306.9178,18.7247,0.2647,40.0,3.0,0.6247,0.0177
EXP2019,Récital,Well-water,4,21,1000.1,379.6460,319.7919,15.2720,0.3297,40.0,3.0,0.6308,0.0179
EXP2019,Récital,Well-water,4,21,500.0,384.8450,340.2798,9.5347,0.4219,40.0,3.0,0.6312,0.0179
EXP2019,Récital,Well-water,4,21,200.2,390.4750,362.3688,3.3361,0.5021,40.0,3.0,0.6238,0.0177
EXP2019,Récital,Well-water,4,21,150.1,391.6400,366.4403,2.2223,0.5280,40.0,3.0,0.6163,0.0175
EXP2019,Récital,Well-water,4,21,120.0,392.6350,370.2755,1.1730,0.5471,40.0,3.0,0.6134,0.0175
EXP2019,Récital,Well-water,4,21,90.1,393.6110,374.0877,0.1481,0.5645,40.0,3.0,0.6080,0.0173
EXP2019,Récital,Well-water,4,21,59.9,394.6350,377.9546,-0.9123,0.5800,40.0,3.0,0.6064,0.0173
EXP2019,Récital,Well-water,4,21,40.1,395.4320,380.9771,-1.6634,0.5914,40.0,3.0,0.5985,0.0170
EXP2019,Récital,Well-water,4,21,999.9,379.3200,315.3205,15.8972,0.3811,40.0,3.0,0.5933,0.0169
EXP2019,Récital,Well-water,4,21,1000.0,191.5300,164.8865,6.0463,0.3121,40.0,3.0,0.5921,0.0168
EXP2019,Récital,Well-water,4,21,1000.1,98.0807,91.4129,0.6742,0.2539,40.0,3.0,0.5978,0.0170
EXP2019,Récital,Well-water,4,21,1000.2,51.1848,54.0506,-1.8683,0.1893,40.0,3.0,0.5960,0.0169
EXP2019,Récital,Well-water,4,21,999.9,380.7820,321.7564,14.1865,0.3393,40.0,3.0,0.5968,0.0170
EXP2019,Récital,Well-water,4,21,1000.0,380.2400,319.5696,14.8028,0.3535,40.0,3.0,0.5971,0.0170
EXP2019,Récital,Well-water,4,21,1000.0,380.0210,318.5902,15.0445,0.3613,40.0,3.0,0.5960,0.0170
EXP2019,Récital,Well-water,4,21,1000.0,618.9700,524.1477,22.7784,0.3787,40.0,3.0,0.5979,0.0170
EXP2019,Récital,Well-water,4,21,1000.0,959.2770,835.6516,27.1614,0.3755,40.0,3.0,0.5985,0.0169
